,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,956,134701.29333332996,177245.09999999998,2956.3000000000125,326.7000000000018,40843.099999999984,15309.0,51728.0,840.9999999999983,9.0,30.50000000000004,27.819999999999993,1238.6000000000074,2.0
1,Water,485,111458.99999999999,50.0,2.8,2.1,5.9,132.0,0.0,92.4,0.0,0.0,0.0,0.0,66.0
2,Fried Egg,292,16058.195999999974,26301.0,2033.9999999999993,1842.799999999996,405.0999999999995,11649.0,28412.0,461.39999999999907,42861.0,11.84999999999997,64.33000000000021,711.7999999999988,2.0
3,Milk,197,6626.5,25462.0,843.8000000000005,1057.4000000000005,3104.700000000001,37517.0,17699.0,2165.500000000001,12971.0,34.99999999999997,23.770000000000017,3.6999999999999997,4002.0
4,Fried Fish,129,5327.429999999999,7288.0,1270.3999999999996,232.29999999999987,35.00000000000001,4404.0,12968.0,69.40000000000003,4812.0,4.959999999999993,8.999999999999995,668.9999999999997,0.0
5,Fried Processed Meat,115,6875.25,13131.8,796.6499999999996,914.0999999999996,425.79999999999995,1588.0,5267.0,112.00000000000009,8229.0,24.630000000000027,4.18,157.59999999999994,0.0
6,Boiled Vegetable,92,2065.3377772400004,1642.0,104.9,27.000000000000007,247.7,2454.0,1452.0,27.600000000000023,3622.0,2.0300000000000002,1.6500000000000008,48.80000000000003,388.0
7,Boiled Fish,55,2482.9700000000007,2486.0,476.69999999999993,57.80000000000002,14.4,2114.0,5046.0,26.300000000000015,2248.0,2.1799999999999997,3.3100000000000005,257.30000000000007,47.0
8,Boiled Egg,53,3493.4399999999996,5615.0,477.30000000000024,428.1999999999997,28.599999999999987,2563.0,6289.0,120.69999999999993,3605.0,2.939999999999999,16.039999999999992,92.30000000000001,0.0
9,Sauteed Vegetable,39,1079.4387499999998,299.0,9.099999999999998,1.6000000000000003,60.80000000000001,421.0,212.0,8.299999999999995,1092.0,0.26000000000000006,0.3100000000000001,5.000000000000001,159.0
10,Sweets,37,1344.0,3695.0,66.89999999999999,128.99999999999994,608.1,1426.0,1812.0,63.29999999999999,0.0,0.06,5.630000000000001,33.39999999999999,361.0
11,Boiled Noodles,35,1403.625,5213.0,119.39999999999999,185.10000000000005,741.2999999999998,361.0,3.0,80.50000000000003,963.0,0.0,0.0,0.0,2.0
12,Fried Vegetable,26,1157.419,798.0,12.0,56.800000000000004,60.10000000000002,369.0,324.0,6.1000000000000005,160.0,0.9700000000000002,0.5200000000000001,8.5,27.0
13,Canned Processed Meat,23,701.7366666700001,1358.0,105.5,94.1,24.000000000000004,128.0,565.0,13.200000000000001,27.0,0.02,0.6799999999999999,20.0,0.0
14,Fried Pork,21,1568.31,5005.0,236.70000000000002,408.2,99.60000000000001,532.0,2575.0,18.4,942.0,6.63,2.57,108.39999999999999,12.0
15,Sauteed Noodles,21,1198.75,3363.0,84.96,131.7,464.0,317.0,543.0,16.2,69.0,0.8500000000000001,0.45,25.700000000000003,0.0
16,Boiled Pork,16,826.8000000000001,1972.0,116.00000000000001,165.1,4.8999999999999995,208.0,1148.0,11.0,175.0,2.26,0.88,40.0,11.0
