,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,626,88178.89333333002,115060.09999999999,1916.3000000000152,216.29999999999993,26557.799999999916,9993.0,33575.0,549.9999999999993,9.0,19.799999999999898,18.12999999999989,805.2999999999979,2.0
1,Water,316,71828.99999999999,50.0,2.8,2.1,5.9,132.0,0.0,92.4,0.0,0.0,0.0,0.0,66.0
2,Fried Egg,187,10559.345999999987,17098.0,1320.6999999999994,1196.399999999997,263.5000000000001,7549.0,18393.0,300.1,27638.0,7.699999999999995,41.85000000000011,460.8000000000003,2.0
3,Milk,129,4406.5,16774.0,550.0000000000002,701.1000000000006,2038.5999999999992,23957.0,10373.0,1056.9000000000003,7563.0,20.35,14.009999999999996,3.0,2188.0
4,Boiled Vegetable,73,1705.8490272400002,1358.0,88.5,23.7,196.2999999999999,2015.0,1242.0,22.900000000000006,2875.0,1.8000000000000007,1.3800000000000006,43.500000000000014,297.0
5,Fried Fish,72,2803.69,3987.0,695.3000000000005,123.99999999999997,19.9,2503.0,7083.0,37.50000000000001,2540.0,2.899999999999998,4.819999999999999,377.3,0.0
6,Fried Processed Meat,68,3879.0,7315.0,430.6999999999999,504.5999999999998,252.29999999999995,717.0,2430.0,54.70000000000003,3302.0,20.770000000000017,1.9300000000000013,73.4,0.0
7,Boiled Fish,42,2039.5600000000002,1966.0,377.4,44.30000000000001,14.4,1890.0,4088.0,21.60000000000001,1817.0,1.8100000000000005,2.7,204.10000000000002,47.0
8,Boiled Egg,36,2405.94,3784.0,329.40000000000015,296.4,17.400000000000002,1765.0,4331.0,83.79999999999998,2259.0,2.050000000000001,11.119999999999997,60.99999999999999,0.0
9,Sauteed Vegetable,26,807.1687499999998,234.0,6.699999999999999,1.3,47.90000000000001,325.0,162.0,6.999999999999999,846.0,0.18000000000000005,0.23000000000000004,4.100000000000001,126.0
10,Boiled Noodles,24,784.875,3397.0,82.19999999999999,124.7,469.5,225.0,0.0,50.200000000000024,613.0,0.0,0.0,0.0,2.0
11,Sweets,22,796.0,2290.0,36.199999999999996,83.39999999999996,390.00000000000006,771.0,1054.0,30.699999999999996,0.0,0.06,2.7700000000000005,26.599999999999994,139.0
12,Fried Vegetable,19,959.81,699.0,9.300000000000002,51.2,50.70000000000001,307.0,261.0,5.1000000000000005,119.0,0.8400000000000001,0.42000000000000004,6.899999999999999,27.0
13,Fried Pork,14,1043.71,3136.0,136.3,247.50000000000003,89.70000000000002,421.0,1775.0,11.7,538.0,3.74,1.35,63.099999999999994,4.0
14,Canned Processed Meat,13,386.66,764.0,60.499999999999986,53.0,14.1,68.0,300.0,2.3000000000000003,15.0,0.02,0.36,10.6,0.0
15,Sauteed Noodles,13,717.25,1644.0,43.0,60.3,232.5,112.0,313.0,5.699999999999999,35.0,0.64,0.22000000000000003,13.2,0.0
16,Coffee,11,190.0,820.0,9.299999999999997,20.899999999999995,147.1,40.0,110.0,0.5,0.0,0.0,0.1,17.2,0.0
17,Boiled Pork,10,649.9200000000001,1363.0,87.5,110.0,4.7,186.0,827.0,9.4,148.0,1.47,0.67,28.8,9.0
18,Baked Bread,10,373.25666667,1218.0,37.900000000000006,15.200000000000001,232.20000000000002,160.0,321.0,11.7,3.0,0.9299999999999999,0.5700000000000001,17.0,0.0
19,Biscuit,9,258.5,1185.0,29.3,39.1,168.9,189.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0
20,Boiled Chicken,9,388.15000000000003,684.0,76.6,41.800000000000004,1.2,116.0,548.0,5.0,2859.0,0.35,1.7300000000000004,40.7,20.0
21,Fried Chicken,8,310.65999999999997,694.0,56.7,51.99999999999999,0.1,139.0,380.0,3.5999999999999996,108.0,0.18,0.29000000000000004,24.700000000000003,10.0
22,Fried Beef,6,317.5,570.2,23.4,23.7,51.6,0.0,0.0,9.4,0.0,0.0,0.0,0.0,2.0
