,support,itemsets,length
0,0.9826498422712934,{'Boiled Rice'},1
1,0.49053627760252366,{'Water'},1
2,0.47791798107255523,"{'Water', 'Boiled Rice'}",2
3,0.2949526813880126,{'Fried Egg'},1
4,0.29337539432176657,"{'Fried Egg', 'Boiled Rice'}",2
5,0.20347003154574134,{'Milk'},1
6,0.1971608832807571,"{'Milk', 'Boiled Rice'}",2
7,0.14037854889589904,"{'Fried Egg', 'Water', 'Boiled Rice'}",3
8,0.14037854889589904,"{'Fried Egg', 'Water'}",2
9,0.11356466876971609,{'Boiled Vegetable'},1
10,0.11356466876971609,{'Fried Fish'},1
11,0.11198738170347003,"{'Boiled Vegetable', 'Boiled Rice'}",2
12,0.11041009463722397,"{'Fried Fish', 'Boiled Rice'}",2
13,0.1056782334384858,{'Fried Processed Meat'},1
14,0.1056782334384858,"{'Fried Processed Meat', 'Boiled Rice'}",2
15,0.07886435331230283,"{'Milk', 'Water'}",2
16,0.07255520504731862,"{'Water', 'Milk', 'Boiled Rice'}",3
17,0.06624605678233439,"{'Boiled Fish', 'Boiled Rice'}",2
18,0.06624605678233439,{'Boiled Fish'},1
19,0.061514195583596214,"{'Fried Fish', 'Water'}",2
20,0.05993690851735016,"{'Boiled Vegetable', 'Water'}",2
21,0.0583596214511041,"{'Boiled Vegetable', 'Water', 'Boiled Rice'}",3
22,0.0583596214511041,"{'Fried Fish', 'Water', 'Boiled Rice'}",3
23,0.056782334384858045,"{'Fried Egg', 'Milk'}",2
24,0.056782334384858045,{'Boiled Egg'},1
25,0.056782334384858045,"{'Fried Egg', 'Milk', 'Boiled Rice'}",3
26,0.055205047318611984,"{'Boiled Egg', 'Boiled Rice'}",2
27,0.04416403785488959,"{'Fried Processed Meat', 'Water'}",2
28,0.04416403785488959,"{'Fried Processed Meat', 'Water', 'Boiled Rice'}",3
29,0.04100946372239748,{'Sauteed Vegetable'},1
30,0.04100946372239748,"{'Sauteed Vegetable', 'Boiled Rice'}",2
31,0.03943217665615142,"{'Boiled Egg', 'Water'}",2
32,0.03785488958990536,"{'Water', 'Boiled Egg', 'Boiled Rice'}",3
33,0.03785488958990536,{'Boiled Noodles'},1
34,0.03627760252365931,"{'Boiled Noodles', 'Boiled Rice'}",2
35,0.03470031545741325,{'Sweets'},1
36,0.033123028391167195,"{'Boiled Fish', 'Water', 'Boiled Rice'}",3
37,0.033123028391167195,"{'Fried Processed Meat', 'Fried Egg'}",2
38,0.033123028391167195,"{'Fried Processed Meat', 'Fried Egg', 'Boiled Rice'}",3
39,0.033123028391167195,"{'Boiled Fish', 'Water'}",2
40,0.02996845425867508,{'Fried Vegetable'},1
41,0.02996845425867508,"{'Fried Vegetable', 'Boiled Rice'}",2
