,Household No.,HHLD Visit,Meal,Dish List
0,10002,First WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Water']"
1,10002,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Water']"
2,10002,Third WE,Breakfast,"['Boiled Rice', 'Fermented Fish', 'Water']"
3,10007,First WD,Breakfast,"['Boiled Rice', 'Boiled Chicken', nan, nan, nan, 'Water']"
4,10007,Second WD,Breakfast,"['Boiled Rice', 'Beef', nan, nan, 'Water']"
5,10007,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Vegetable', nan, 'Water']"
6,10008,Weekday First,Breakfast,"['Baked Bread', 'Sauteed Noodles', nan, nan, nan, 'Water']"
7,10008,Weekday Second,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
8,10008,Weekend,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
9,10105,First WD,Breakfast,"['Boiled Rice', 'Fried Beef', 'Fried Egg', nan]"
10,10105,Second WD,Breakfast,"['Boiled Rice', 'Fried Beef', 'Fried Egg', nan]"
11,10105,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
12,10108,First WD,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan, 'Milk', nan]"
13,10108,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
14,10108,Third WE,Breakfast,"['Boiled Rice', 'Boiled Pork', nan, nan, nan, 'Water']"
15,10109,First WD,Breakfast,"['Fried Fish', nan, 'Sweets', nan, 'Boiled Rice']"
16,10109,Second WD,Breakfast,"['Boiled Noodles', nan, 'Boiled Rice', 'Others', 'Water']"
17,10109,Third WE,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Water']"
18,11004,First WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice']"
19,11004,Second WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Water']"
20,11004,Third WE,Breakfast,"['Baked Bread', 'Fried Processed Meat', nan]"
21,11008,First WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Processed Meat', nan, 'Water']"
22,11008,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Fish', nan, 'Cereals', nan]"
23,11008,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg']"
24,11009,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
25,11009,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
26,11009,Third WE,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Water']"
27,11010,First WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, nan, nan, 'Water']"
28,11010,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
29,11010,Third WE,Breakfast,"['Fried Pork', nan, 'Boiled Rice', 'Milk', nan, 'Condiment', 'Condiment']"
30,11104,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
31,11104,Second WD,Breakfast,"['Boiled Rice', 'Processed Meat', nan, 'Milk', nan]"
32,11104,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
33,11107,First WD,Breakfast,"['Canned Processed Meat', nan, 'Boiled Rice']"
34,11107,Second WD,Breakfast,"['Boiled Rice', 'Canned Processed Meat', nan, 'Fried Egg', 'Milk']"
35,11107,Third WE,Breakfast,"['Boiled Rice', 'Canned Processed Food', nan, nan, nan, nan]"
36,11108,First WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Water']"
37,11108,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Water']"
38,11108,Third WE,Breakfast,"['Boiled Rice', 'Boiled Pork', nan, nan, nan, 'Water']"
39,11110,First WD,Breakfast,['Sweets']
40,11110,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan]"
41,11110,Third WE,Breakfast,"['Sweets', nan, 'Fried Processed Meat', nan, 'Fried Egg', nan, 'Boiled Rice']"
42,20008,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Raw Fruit']"
43,20008,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
44,20008,Third WE,Breakfast,"['Boiled Rice', 'Fried Chicken', nan]"
45,20108,First WD,Breakfast,"['Boiled Rice', 'Boiled Pork', nan, 'Water']"
46,20108,Second WD,Breakfast,"['Boiled Egg', 'Boiled Rice', 'Water']"
47,20108,Third WE,Breakfast,"['Fried Vegetable', nan, 'Boiled Rice']"
48,20109,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', 'Fermented Fish']"
49,20109,Second WD,Breakfast,"['Stir-fried Leafy Vegetable', nan, 'Boiled Rice', 'Water']"
50,20109,Third WE,Breakfast,"['Boiled Rice', 'Boiled Leafy Vegetable']"
51,21006,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
52,21006,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
53,21006,Third WE,Breakfast,"['Boiled Rice', 'Roasted Pork']"
54,21101,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
55,21101,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Milk', nan]"
56,21101,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
57,21105,First WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan]"
58,21105,Second WD,Breakfast,"['Boiled Rice', 'Fried Vegetable', nan, nan]"
59,21105,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, nan, nan]"
60,30002,First WD,Breakfast,"['Fried Pork', nan, 'Boiled Rice', 'Milk', 'Water']"
61,30002,Second WD,Breakfast,"['Fried Chicken', nan, 'Boiled Rice']"
62,30002,Third WE,Breakfast,"['Fried Egg', nan, 'Milk', 'Water', 'Boiled Rice']"
63,30004,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan, 'Water']"
64,30004,Second WD,Breakfast,"['Boiled Rice', 'Beef', nan, nan]"
65,30004,Third WE,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Milk', nan]"
66,30013,First WD,Breakfast,"[nan, 'Boiled Rice']"
67,30013,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Milk', 'Water']"
68,30013,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, nan]"
