,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,588,77983.30000000002,101408.7,1685.9000000000128,197.99999999999991,23373.399999999932,8791.0,29093.0,486.9999999999999,9.0,16.87999999999986,16.069999999999858,698.8999999999978,2.0
1,Water,313,70465.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Fried Egg,181,9981.66599999999,16324.0,1249.3999999999996,1149.2999999999984,254.30000000000004,7183.0,17524.0,283.30000000000007,26893.0,7.279999999999994,39.480000000000096,442.9000000000003,2.0
3,Milk,113,3471.0,14610.0,474.2000000000003,607.4000000000004,1787.7999999999986,20826.0,9190.0,1018.1999999999998,6784.0,18.270000000000007,12.199999999999994,1.4,2009.0
4,Fried Fish,76,3032.9350000000004,4137.0,751.2000000000006,123.39999999999992,13.2,2436.0,7532.0,41.40000000000001,2760.0,2.739999999999998,5.23,387.3,0.0
5,Fried Processed Meat,59,3707.0,6930.0,416.55,474.3,247.60000000000002,733.0,2372.0,59.80000000000004,4862.0,17.7,1.9300000000000013,71.60000000000001,0.0
6,Boiled Vegetable,59,1241.04625,944.0,60.90000000000003,22.300000000000008,125.09999999999991,1107.0,755.0,16.700000000000003,2470.0,1.4100000000000004,1.1600000000000004,31.800000000000008,276.0
7,Boiled Fish,34,1671.065,1474.0,274.1,36.60000000000001,11.799999999999999,762.0,2698.0,15.700000000000005,1594.0,1.37,2.0900000000000003,150.39999999999998,44.0
8,Boiled Egg,33,2225.94,3568.0,306.6000000000001,273.3,17.5,1634.0,4007.0,77.1,2227.0,1.880000000000001,10.250000000000002,57.999999999999986,0.0
9,Boiled Noodles,22,706.25,3149.0,72.8,117.7,432.1,229.0,0.0,55.9,553.0,0.0,0.0,0.0,0.0
10,Sauteed Vegetable,20,591.1837499999999,165.0,5.6,0.7999999999999999,33.1,246.0,117.0,6.199999999999999,559.0,0.16000000000000003,0.22,3.100000000000001,101.0
11,Fried Vegetable,19,944.51,695.0,9.100000000000001,51.2,50.00000000000001,302.0,256.0,5.0,117.0,0.8300000000000001,0.41000000000000003,6.799999999999999,27.0
12,Sweets,15,822.0,1481.0,23.4,53.399999999999984,267.40000000000003,576.0,728.0,15.8,0.0,0.06,1.1300000000000001,9.6,130.0
13,Sauteed Noodles,13,617.25,1620.0,40.26,64.5,223.8,132.0,269.0,8.700000000000001,39.0,0.63,0.22000000000000003,10.1,0.0
14,Canned Processed Meat,11,316.07,577.0,47.3,38.099999999999994,13.799999999999999,36.0,156.0,1.1,8.0,0.01,0.19,5.5,0.0
