,Household No.,HHLD Visit,Meal,Dish List
0,10001,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
1,10001,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
2,10001,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Milk', nan]"
3,10002,First WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Water']"
4,10002,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Water']"
5,10002,Third WE,Breakfast,"['Boiled Rice', 'Fermented Fish', 'Water']"
6,10005,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Sweets', nan]"
7,10005,Second WD,Breakfast,"['Boiled Rice', 'Boiled Pork', 'Sweets', nan]"
8,10005,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, 'Sweets']"
9,10007,First WD,Breakfast,"['Boiled Rice', 'Boiled Chicken', nan, nan, nan, 'Water']"
10,10007,Second WD,Breakfast,"['Boiled Rice', 'Beef', nan, nan, 'Water']"
11,10007,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Vegetable', nan, 'Water']"
12,10008,Weekday First,Breakfast,"['Baked Bread', 'Sauteed Noodles', nan, nan, nan, 'Water']"
13,10008,Weekday Second,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
14,10008,Weekend,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
15,10009,First WD,Breakfast,"['Fried Fish', nan, 'Water', 'Boiled Rice']"
16,10009,Second WD,Breakfast,"['Duck', nan, nan, nan, 'Boiled Rice', 'Water']"
17,10009,Third WE,Breakfast,"['Boiled Chicken', nan, nan, nan, 'Boiled Rice']"
18,10101,Weekday First,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
19,10101,Weekday Second,Breakfast,"['Boiled Rice', 'Boiled Fish', nan, 'Water']"
20,10101,Weekend,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, 'Water']"
21,10105,First WD,Breakfast,"['Boiled Rice', 'Fried Beef', 'Fried Egg', nan]"
22,10105,Second WD,Breakfast,"['Boiled Rice', 'Fried Beef', 'Fried Egg', nan]"
23,10105,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
24,10106,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
25,10106,Second WD,Breakfast,"['Boiled Vegetable', nan, nan, nan, nan, 'Boiled Rice']"
26,10106,Third WE,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
27,10107,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water']"
28,10107,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Beef', nan, nan, 'Water']"
29,10107,Third WE,Breakfast,"['Boiled Rice', nan, 'Water']"
30,10108,First WD,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan, 'Milk', nan]"
31,10108,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
32,10108,Third WE,Breakfast,"['Boiled Rice', 'Boiled Pork', nan, nan, nan, 'Water']"
33,10109,First WD,Breakfast,"['Fried Fish', nan, 'Sweets', nan, 'Boiled Rice']"
34,10109,Second WD,Breakfast,"['Boiled Noodles', nan, 'Boiled Rice', 'Others', 'Water']"
35,10109,Third WE,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Water']"
36,11002,First WD,Breakfast,"['Boiled Rice', 'Fish', 'Water']"
37,11002,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
38,11002,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
39,11003,First WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
40,11003,Second WD,Breakfast,"['Fried Egg', nan, nan, 'Boiled Rice']"
41,11003,Third WE,Breakfast,"['Fried Chicken', nan, 'Boiled Rice']"
42,11005,First WD,Breakfast,"['Canned Processed Meat', nan, 'Fried Egg', nan]"
43,11005,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
44,11005,Third WE,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Boiled Noodles', nan, nan]"
45,11006,First WD,Breakfast,"['Boiled Rice', 'Processed Meat', nan, 'Milk', nan]"
46,11006,Second WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Milk', nan]"
47,11006,Third WE,Breakfast,"['Boiled Rice', 'Boiled Pork']"
48,11009,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
49,11009,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
50,11009,Third WE,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Water']"
51,11010,First WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, nan, nan, 'Water']"
52,11010,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
53,11010,Third WE,Breakfast,"['Fried Pork', nan, 'Boiled Rice', 'Milk', nan, 'Condiment', 'Condiment']"
54,11011,First WD,Breakfast,"['Sauteed Noodles', nan, nan, nan, 'Vegetable', 'Milk', 'Water']"
55,11011,Second WD,Breakfast,"['Boiled Fish', nan, nan, 'Boiled Rice', 'Water']"
56,11011,Third WE,Breakfast,"['Boiled Egg', 'Boiled Rice', 'Sweets']"
57,11012,Weekday First,Breakfast,"['Boiled Rice', 'Boiled Pork', nan, nan, nan, 'Water']"
58,11012,Weekday Second,Breakfast,"['Boiled Rice', 'Fried Chicken', nan, 'Water']"
59,11012,Weekend,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
60,11101,First WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
61,11101,Second WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
62,11101,Third WE,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
63,11102,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
64,11102,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
65,11102,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, nan, 'Water']"
66,11106,First WD,Breakfast,"['Boiled Rice', 'Fried Egg']"
67,11106,Second WD,Breakfast,"['Fried Egg', 'Boiled Rice']"
68,11106,Third WE,Breakfast,"['Baked Bread', 'Fried Egg', 'Boiled Rice']"
69,20001,First WD,Breakfast,"['Boiled Rice', 'Canned Processed Meat', nan]"
70,20001,Second WD,Breakfast,"['Boiled Rice', 'Processed Meat', 'Milk', 'Water']"
71,20001,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, 'Others']"
72,20005,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
73,20005,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, 'Water']"
74,20005,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Milk', nan]"
75,20006,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water']"
76,20006,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Water']"
77,20006,Third WE,Breakfast,"['Boiled Rice', 'Boiled Noodles', nan, 'Water']"
78,20008,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Raw Fruit']"
79,20008,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
80,20008,Third WE,Breakfast,"['Boiled Rice', 'Fried Chicken', nan]"
81,20010,First WD,Breakfast,"['Fried Egg', nan, 'Milk', 'Boiled Rice']"
82,20010,Second WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Water']"
83,20010,Third WE,Breakfast,"['Boiled Rice', 'Roasted Chicken', 'Water']"
84,20101,First WD,Breakfast,"['Milk', 'Boiled Rice', 'Fried Beef', nan, 'Water']"
85,20101,Second WD,Breakfast,"['Milk', 'Boiled Rice', 'Fried Egg', nan]"
86,20101,Third WE,Breakfast,"['Milk', 'Boiled Rice', 'Braised Chicken', nan]"
87,20102,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
88,20102,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Fish']"
89,20102,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
90,20103,First WD,Breakfast,"['Fried Processed Meat', nan, 'Water', 'Boiled Rice']"
91,20103,Second WD,Breakfast,"['Boiled Rice', 'Boiled Fish', nan]"
