,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,326,50425.193333330026,66998.4,1118.800000000002,112.89999999999985,15444.599999999975,5756.0,19774.0,313.5,0.0,11.769999999999957,10.38999999999996,471.7999999999984,0.0
1,Water,149,36073.0,50.0,2.8,2.1,5.9,132.0,0.0,92.4,0.0,0.0,0.0,0.0,66.0
2,Fried Egg,99,5510.089999999993,8966.0,712.2999999999998,619.1999999999997,135.9000000000001,4041.0,9848.0,161.50000000000006,14353.0,4.139999999999997,22.530000000000033,242.50000000000017,0.0
3,Milk,73,2778.0,9378.0,322.0000000000001,392.40000000000015,1125.4999999999995,14562.0,7065.0,1112.5000000000011,5197.0,13.589999999999998,9.439999999999998,1.6,1750.0
4,Fried Processed Meat,51,2867.25,5616.8,342.99999999999994,400.7,156.60000000000005,740.0,2527.0,48.400000000000006,3281.0,5.8199999999999985,1.9600000000000009,75.50000000000001,0.0
5,Fried Fish,48,1993.775,2838.0,466.1,99.0,19.299999999999997,1767.0,4871.0,25.099999999999998,1821.0,2.080000000000001,3.3800000000000003,254.29999999999998,0.0
6,Boiled Vegetable,28,742.8165272399999,640.0,36.40000000000001,2.700000000000001,116.0,1276.0,632.0,10.699999999999998,1108.0,0.5800000000000001,0.42000000000000004,14.899999999999995,106.0
7,Boiled Fish,20,776.905,977.0,193.9,21.2,2.6,1329.0,2264.0,10.299999999999999,633.0,0.8,1.2000000000000004,103.09999999999998,3.0
8,Sweets,19,458.0,1792.0,39.3,55.499999999999986,285.1,850.0,1084.0,44.89999999999999,0.0,0.0,4.240000000000001,23.799999999999997,218.0
9,Sauteed Vegetable,17,460.13000000000005,128.0,3.3000000000000007,0.7999999999999999,26.300000000000004,165.0,90.0,1.9000000000000004,442.0,0.1,0.09000000000000001,1.9000000000000001,55.0
10,Boiled Egg,17,1087.5,1741.0,145.8,132.70000000000005,9.900000000000004,797.0,1958.0,37.30000000000002,1219.0,0.9100000000000004,4.950000000000003,29.8,0.0
11,Boiled Noodles,12,664.875,1947.0,43.099999999999994,61.9,296.3,132.0,3.0,24.099999999999998,410.0,0.0,0.0,0.0,2.0
12,Canned Processed Meat,11,359.0,727.0,54.199999999999996,52.0,9.6,85.0,377.0,11.900000000000004,18.0,0.01,0.45,13.399999999999999,0.0
13,Baked Bread,9,413.29666667,1341.0,42.400000000000006,16.2,256.0,203.0,373.0,12.999999999999998,5.0,1.0899999999999999,0.6400000000000001,18.599999999999998,0.0
14,Fried Pork,9,520.24,1848.0,82.4,152.6,40.10000000000001,171.0,820.0,5.1,115.0,1.9900000000000002,0.5900000000000001,28.6,6.0
15,Boiled Chicken,8,334.59000000000003,597.0,70.3,35.300000000000004,0.0,104.0,505.0,3.6999999999999993,92.0,0.24999999999999997,0.4,35.7,9.0
16,Coffee,8,137.0,582.0,8.599999999999998,13.4,105.2,40.0,110.0,0.5,0.0,0.0,0.1,17.2,0.0
17,Fried Vegetable,6,167.909,92.0,2.4,5.6,7.9,53.0,55.0,0.8999999999999999,37.0,0.11,0.09000000000000001,1.4000000000000001,0.0
18,Biscuit,6,200.5,917.0,22.7,31.8,134.7,93.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0
19,Fried Chicken,6,191.66000000000003,383.0,30.799999999999997,28.9,0.1,56.0,184.0,2.0,69.0,0.12000000000000001,0.17,13.7,4.0
20,Sauteed Noodles,6,335.0,683.0,17.7,18.5,111.4,82.0,125.0,2.4,28.0,0.09,0.08,6.1000000000000005,0.0
21,Boiled Pork,5,138.9,453.0,18.5,41.4,1.9000000000000001,34.0,200.0,1.3,47.0,0.46,0.15000000000000002,7.0,4.0
22,Processed Meat,5,150.0,660.0,44.400000000000006,49.800000000000004,8.8,137.0,376.0,8.0,0.0,0.24,0.54,16.299999999999997,0.0
23,Fried Beef,4,192.5,255.2,14.5,7.2,35.300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Sauteed Fish,4,135.0,184.0,22.200000000000003,8.8,4.2,250.0,256.0,0.4,16.0,0.02,0.22,10.6,0.0
25,Boiled Others,3,112.97999999999999,125.0,25.099999999999998,2.6,0.0,59.0,250.0,1.1,92.0,0.06999999999999999,0.13,10.7,0.0
26,Raw Fruit,3,165.0,175.0,1.9,0.6000000000000001,40.7,30.0,57.0,1.2999999999999998,19.0,0.05,0.05,1.4,39.0
27,Condiment,3,25.0,200.0,0.0,19.8,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Braised Chicken,3,62.510000000000005,140.0,11.2,10.7,0.0,10.0,77.0,0.6,13.0,0.05,0.06,6.1,1.0
29,Fruit,3,140.0,118.0,1.0999999999999999,0.4,27.300000000000004,26.0,30.0,1.1,40.0,0.07,0.05,1.0,90.0
30,Fresh Fruit,2,170.0,90.0,0.8,0.6,20.6,58.0,18.0,1.8,128.0,0.06,0.06,1.0,126.0
31,Boiled Chicken/Beef/Pork,2,60.0,97.0,7.6,5.9,3.1,22.0,79.0,0.6,17.0,0.05,0.07,2.9000000000000004,0.0
32,Boiled Fruit,1,40.0,42.0,0.4,0.4,9.2,56.0,8.0,0.3,5.0,0.02,0.02,0.4,4.0
33,Beef,1,55.0,69.0,3.9,2.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Fried Seafood,1,13.68,12.0,2.6,0.1,0.3,20.0,29.0,0.2,8.0,0.01,0.01,0.7,0.0
35,Processed Sweets,1,10.0,38.0,0.4,0.2,8.8,17.0,11.0,0.0,17.0,0.02,0.04,0.1,0.0
36,Chicken,1,87.0,79.0,13.0,3.0,0.0,14.0,97.0,0.6,19.0,0.04,0.04,8.0,0.0
37,Cereals,1,40.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Fried Sweets,1,20.0,48.0,0.6,0.8,9.6,5.0,13.0,0.1,5.0,0.02,0.01,0.3,0.0
39,Juice,1,200.0,80.0,0.0,0.0,20.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,75.0
40,Stir-fried Pork/Chicken,1,23.33,29.0,4.2,0.9,0.9,3.0,35.0,0.8,2153.0,0.07,1.05,3.3,8.0
41,Roasted Others,1,30.0,52.0,5.5,3.4,0.0,3.0,39.0,0.2,65.0,0.07,0.12,2.3,0.0
42,Boiled Seafood,1,30.0,24.0,5.2,0.4,0.0,14.0,47.0,0.5,37.0,0.0,0.01,1.4,0.0
43,Grilled Chicken/Beef/Pork,1,15.12,46.0,2.6,4.0,0.0,2.0,33.0,0.2,2.0,0.08,0.02,1.1,0.0
44,Stir-fried Vegetable,1,22.5,12.0,0.9,0.1,1.8,17.0,10.0,0.2,12.0,0.03,0.02,0.3,3.0
45,Canned Processed Food,1,22.9,90.0,3.3,8.5,0.0,3.0,26.0,0.2,1.0,0.13,0.03,1.6,0.0
