,Household No.,HHLD Visit,Meal,Dish List
0,10004,First WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice']"
1,10004,Second WD,Breakfast,"['Boiled Fish', 'Boiled Rice']"
2,10004,Third WE,Breakfast,"['Water', 'Boiled Rice', 'Boiled Fish']"
3,10006,First WD,Breakfast,"['Fried Egg', nan, 'Fried Processed Meat', nan, 'Boiled Rice']"
4,10006,Second WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Water']"
5,10006,Third WE,Breakfast,"['Boiled Chicken', nan, nan, 'Boiled Rice', 'Water']"
6,10011,First WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Coffee', nan, 'Water']"
7,10011,Second WD,Breakfast,"['Boiled Rice', 'Boiled Noodles', nan, nan, 'Coffee', nan, nan]"
8,10011,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Coffee', nan]"
9,10104,First WD,Breakfast,['Boiled Rice']
10,10104,Second WD,Breakfast,"['Boiled Vegetable', nan, 'Boiled Rice']"
11,10104,Third WE,Breakfast,"['Milk', nan, 'Boiled Rice', 'Water']"
12,10111,First WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan]"
13,10111,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
14,10111,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
15,11001,First WD,Breakfast,"['Fried Fish', 'Processed Meat', nan, 'Boiled Rice']"
16,11001,Second WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Water']"
17,11001,Third WE,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice']"
18,11004,First WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice']"
19,11004,Second WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Water']"
20,11004,Third WE,Breakfast,"['Baked Bread', 'Fried Processed Meat', nan]"
21,11007,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan]"
22,11007,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan]"
23,11007,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Fish', nan, nan]"
24,11008,First WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Processed Meat', nan, 'Water']"
25,11008,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Fish', nan, 'Cereals', nan]"
26,11008,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg']"
27,11103,First WD,Breakfast,"['Boiled Vegetable', 'Boiled Rice']"
28,11103,Second WD,Breakfast,"['Boiled Rice', 'Boiled Fish', 'Milk', nan]"
29,11103,Third WE,Breakfast,"['Boiled Rice', 'Water']"
30,11104,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
31,11104,Second WD,Breakfast,"['Boiled Rice', 'Processed Meat', nan, 'Milk', nan]"
32,11104,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
33,11105,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Sauteed Fish', nan]"
34,11105,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan]"
35,11105,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
36,11107,First WD,Breakfast,"['Canned Processed Meat', nan, 'Boiled Rice']"
37,11107,Second WD,Breakfast,"['Boiled Rice', 'Canned Processed Meat', nan, 'Fried Egg', 'Milk']"
38,11107,Third WE,Breakfast,"['Boiled Rice', 'Canned Processed Food', nan, nan, nan, nan]"
39,11108,First WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Water']"
40,11108,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Water']"
41,11108,Third WE,Breakfast,"['Boiled Rice', 'Boiled Pork', nan, nan, nan, 'Water']"
42,11109,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water', 'Fried Fish', nan]"
