,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,156,24311.999999999996,31520.7,521.8999999999991,57.8,7332.100000000003,2741.0,9259.0,151.00000000000009,0.0,5.299999999999989,4.889999999999989,221.00000000000017,0.0
1,Water,92,21824.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Fried Egg,50,2582.8699999999994,4127.0,314.4000000000001,289.00000000000017,67.6,1828.0,4450.0,71.39999999999999,7044.0,1.850000000000001,9.970000000000002,114.69999999999997,2.0
3,Milk,42,1170.0,4755.0,160.60000000000002,198.49999999999986,571.6000000000001,7161.0,2704.0,550.8,2048.0,5.21,3.46,0.0,752.0
4,Fried Fish,21,1115.6349999999998,1418.0,259.2,41.900000000000006,0.2,1159.0,2889.0,14.899999999999999,797.0,0.87,1.8,129.5,0.0
5,Fried Processed Meat,21,1384.75,2651.0,170.50000000000003,182.20000000000002,85.80000000000001,329.0,1080.0,23.099999999999994,2024.0,7.3,0.8600000000000002,32.29999999999999,0.0
6,Boiled Fish,14,521.505,544.0,103.89999999999999,11.2,7.299999999999999,309.0,1020.0,6.299999999999999,763.0,0.6700000000000002,0.9400000000000001,59.7,39.0
7,Sweets,11,240.0,873.0,22.5,32.300000000000004,164.7,525.0,670.0,26.9,0.0,0.0,2.55,17.0,131.0
8,Boiled Egg,9,727.5,1033.0,101.0,90.10000000000002,4.9,533.0,1310.0,25.500000000000004,647.0,0.6500000000000001,3.3499999999999996,17.799999999999997,0.0
9,Sauteed Vegetable,9,377.505,84.0,2.7,0.4,16.7,97.0,61.0,2.3,132.0,0.06999999999999999,0.07,1.3,24.0
10,Boiled Vegetable,7,170.0,108.0,10.3,1.3,13.5,93.0,120.0,1.5,278.0,0.16,0.15,7.7,29.0
11,Fried Pork,6,490.03999999999996,1995.0,81.8,176.3,20.1,134.0,872.0,6.0,201.0,2.46,0.92,37.39999999999999,10.0
12,Canned Processed Meat,6,227.07999999999998,402.0,31.3,27.400000000000002,8.2,35.0,153.0,1.2,7.0,0.01,0.19,5.4,0.0
13,Boiled Noodles,5,90.0,446.0,9.9,17.3,59.900000000000006,33.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0
14,Boiled Pork,4,148.22,484.0,24.799999999999997,42.7,0.30000000000000004,19.0,315.0,1.4,14.0,0.72,0.18,10.2,3.0
15,Fried Vegetable,4,85.43,196.0,0.6000000000000001,20.0,3.7,22.0,18.0,0.4,9.0,0.06,0.03,0.5,2.0
16,Fried Chicken,4,206.48000000000002,367.0,34.7,25.5,0.0,95.0,263.0,2.0999999999999996,52.0,0.08,0.14,16.200000000000003,6.0
17,Condiment,3,15.0,24.0,0.2,0.0,5.800000000000001,11.0,5.0,0.2,0.0,0.0,0.0,0.1,0.0
18,Raw Fruit,2,94.78999999999999,84.0,1.0,0.2,19.6,14.0,28.0,0.6,4.0,0.02,0.02,0.6,16.0
19,Baked Bread,2,106.66,343.0,11.2,3.8000000000000003,65.8,58.0,102.0,3.3,2.0,0.31,0.17,4.6,0.0
20,Boiled Others,2,52.5,72.0,12.5,2.4000000000000004,0.0,27.0,131.0,0.7,18.0,0.04,0.07,4.9,0.0
21,Coffee,2,29.0,131.0,0.4,4.1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Processed Meat,2,45.0,198.0,13.3,14.9,2.7,41.0,113.0,2.4000000000000004,0.0,0.07,0.16,4.9,0.0
23,Sauteed Noodles,2,99.75,292.0,3.9,0.6,67.9,6.0,36.0,1.4,0.0,0.0,0.01,0.8,0.0
24,Grilled Pork,1,60.0,96.0,6.7,7.6,0.0,6.0,63.0,0.6,57.0,0.28,0.12,4.4,0.0
25,Boiled Leafy Vegetable,1,29.7,19.0,0.9,0.3,3.1,29.0,9.0,0.5,140.0,0.02,0.04,0.5,16.0
26,Chicken,1,110.0,227.0,13.6,12.9,14.0,149.0,153.0,3.0,0.0,0.02,0.07,5.2,0.0
27,Braised Chicken,1,36.15,74.0,6.2,5.5,0.0,4.0,37.0,0.4,5.0,0.04,0.05,2.8,1.0
28,Vegetable,1,257.0,917.0,21.3,3.9,199.2,28.0,221.0,1.0,0.0,0.21,0.13,5.1,0.0
29,Boiled Chicken,1,60.0,79.0,13.0,3.0,0.0,14.0,97.0,0.6,19.0,0.04,0.04,8.0,0.0
30,Fresh Fruit,1,70.0,45.0,0.7,0.2,9.9,13.0,18.0,0.6,0.0,0.06,0.03,0.7,1.0
31,Cereals,1,20.0,74.0,1.6,0.6,15.5,106.0,0.0,2.8,0.0,0.0,0.32,3.6,0.0
32,Fried Beef,1,56.7,82.0,4.5,2.3,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Fried Seafood,1,13.68,12.0,2.6,0.1,0.3,20.0,29.0,0.2,8.0,0.01,0.01,0.7,0.0
34,Biscuit,1,15.0,70.0,1.5,2.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Boiled Seafood,1,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
