,Household No.,HHLD Visit,Meal,Dish List
0,10004,First WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice']"
1,10004,Second WD,Breakfast,"['Boiled Fish', 'Boiled Rice']"
2,10004,Third WE,Breakfast,"['Water', 'Boiled Rice', 'Boiled Fish']"
3,11010,First WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, nan, nan, 'Water']"
4,11010,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
5,11010,Third WE,Breakfast,"['Fried Pork', nan, 'Boiled Rice', 'Milk', nan, 'Condiment', 'Condiment']"
6,11011,First WD,Breakfast,"['Sauteed Noodles', nan, nan, nan, 'Vegetable', 'Milk', 'Water']"
7,11011,Second WD,Breakfast,"['Boiled Fish', nan, nan, 'Boiled Rice', 'Water']"
8,11011,Third WE,Breakfast,"['Boiled Egg', 'Boiled Rice', 'Sweets']"
9,20105,First WD,Breakfast,"['Boiled Rice', 'Canned Processed Meat', nan]"
10,20105,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
11,20105,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, nan]"
12,21011,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
13,21011,Second WD,Breakfast,"['Sauteed Vegetable', nan, nan, 'Boiled Rice', 'Water', nan]"
14,21011,Third WE,Breakfast,"['Sauteed Vegetable', nan, nan, nan, nan, 'Boiled Rice', 'Milk', nan]"
15,21013,First WD,Breakfast,"['Milk', nan, 'Boiled Egg', 'Boiled Rice', 'Water']"
16,21013,Second WD,Breakfast,"['Boiled Egg', 'Milk', nan, 'Canned Processed Meat', nan, nan, 'Boiled Rice', 'Water']"
17,21013,Third WE,Breakfast,"['Milk', nan, 'Fried Egg', nan, 'Boiled Rice', 'Water']"
18,21107,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, nan, 'Water']"
19,21107,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
20,21107,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, nan, 'Water']"
21,21112,First WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Fried Egg', nan]"
22,21112,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Fried Egg', nan]"
23,21112,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Fried Processed Meat', nan, 'Fried Egg', nan]"
24,30020,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk']"
25,30020,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan]"
26,30020,Third WE,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
27,30031,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Processed Meat', nan, 'Water']"
28,30031,Second WD,Breakfast,"['Boiled Rice', 'Boiled Seafood', 'Milk', nan]"
29,30031,Third WE,Breakfast,"['Boiled Rice', 'Fried Pork', nan, 'Water']"
30,30032,Third WE,Breakfast,"['Boiled Fish', nan, 'Boiled Rice', 'Water']"
31,30037,First WD,Breakfast,"['Fried Egg', nan, 'Milk', 'Water', 'Boiled Rice']"
32,30037,Second WD,Breakfast,"['Fried Egg', nan, 'Milk', 'Water', 'Boiled Rice', nan]"
33,30037,Third WE,Breakfast,"['Fried Fish', nan, 'Milk', 'Water', 'Boiled Rice']"
34,30102,First WD,Breakfast,"['Boiled Egg', 'Boiled Rice', 'Milk', 'Water']"
35,30102,Second WD,Breakfast,"['Boiled Egg', 'Fried Processed Meat', 'Boiled Rice', 'Milk', 'Water']"
36,30102,Third WE,Breakfast,"['Boiled Chicken', nan, 'Boiled Rice']"
37,30108,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
38,30108,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
