,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,351,48067.29333333001,63047.4,1057.1999999999998,126.2999999999997,14498.09999999997,5432.0,18142.0,299.00000000000006,9.0,10.739999999999972,9.909999999999966,436.999999999998,2.0
1,Water,159,36358.399999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Fried Egg,99,5522.075999999992,9086.0,711.9000000000001,632.1,137.00000000000009,4114.0,10057.0,164.50000000000009,14694.0,4.229999999999998,22.850000000000026,245.3000000000002,0.0
3,Milk,74,2395.25,11046.0,354.40000000000015,468.10000000000014,1335.3999999999992,15484.0,6581.0,397.0999999999999,4789.0,13.59,9.140000000000004,0.0,1299.0
4,Fried Fish,57,2370.6199999999994,3345.0,596.7000000000004,102.79999999999998,18.1,1838.0,5690.0,31.300000000000004,2307.0,2.4199999999999995,4.12,308.3,0.0
5,Boiled Vegetable,34,667.0574999999999,463.0,34.9,3.700000000000001,71.29999999999998,743.0,478.0,7.599999999999999,912.0,0.4700000000000001,0.4500000000000002,15.999999999999995,98.0
6,Fried Processed Meat,30,1725.0,3313.0,191.80000000000007,230.7,113.90000000000002,322.0,1077.0,28.7,1766.0,8.309999999999999,0.8600000000000003,32.0,0.0
7,Boiled Fish,22,1254.575,1020.0,194.29999999999995,25.699999999999996,3.0,460.0,1906.0,9.600000000000001,881.0,0.9300000000000002,1.3900000000000001,112.89999999999996,0.0
8,Boiled Egg,17,1033.2,1648.0,141.20000000000002,125.90000000000002,9.500000000000002,758.0,1860.0,35.400000000000006,1170.0,0.8500000000000001,4.710000000000002,28.499999999999996,0.0
9,Boiled Noodles,15,782.25,2472.0,54.699999999999996,83.5,366.4000000000001,168.0,3.0,36.0,364.0,0.0,0.0,0.0,0.0
10,Canned Processed Meat,10,279.0,568.0,43.39999999999999,39.900000000000006,7.699999999999998,59.0,263.0,10.900000000000002,13.0,0.01,0.31,9.3,0.0
11,Sweets,10,754.0,1171.0,15.0,34.39999999999999,200.6,256.0,396.0,8.1,0.0,0.06,0.6200000000000001,6.199999999999999,30.0
12,Sauteed Vegetable,10,192.7025,66.0,2.0000000000000004,0.30000000000000004,13.299999999999997,95.0,52.0,1.8,332.0,0.07,0.07,1.3000000000000003,44.0
13,Sauteed Noodles,8,273.75,621.0,17.26,23.0,90.10000000000001,66.0,91.0,5.8,32.0,0.08,0.09,3.6000000000000005,0.0
