,Household No.,HHLD Visit,Meal,Dish List
0,10001,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
1,10001,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
2,10001,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Milk', nan]"
3,10002,First WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Water']"
4,10002,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Water']"
5,10002,Third WE,Breakfast,"['Boiled Rice', 'Fermented Fish', 'Water']"
6,10005,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Sweets', nan]"
7,10005,Second WD,Breakfast,"['Boiled Rice', 'Boiled Pork', 'Sweets', nan]"
8,10005,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, 'Sweets']"
9,10008,Weekday First,Breakfast,"['Baked Bread', 'Sauteed Noodles', nan, nan, nan, 'Water']"
10,10008,Weekday Second,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
11,10008,Weekend,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
12,10009,First WD,Breakfast,"['Fried Fish', nan, 'Water', 'Boiled Rice']"
13,10009,Second WD,Breakfast,"['Duck', nan, nan, nan, 'Boiled Rice', 'Water']"
14,10009,Third WE,Breakfast,"['Boiled Chicken', nan, nan, nan, 'Boiled Rice']"
15,10011,First WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Coffee', nan, 'Water']"
16,10011,Second WD,Breakfast,"['Boiled Rice', 'Boiled Noodles', nan, nan, 'Coffee', nan, nan]"
17,10011,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Coffee', nan]"
18,10104,First WD,Breakfast,['Boiled Rice']
19,10104,Second WD,Breakfast,"['Boiled Vegetable', nan, 'Boiled Rice']"
20,10104,Third WE,Breakfast,"['Milk', nan, 'Boiled Rice', 'Water']"
21,10106,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
22,10106,Second WD,Breakfast,"['Boiled Vegetable', nan, nan, nan, nan, 'Boiled Rice']"
23,10106,Third WE,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
24,10109,First WD,Breakfast,"['Fried Fish', nan, 'Sweets', nan, 'Boiled Rice']"
25,10109,Second WD,Breakfast,"['Boiled Noodles', nan, 'Boiled Rice', 'Others', 'Water']"
26,10109,Third WE,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Water']"
27,11004,First WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice']"
28,11004,Second WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Water']"
29,11004,Third WE,Breakfast,"['Baked Bread', 'Fried Processed Meat', nan]"
30,11006,First WD,Breakfast,"['Boiled Rice', 'Processed Meat', nan, 'Milk', nan]"
31,11006,Second WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Milk', nan]"
32,11006,Third WE,Breakfast,"['Boiled Rice', 'Boiled Pork']"
33,11009,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
34,11009,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
35,11009,Third WE,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Water']"
36,11103,First WD,Breakfast,"['Boiled Vegetable', 'Boiled Rice']"
37,11103,Second WD,Breakfast,"['Boiled Rice', 'Boiled Fish', 'Milk', nan]"
38,11103,Third WE,Breakfast,"['Boiled Rice', 'Water']"
39,11105,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Sauteed Fish', nan]"
40,11105,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan]"
41,11105,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
42,11106,First WD,Breakfast,"['Boiled Rice', 'Fried Egg']"
43,11106,Second WD,Breakfast,"['Fried Egg', 'Boiled Rice']"
44,11106,Third WE,Breakfast,"['Baked Bread', 'Fried Egg', 'Boiled Rice']"
45,11107,First WD,Breakfast,"['Canned Processed Meat', nan, 'Boiled Rice']"
46,11107,Second WD,Breakfast,"['Boiled Rice', 'Canned Processed Meat', nan, 'Fried Egg', 'Milk']"
47,11107,Third WE,Breakfast,"['Boiled Rice', 'Canned Processed Food', nan, nan, nan, nan]"
48,20001,First WD,Breakfast,"['Boiled Rice', 'Canned Processed Meat', nan]"
49,20001,Second WD,Breakfast,"['Boiled Rice', 'Processed Meat', 'Milk', 'Water']"
50,20001,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, 'Others']"
51,20005,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
52,20005,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, 'Water']"
53,20005,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Milk', nan]"
54,20006,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water']"
55,20006,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Water']"
56,20006,Third WE,Breakfast,"['Boiled Rice', 'Boiled Noodles', nan, 'Water']"
57,20101,First WD,Breakfast,"['Milk', 'Boiled Rice', 'Fried Beef', nan, 'Water']"
58,20101,Second WD,Breakfast,"['Milk', 'Boiled Rice', 'Fried Egg', nan]"
59,20101,Third WE,Breakfast,"['Milk', 'Boiled Rice', 'Braised Chicken', nan]"
60,20102,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
61,20102,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Fish']"
62,20102,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
63,20103,First WD,Breakfast,"['Fried Processed Meat', nan, 'Water', 'Boiled Rice']"
64,20103,Second WD,Breakfast,"['Boiled Rice', 'Boiled Fish', nan]"
65,20103,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water']"
66,20104,First WD,Breakfast,"['Fried Egg', 'Boiled Rice', 'Milk', nan, 'Biscuit']"
67,20104,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Fish', nan]"
68,20104,Third WE,Breakfast,"['Sauteed Vegetable', nan, nan, 'Boiled Rice']"
69,20107,First WD,Breakfast,"['Boiled Rice', 'Boiled Noodles', 'Fried Egg']"
70,20107,Second WD,Breakfast,"['Canned Processed Meat', nan, 'Boiled Rice']"
71,20107,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Fish', nan, nan]"
72,20108,First WD,Breakfast,"['Boiled Rice', 'Boiled Pork', nan, 'Water']"
73,20108,Second WD,Breakfast,"['Boiled Egg', 'Boiled Rice', 'Water']"
74,20108,Third WE,Breakfast,"['Fried Vegetable', nan, 'Boiled Rice']"
75,20109,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', 'Fermented Fish']"
76,20109,Second WD,Breakfast,"['Stir-fried Leafy Vegetable', nan, 'Boiled Rice', 'Water']"
77,20109,Third WE,Breakfast,"['Boiled Rice', 'Boiled Leafy Vegetable']"
78,21002,First WD,Breakfast,"['Boiled Rice', 'Boiled Fish', nan, 'Water']"
79,21002,Second WD,Breakfast,"['Boiled Rice', 'Boiled Chicken', 'Others', 'Water']"
80,21002,Third WE,Breakfast,"['Boiled Rice', 'Fried Beef', nan, 'Boiled Vegetable', nan, 'Water']"
81,21003,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', 'Water']"
82,21003,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', 'Water']"
83,21003,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', 'Biscuit']"
84,21004,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk']"
85,21004,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Vegetable', 'Fried Processed Meat', nan]"
86,21004,Third WE,Breakfast,"['Boiled Rice', 'Canned Processed Meat', 'Milk', nan]"
87,21005,First WD,Breakfast,"['Boiled Vegetable', nan, 'Fried Fish', nan, 'Boiled Rice', 'Milk']"
88,21005,Second WD,Breakfast,"['Fried Egg', 'Boiled Rice', 'Boiled Vegetable', nan, nan]"
89,21005,Third WE,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Milk']"
90,21007,First WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
91,21007,Second WD,Breakfast,"['Boiled Rice', 'Boiled Chicken', nan, nan, 'Water']"
