,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,93,12958.399999999998,17693.0,300.5999999999999,32.60000000000001,4057.000000000003,1525.0,5634.0,81.80000000000001,0.0,3.719999999999996,2.8199999999999985,134.0000000000002,0.0
1,Water,52,12333.0,50.0,1.7,2.1,5.9,132.0,0.0,92.4,0.0,0.0,0.0,0.0,66.0
2,Fried Egg,31,1989.7800000000002,3255.0,255.20000000000002,227.10000000000008,47.89999999999999,1480.0,3625.0,59.59999999999999,5191.0,1.5200000000000007,8.18,86.59999999999998,0.0
3,Milk,29,1357.5,3153.0,111.19999999999999,135.39999999999998,367.0000000000001,5088.0,2481.0,706.4,1716.0,4.879999999999998,3.63,1.6,835.0
4,Fried Processed Meat,16,777.0,1519.8,90.5,114.9,35.0,212.0,710.0,15.0,1030.0,0.22,0.56,21.3,0.0
5,Boiled Egg,13,832.74,1416.0,115.29999999999998,102.80000000000003,5.6000000000000005,611.0,1499.0,29.100000000000005,737.0,0.7100000000000001,3.870000000000001,20.7,0.0
6,Fried Fish,13,533.4200000000001,833.0,130.79999999999998,30.7,7.199999999999999,409.0,1354.0,6.700000000000001,626.0,0.56,0.9899999999999999,75.00000000000001,0.0
7,Boiled Fish,5,145.0,188.0,38.0,3.3000000000000003,1.6,154.0,372.0,2.2,144.0,0.05,0.13,12.0,8.0
8,Boiled Vegetable,4,165.0,163.0,9.700000000000001,0.6000000000000001,29.5,425.0,182.0,2.7,424.0,0.15,0.12000000000000001,2.6,23.0
9,Fried Pork,4,235.0,667.0,38.099999999999994,45.9,29.8,102.0,330.0,2.2,88.0,0.6699999999999999,0.21000000000000002,10.0,0.0
10,Fried Vegetable,4,183.79000000000002,138.0,1.7999999999999998,10.200000000000001,9.799999999999999,59.0,50.0,1.0,23.0,0.16,0.08,1.3,6.0
11,Boiled Chicken,3,120.0,205.0,33.9,7.800000000000001,0.0,37.0,255.0,1.5,48.0,0.1,0.1,20.9,0.0
12,Sauteed Vegetable,2,68.895,20.0,0.30000000000000004,0.1,4.3,24.0,11.0,0.2,23.0,0.01,0.0,0.2,9.0
13,Boiled Pork,2,101.4,311.0,17.6,26.700000000000003,0.2,13.0,223.0,1.0,10.0,0.51,0.13,7.3,2.0
14,Fried Chicken,2,107.88,163.0,21.9,8.4,0.0,23.0,157.0,1.1,29.0,0.08,0.1,12.7,1.0
15,Fruit,2,100.0,90.0,0.8,0.30000000000000004,20.9,14.0,20.0,0.7,37.0,0.05,0.03,0.5,39.0
16,Canned Processed Meat,2,70.0,143.0,10.5,10.5,1.4,19.0,84.0,0.7,4.0,0.0,0.1,3.0,0.0
17,Condiment,2,20.0,180.0,0.0,19.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Sauteed Noodles,2,75.0,175.0,2.1,0.4,40.7,3.0,18.0,0.7999999999999999,0.0,0.0,0.0,0.4,0.0
19,Boiled Noodles,1,57.0,260.0,6.0,8.3,36.0,20.0,0.0,3.0,120.0,0.0,0.0,0.0,1.0
20,Sauteed Fish,1,22.5,35.0,6.5,0.9,0.2,46.0,39.0,0.2,0.0,0.0,0.02,2.5,0.0
21,Cereals,1,40.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Boiled Others,1,42.98,45.0,8.9,1.0,0.0,19.0,84.0,0.4,62.0,0.04,0.08,4.9,0.0
23,Roasted Chicken,1,30.0,52.8,7.8,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Baked Bread,1,13.33,44.0,1.3,0.6,8.4,3.0,10.0,0.4,0.0,0.03,0.02,0.6,0.0
25,Sweets,1,22.0,90.0,2.4,2.3,15.0,105.0,134.0,2.9,0.0,0.0,0.27,3.4,14.0
26,Beef,1,55.0,69.0,3.9,2.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Braised Chicken,1,30.0,39.0,6.5,1.5,0.0,7.0,49.0,0.3,9.0,0.02,0.02,4.0,0.0
28,Sauteed Pork,1,82.74,254.0,14.3,21.8,0.2,11.0,182.0,0.8,8.0,0.42,0.1,5.9,2.0
