,Household No.,HHLD Visit,Meal,Dish List
0,10108,First WD,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan, 'Milk', nan]"
1,10108,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
2,10108,Third WE,Breakfast,"['Boiled Rice', 'Boiled Pork', nan, nan, nan, 'Water']"
3,11003,First WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
4,11003,Second WD,Breakfast,"['Fried Egg', nan, nan, 'Boiled Rice']"
5,11003,Third WE,Breakfast,"['Fried Chicken', nan, 'Boiled Rice']"
6,11007,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan]"
7,11007,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan]"
8,11007,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Fish', nan, nan]"
9,11008,First WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Processed Meat', nan, 'Water']"
10,11008,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Fish', nan, 'Cereals', nan]"
11,11008,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg']"
12,11108,First WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Water']"
13,11108,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Water']"
14,11108,Third WE,Breakfast,"['Boiled Rice', 'Boiled Pork', nan, nan, nan, 'Water']"
15,11109,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water', 'Fried Fish', nan]"
16,11109,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fruit', 'Water']"
17,11109,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Fruit', 'Water']"
18,20009,First WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
19,20009,Second WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
20,20009,Third WE,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
21,20010,First WD,Breakfast,"['Fried Egg', nan, 'Milk', 'Boiled Rice']"
22,20010,Second WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Water']"
23,20010,Third WE,Breakfast,"['Boiled Rice', 'Roasted Chicken', 'Water']"
24,21001,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Fried Egg', nan, 'Milk', nan]"
25,21001,Second WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water']"
26,21001,Third WE,Breakfast,"['Milk', nan, 'Baked Bread', 'Boiled Rice', 'Boiled Egg', 'Fried Fish', nan]"
27,21008,First WD,Breakfast,"['Boiled Rice', 'Fried Pork', nan, 'Water']"
28,21008,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
29,21008,Third WE,Breakfast,"['Fried Egg', nan, 'Fried Fish', nan, 'Boiled Rice', 'Water']"
30,21012,First WD,Breakfast,"['Milk', nan, 'Boiled Fish', nan, 'Fried Egg', nan, 'Boiled Rice']"
31,21012,Second WD,Breakfast,"['Boiled Egg', 'Boiled Rice', 'Milk', nan]"
32,21012,Third WE,Breakfast,"['Fried Fish', nan, 'Boiled Egg', 'Boiled Rice', 'Water']"
33,30001,First WD,Breakfast,"['Boiled Rice', 'Fried Pork', nan, 'Water']"
34,30001,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Water']"
35,30001,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
36,30002,First WD,Breakfast,"['Fried Pork', nan, 'Boiled Rice', 'Milk', 'Water']"
37,30002,Second WD,Breakfast,"['Fried Chicken', nan, 'Boiled Rice']"
38,30002,Third WE,Breakfast,"['Fried Egg', nan, 'Milk', 'Water', 'Boiled Rice']"
39,30004,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan, 'Water']"
40,30004,Second WD,Breakfast,"['Boiled Rice', 'Beef', nan, nan]"
41,30004,Third WE,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Milk', nan]"
42,30105,First WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', 'Fried Egg', nan, 'Water']"
43,30105,Second WD,Breakfast,"['Boiled Rice', 'Water', 'Fried Processed Meat', nan, 'Fried Egg', nan]"
44,30105,Third WE,Breakfast,"['Boiled Rice', 'Boiled Fish', nan]"
45,40008,Weekend,Breakfast,"['Fried Processed Meat', nan, 'Fried Egg', 'Boiled Rice', 'Sweets', nan]"
46,40106,First WD,Breakfast,"['Braised Chicken', nan, 'Boiled Rice', 'Milk', 'Water']"
47,40106,Second WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Milk', 'Water']"
48,40106,Third WE,Breakfast,"['Boiled Rice', 'Milk', 'Water', 'Fried Egg', nan]"
49,41007,First WD,Breakfast,"['Fried Egg', nan, 'Milk', 'Boiled Rice', 'Water', nan]"
50,41007,Second WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice', nan, 'Milk', 'Water']"
51,41007,Third WE,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Water', 'Milk']"
52,50001,Weekday First,Breakfast,"['Boiled Rice', 'Boiled Noodles', 'Water']"
53,50001,Weekday Second,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Water']"
54,50001,Weekened,Breakfast,"['Boiled Rice', 'Fried Egg', 'Water']"
55,50003,First WD,Breakfast,"['Boiled Rice', 'Boiled Fish', nan, nan, 'Water']"
56,50003,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', 'Water']"
57,50003,Third WE,Breakfast,"['Boiled Rice', 'Fried Vegetable', nan, nan, 'Water']"
58,50010,First WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, 'Fried Pork', nan]"
59,50010,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Milk']"
60,50010,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Processed Meat', nan]"
61,50110,First WD,Breakfast,"['Boiled Rice', 'Boiled Egg']"
62,50110,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Milk']"
63,50110,Third WE,Breakfast,"['Boiled Rice', 'Boiled Chicken', nan, 'Milk', nan, 'Water']"
64,60102,First WD,Breakfast,"['Boiled Vegetable', nan, 'Boiled Rice', 'Milk', 'Water']"
65,60102,Second WD,Breakfast,"['Boiled Rice', 'Boiled Chicken', nan, 'Milk', 'Water']"
66,60102,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan, nan]"
67,70009,First WD,Breakfast,"['Boiled Fish', nan, nan, 'Boiled Rice', 'Water']"
68,70009,Second WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Water', 'Milk', nan]"
69,70009,Third WE,Breakfast,"['Boiled Fish', nan, 'Boiled Rice', 'Water']"
70,71104,First WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Fried Egg', nan]"
71,71104,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
72,80006,First WD,Breakfast,"['Boiled Rice', 'Canned Processed Meat', nan]"
73,80006,Second WD,Breakfast,"['Boiled Rice', 'Boiled Others']"
74,80006,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg']"
75,80007,First WD,Breakfast,"['Boiled Rice', 'Boiled Chicken', nan, nan, nan, 'Milk', nan]"
76,80007,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Milk', nan]"
77,80007,Third WE,Breakfast,"['Boiled Rice', 'Milk', 'Canned Processed Meat', nan, nan, 'Water']"
78,81003,First WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Water']"
