,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,314,43070.80000000002,56146.0,924.9999999999995,94.19999999999987,12930.799999999985,4849.0,15832.0,268.70000000000016,0.0,8.889999999999969,8.839999999999966,378.6999999999988,0.0
1,Water,159,36023.399999999994,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Fried Egg,100,5397.029999999994,8822.0,680.1999999999998,620.3,137.70000000000005,3802.0,9240.0,149.30000000000007,14317.0,3.819999999999999,21.010000000000026,238.80000000000013,0.0
3,Fried Processed Meat,43,2687.5,5063.0,306.75,347.19999999999993,169.50000000000003,610.0,2032.0,41.400000000000006,3323.0,7.690000000000001,1.6100000000000008,61.500000000000014,0.0
4,Boiled Vegetable,42,981.8052772399999,850.0,42.400000000000006,19.400000000000002,126.79999999999997,1122.0,607.0,15.6,1964.0,1.2100000000000002,0.8600000000000003,20.400000000000002,232.0
5,Milk,41,1326.25,5034.0,169.99999999999994,197.79999999999998,639.3000000000001,7655.0,4489.0,476.39999999999986,3428.0,8.180000000000001,5.41,1.4,873.0
6,Fried Fish,33,1007.0349999999999,1379.0,230.6,47.00000000000001,7.0,797.0,2470.0,13.600000000000001,851.0,0.9700000000000004,1.7000000000000008,128.79999999999995,0.0
7,Sauteed Vegetable,16,412.21125,123.0,3.900000000000001,0.7999999999999999,25.099999999999998,195.0,83.0,3.800000000000001,514.0,0.10999999999999999,0.17,2.2000000000000006,79.0
8,Boiled Fish,13,526.89,699.0,131.8,17.599999999999998,2.5,1168.0,1664.0,7.8999999999999995,439.0,0.52,0.8300000000000001,68.9,0.0
9,Boiled Noodles,13,441.875,1918.0,45.3,70.5,266.1,140.0,0.0,31.099999999999998,479.0,0.0,0.0,0.0,1.0
10,Sweets,12,264.0,1139.0,22.799999999999997,39.89999999999999,172.2,540.0,612.0,22.799999999999997,0.0,0.0,1.9300000000000002,6.8,173.0
