,Household No.,HHLD Visit,Meal,Dish List
0,10006,First WD,Breakfast,"['Fried Egg', nan, 'Fried Processed Meat', nan, 'Boiled Rice']"
1,10006,Second WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Water']"
2,10006,Third WE,Breakfast,"['Boiled Chicken', nan, nan, 'Boiled Rice', 'Water']"
3,10007,First WD,Breakfast,"['Boiled Rice', 'Boiled Chicken', nan, nan, nan, 'Water']"
4,10007,Second WD,Breakfast,"['Boiled Rice', 'Beef', nan, nan, 'Water']"
5,10007,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Vegetable', nan, 'Water']"
6,10101,Weekday First,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
7,10101,Weekday Second,Breakfast,"['Boiled Rice', 'Boiled Fish', nan, 'Water']"
8,10101,Weekend,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, 'Water']"
9,10105,First WD,Breakfast,"['Boiled Rice', 'Fried Beef', 'Fried Egg', nan]"
10,10105,Second WD,Breakfast,"['Boiled Rice', 'Fried Beef', 'Fried Egg', nan]"
11,10105,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
12,10107,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water']"
13,10107,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Beef', nan, nan, 'Water']"
14,10107,Third WE,Breakfast,"['Boiled Rice', nan, 'Water']"
15,10111,First WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan]"
16,10111,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
17,10111,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
18,11001,First WD,Breakfast,"['Fried Fish', 'Processed Meat', nan, 'Boiled Rice']"
19,11001,Second WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Water']"
20,11001,Third WE,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice']"
21,11002,First WD,Breakfast,"['Boiled Rice', 'Fish', 'Water']"
22,11002,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
23,11002,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
24,11005,First WD,Breakfast,"['Canned Processed Meat', nan, 'Fried Egg', nan]"
25,11005,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
26,11005,Third WE,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Boiled Noodles', nan, nan]"
27,11012,Weekday First,Breakfast,"['Boiled Rice', 'Boiled Pork', nan, nan, nan, 'Water']"
28,11012,Weekday Second,Breakfast,"['Boiled Rice', 'Fried Chicken', nan, 'Water']"
29,11012,Weekend,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
30,11101,First WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
31,11101,Second WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
32,11101,Third WE,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
33,11102,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
34,11102,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
35,11102,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, nan, 'Water']"
36,11104,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
37,11104,Second WD,Breakfast,"['Boiled Rice', 'Processed Meat', nan, 'Milk', nan]"
38,11104,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
39,11110,First WD,Breakfast,['Sweets']
40,11110,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan]"
41,11110,Third WE,Breakfast,"['Sweets', nan, 'Fried Processed Meat', nan, 'Fried Egg', nan, 'Boiled Rice']"
42,11112,First WD,Breakfast,"['Boiled Rice', 'Fried Beef', nan, 'Water']"
43,11112,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
44,11112,Third WE,Breakfast,"['Coffee', 'Boiled Rice', 'Fried Beef', nan, 'Water']"
45,20004,First WD,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, 'Sweets']"
46,20004,Second WD,Breakfast,"['Boiled Rice', 'Boiled Fish', 'Sweets']"
47,20004,Third WE,Breakfast,"['Boiled Seafood', 'Boiled Rice']"
48,20007,First WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
49,20007,Second WD,Breakfast,"['Fried Egg', nan, 'Water', 'Boiled Rice']"
50,20007,Third WE,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
51,20008,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Raw Fruit']"
52,20008,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
53,20008,Third WE,Breakfast,"['Boiled Rice', 'Fried Chicken', nan]"
54,20106,First WD,Breakfast,"['Boiled Rice', 'Boiled Noodles', nan, 'Water']"
55,20106,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, 'Water']"
56,20106,Third WE,Breakfast,"['Boiled Vegetable', 'Boiled Rice', 'Water']"
57,20110,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
58,20110,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan, nan, nan]"
59,20110,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Fried Fish', nan, 'Water']"
60,21006,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
61,21006,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
62,21006,Third WE,Breakfast,"['Boiled Rice', 'Roasted Pork']"
63,21010,Third WE,Breakfast,"['Fried Processed Meat', nan, 'Fried Egg', nan, 'Boiled Rice', 'Water']"
64,21105,First WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan]"
65,21105,Second WD,Breakfast,"['Boiled Rice', 'Fried Vegetable', nan, nan]"
66,21105,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, nan, nan]"
67,21108,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
68,21108,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
69,21108,Third WE,Breakfast,"['Boiled Vegetable', nan, nan, nan, 'Water']"
70,21111,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
71,21111,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Milk', nan]"
72,21111,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, nan, 'Fried Egg', nan]"
73,30005,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Processed Meat', nan, 'Water']"
74,30005,Second WD,Breakfast,"['Boiled Rice', 'Water', 'Fried Processed Meat', nan, 'Fried Egg', nan, 'Processed Sweets', 'Juice', 'Boiled Rice', 'Fried Processed Meat', nan, 'Sauteed Noodles', nan, nan, 'Water', 'Milk', nan, 'Biscuit', 'Boiled Rice', 'Boiled Vegetable', 'Boiled Vegetable', nan, nan, 'Water']"
75,30005,Third WE,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Fish', nan, 'Water']"
76,30006,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
77,30007,First WD,Breakfast,"['Boiled Rice', 'Fried Fish']"
78,30007,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Baked Bread']"
79,30007,Third WE,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan]"
80,30012,First WD,Breakfast,"['Boiled Pork', nan, 'Boiled Rice']"
81,30012,Second WD,Breakfast,"['Boiled Fish', nan, 'Boiled Rice']"
82,30012,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
83,30013,First WD,Breakfast,"[nan, 'Boiled Rice']"
84,30013,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Milk', 'Water']"
85,30013,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, nan]"
86,30014,First WD,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan, nan, nan, nan, nan, 'Milk', nan]"
87,30014,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
88,30014,Third WE,Breakfast,"['Boiled Rice', 'Boiled Pork', nan, nan, 'Milk', nan]"
89,30018,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Boiled Vegetable', nan]"
90,30018,Second WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, nan]"
91,30018,Third WE,Breakfast,"[nan, 'Boiled Rice', 'Water']"
92,30021,First WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan]"
93,30021,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan]"
94,30021,Third WE,Breakfast,"['Boiled Chicken/Beef/Pork', 'Boiled Rice', 'Milk', 'Baked Bread']"
95,30022,First WD,Breakfast,"['Boiled Noodles', nan]"
96,30022,Second WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable']"
97,30022,Third WE,Breakfast,"['Boiled Rice', 'Fermented Fish']"
98,30025,First WD,Breakfast,"['Boiled Rice', 'Boiled Egg']"
99,30025,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan]"
100,30025,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan]"
101,30026,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Milk']"
102,30026,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan]"
103,30026,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, nan]"
104,30028,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
105,30028,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
106,30028,Third WE,Breakfast,"['Boiled Rice', 'Fried Vegetable', nan, nan, 'Water']"
107,30030,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
108,30030,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
109,30030,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
110,30035,First WD,Breakfast,"['Fried Egg', nan, nan, 'Boiled Rice', 'Water']"
111,30035,Second WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
112,30035,Third WE,Breakfast,"['Fried Egg', nan, nan, 'Boiled Rice', 'Water']"
113,30103,First WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Boiled Noodles', nan]"
114,30103,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Pork', nan, nan, nan]"
115,30103,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan]"
116,30109,First WD,Breakfast,"['Boiled Rice', 'Milk', 'Water', 'Baked Bread']"
117,30109,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
118,30109,Third WE,Breakfast,"['Boiled Rice', 'Milk', 'Water']"
119,30110,First WD,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan, 'Water']"
120,30110,Second WD,Breakfast,"[nan, 'Boiled Rice', 'Water']"
121,30110,Third WE,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
122,30114,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
123,30114,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
124,30114,Third WE,Breakfast,"['Boiled Rice', 'Boiled Others', nan, nan, 'Water']"
125,30116,Weekday First,Breakfast,"['Boiled Rice', 'Dried Fish', nan]"
126,30116,Weekday Second,Breakfast,"['Boiled Rice', 'Dried Fish', nan]"
127,30116,Weekened,Breakfast,"['Boiled Rice', 'Boiled Vegetable']"
128,30118,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
129,30118,Second WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water']"
130,30118,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, nan, 'Water']"
131,30119,First WD,Breakfast,"['Boiled Rice', 'Fried Egg']"
132,30119,Second WD,Breakfast,"['Boiled Rice', 'Boiled Noodles']"
133,30119,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', 'Milk']"
134,30122,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, 'Coffee', nan, 'Baked Bread', 'Water']"
135,30122,Second WD,Breakfast,"['Coffee', nan, 'Fried Fish', nan, 'Boiled Rice']"
136,30122,Third WE,Breakfast,"['Fried Sweets', 'Grilled Chicken/Beef/Pork', 'Boiled Rice', 'Water']"
137,30123,First WD,Breakfast,"['Boiled Rice', nan, nan]"
138,30123,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan]"
139,30123,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
140,30124,First WD,Breakfast,"['Boiled Rice', nan, nan]"
141,30124,Second WD,Breakfast,"['Boiled Vegetable', nan, nan, nan, 'Boiled Rice']"
142,30124,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, nan]"
143,30126,First WD,Breakfast,"['Boiled Rice', nan, nan]"
144,30126,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
145,30126,Third WE,Breakfast,"['Boiled Rice', 'Dried Fish', nan]"
146,30127,First WD,Breakfast,"['Boiled Rice', 'Boiled Fish', nan, 'Water']"
147,30127,Second WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water']"
148,30127,Third WE,Breakfast,"['Boiled Rice', 'Fried Chicken', nan, 'Water']"
149,30128,First WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Water']"
150,30128,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
151,30128,Third WE,Breakfast,"['Boiled Rice', 'Fried Vegetable', nan, nan, 'Water']"
152,30129,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
153,30129,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, 'Water']"
154,30129,Third WE,Breakfast,"['Boiled Rice', 'Fried Vegetable', nan, 'Water']"
155,30134,First WD,Breakfast,"['Canned Processed Meat', nan, nan, 'Boiled Rice', 'Water']"
156,30134,Second WD,Breakfast,"['Boiled Rice', 'Boiled Noodles', nan, 'Water']"
157,30134,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, nan, 'Water']"
158,40003,First WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Water']"
159,40003,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Water']"
