,Household No.,HHLD Visit,Meal,Dish List
0,10001,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
1,10001,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
2,10001,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Milk', nan]"
3,10002,First WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Water']"
4,10002,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Water']"
5,10002,Third WE,Breakfast,"['Boiled Rice', 'Fermented Fish', 'Water']"
6,10004,First WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice']"
7,10004,Second WD,Breakfast,"['Boiled Fish', 'Boiled Rice']"
8,10004,Third WE,Breakfast,"['Water', 'Boiled Rice', 'Boiled Fish']"
9,10005,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Sweets', nan]"
10,10005,Second WD,Breakfast,"['Boiled Rice', 'Boiled Pork', 'Sweets', nan]"
11,10005,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, 'Sweets']"
12,10006,First WD,Breakfast,"['Fried Egg', nan, 'Fried Processed Meat', nan, 'Boiled Rice']"
13,10006,Second WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Water']"
14,10006,Third WE,Breakfast,"['Boiled Chicken', nan, nan, 'Boiled Rice', 'Water']"
15,10007,First WD,Breakfast,"['Boiled Rice', 'Boiled Chicken', nan, nan, nan, 'Water']"
16,10007,Second WD,Breakfast,"['Boiled Rice', 'Beef', nan, nan, 'Water']"
17,10007,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Vegetable', nan, 'Water']"
18,10008,Weekday First,Breakfast,"['Baked Bread', 'Sauteed Noodles', nan, nan, nan, 'Water']"
19,10008,Weekday Second,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
20,10008,Weekend,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
21,10009,First WD,Breakfast,"['Fried Fish', nan, 'Water', 'Boiled Rice']"
22,10009,Second WD,Breakfast,"['Duck', nan, nan, nan, 'Boiled Rice', 'Water']"
23,10009,Third WE,Breakfast,"['Boiled Chicken', nan, nan, nan, 'Boiled Rice']"
24,10011,First WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Coffee', nan, 'Water']"
25,10011,Second WD,Breakfast,"['Boiled Rice', 'Boiled Noodles', nan, nan, 'Coffee', nan, nan]"
26,10011,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Coffee', nan]"
27,11001,First WD,Breakfast,"['Fried Fish', 'Processed Meat', nan, 'Boiled Rice']"
28,11001,Second WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Water']"
29,11001,Third WE,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice']"
30,11002,First WD,Breakfast,"['Boiled Rice', 'Fish', 'Water']"
31,11002,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
32,11002,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
33,11004,First WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice']"
34,11004,Second WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Water']"
35,11004,Third WE,Breakfast,"['Baked Bread', 'Fried Processed Meat', nan]"
36,11005,First WD,Breakfast,"['Canned Processed Meat', nan, 'Fried Egg', nan]"
37,11005,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
38,11005,Third WE,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Boiled Noodles', nan, nan]"
39,11006,First WD,Breakfast,"['Boiled Rice', 'Processed Meat', nan, 'Milk', nan]"
40,11006,Second WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Milk', nan]"
41,11006,Third WE,Breakfast,"['Boiled Rice', 'Boiled Pork']"
42,11007,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan]"
43,11007,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan]"
44,11007,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Fish', nan, nan]"
45,11008,First WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Processed Meat', nan, 'Water']"
46,11008,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Fish', nan, 'Cereals', nan]"
47,11008,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg']"
48,11009,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
49,11009,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
50,11009,Third WE,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Water']"
51,11010,First WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, nan, nan, 'Water']"
52,11010,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
53,11010,Third WE,Breakfast,"['Fried Pork', nan, 'Boiled Rice', 'Milk', nan, 'Condiment', 'Condiment']"
54,11011,First WD,Breakfast,"['Sauteed Noodles', nan, nan, nan, 'Vegetable', 'Milk', 'Water']"
55,11011,Second WD,Breakfast,"['Boiled Fish', nan, nan, 'Boiled Rice', 'Water']"
56,11011,Third WE,Breakfast,"['Boiled Egg', 'Boiled Rice', 'Sweets']"
57,20001,First WD,Breakfast,"['Boiled Rice', 'Canned Processed Meat', nan]"
58,20001,Second WD,Breakfast,"['Boiled Rice', 'Processed Meat', 'Milk', 'Water']"
59,20001,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, 'Others']"
60,20004,First WD,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, 'Sweets']"
61,20004,Second WD,Breakfast,"['Boiled Rice', 'Boiled Fish', 'Sweets']"
62,20004,Third WE,Breakfast,"['Boiled Seafood', 'Boiled Rice']"
63,20005,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
64,20005,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, 'Water']"
65,20005,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Milk', nan]"
66,20006,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water']"
67,20006,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Water']"
68,20006,Third WE,Breakfast,"['Boiled Rice', 'Boiled Noodles', nan, 'Water']"
69,20007,First WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
70,20007,Second WD,Breakfast,"['Fried Egg', nan, 'Water', 'Boiled Rice']"
71,20007,Third WE,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
72,20008,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Raw Fruit']"
73,20008,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
74,20008,Third WE,Breakfast,"['Boiled Rice', 'Fried Chicken', nan]"
75,20009,First WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
76,20009,Second WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
77,20009,Third WE,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
78,20010,First WD,Breakfast,"['Fried Egg', nan, 'Milk', 'Boiled Rice']"
79,20010,Second WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Water']"
80,20010,Third WE,Breakfast,"['Boiled Rice', 'Roasted Chicken', 'Water']"
81,21001,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Fried Egg', nan, 'Milk', nan]"
82,21001,Second WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water']"
83,21001,Third WE,Breakfast,"['Milk', nan, 'Baked Bread', 'Boiled Rice', 'Boiled Egg', 'Fried Fish', nan]"
84,21002,First WD,Breakfast,"['Boiled Rice', 'Boiled Fish', nan, 'Water']"
85,21002,Second WD,Breakfast,"['Boiled Rice', 'Boiled Chicken', 'Others', 'Water']"
86,21002,Third WE,Breakfast,"['Boiled Rice', 'Fried Beef', nan, 'Boiled Vegetable', nan, 'Water']"
87,21003,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', 'Water']"
88,21003,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', 'Water']"
89,21003,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', 'Biscuit']"
