,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,426,57119.99333333002,74687.0,1243.100000000004,141.4999999999996,17148.199999999943,6454.0,21259.0,354.2999999999999,9.0,12.299999999999933,11.79999999999994,509.19999999999703,2.0
1,Water,202,44609.79999999999,50.0,2.8,2.1,5.9,132.0,0.0,92.4,0.0,0.0,0.0,0.0,66.0
2,Fried Egg,121,6444.705999999994,10552.0,808.1999999999996,741.9999999999991,159.80000000000004,4688.0,11454.0,185.60000000000002,17170.0,4.749999999999996,25.81000000000004,284.30000000000035,0.0
3,Milk,80,2770.25,10023.0,333.4000000000001,410.9,1231.7999999999995,14626.0,7195.0,844.6999999999996,5359.0,13.99,9.300000000000002,1.4,1579.0
4,Fried Fish,51,1941.185,2850.0,466.30000000000007,106.10000000000001,17.4,1609.0,4619.0,24.200000000000006,1599.0,1.4700000000000006,2.9699999999999984,221.49999999999997,0.0
5,Boiled Vegetable,47,1140.0390272399998,884.0,57.2,21.400000000000006,115.30000000000001,1064.0,721.0,16.3,2224.0,1.2900000000000003,1.0500000000000003,31.30000000000001,249.0
6,Fried Processed Meat,41,2497.75,4618.0,289.70000000000005,307.99999999999994,178.0,547.0,1747.0,40.0,3962.0,12.509999999999994,1.4300000000000006,52.900000000000006,0.0
7,Boiled Noodles,20,745.625,3317.0,75.39999999999999,122.2,464.70000000000005,261.0,0.0,60.90000000000002,567.0,0.0,0.0,0.0,1.0
8,Boiled Fish,20,1125.3999999999999,966.0,190.0,22.9,0.0,1282.0,2288.0,11.100000000000001,682.0,0.97,1.34,107.99999999999999,0.0
9,Sauteed Vegetable,18,417.78375,135.0,4.6000000000000005,0.7999999999999999,27.300000000000004,226.0,108.0,4.8999999999999995,536.0,0.16,0.19,2.600000000000001,104.0
10,Boiled Egg,17,1100.7,1865.0,151.6,135.20000000000002,8.700000000000001,807.0,1982.0,38.20000000000001,1104.0,0.9400000000000003,5.0500000000000025,28.599999999999998,0.0
11,Fried Vegetable,15,684.709,412.0,7.400000000000001,26.400000000000002,36.20000000000001,224.0,198.0,3.8000000000000007,102.0,0.5900000000000002,0.33,5.199999999999999,21.0
12,Sweets,12,482.0,1023.0,27.299999999999997,26.100000000000005,170.5,630.0,804.0,32.99999999999999,0.0,0.0,3.120000000000001,17.0,160.0
13,Canned Processed Meat,10,332.33,665.0,50.599999999999994,46.800000000000004,10.700000000000001,70.0,309.0,11.300000000000002,15.0,0.01,0.37,11.0,0.0
14,Sauteed Noodles,9,292.5,633.0,15.760000000000002,8.899999999999999,126.4,64.0,81.0,6.2,4.0,0.0,0.05,2.3,0.0
