,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,450,60347.193333330026,79570.1,1341.8000000000047,158.99999999999972,18375.49999999995,6892.0,23652.0,376.20000000000005,9.0,14.449999999999914,12.649999999999919,567.3999999999977,2.0
1,Water,204,46967.59999999999,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Fried Egg,147,8586.355999999989,13963.0,1100.7999999999995,968.2999999999987,218.50000000000009,6326.0,15439.0,250.50000000000006,23306.0,6.409999999999995,34.81000000000005,385.40000000000026,0.0
3,Milk,96,3108.0,13063.0,436.4000000000004,540.1000000000001,1595.5999999999985,19484.0,9523.0,1004.4999999999993,7131.0,18.52000000000001,12.369999999999992,0.7,2033.0
4,Fried Processed Meat,54,3018.25,5785.0,349.74999999999994,394.59999999999985,203.20000000000002,685.0,2151.0,60.600000000000016,4815.0,7.660000000000001,1.7500000000000007,64.60000000000001,0.0
5,Fried Fish,53,1921.4050000000002,2336.0,442.6000000000001,59.800000000000004,5.1,1797.0,4595.0,25.600000000000005,1671.0,1.6200000000000006,3.08,232.69999999999996,0.0
6,Boiled Vegetable,42,985.1324999999999,837.0,57.20000000000002,20.800000000000004,105.79999999999991,1058.0,738.0,14.300000000000004,1951.0,1.2200000000000002,0.9200000000000003,29.1,186.0
7,Boiled Fish,26,975.54,1180.0,232.29999999999993,24.0,9.0,1497.0,2617.0,13.800000000000002,1085.0,0.8900000000000001,1.4400000000000004,120.19999999999999,35.0
8,Sauteed Vegetable,22,680.9599999999999,164.0,4.6,0.9999999999999999,33.7,256.0,125.0,5.099999999999998,532.0,0.15000000000000002,0.18000000000000002,2.8000000000000003,116.0
9,Boiled Egg,21,1393.2,2050.0,190.3,169.60000000000002,13.200000000000005,1023.0,2508.0,47.60000000000001,1617.0,1.1500000000000004,6.340000000000002,38.8,0.0
10,Boiled Noodles,21,856.625,2687.0,59.29999999999999,90.69999999999999,398.40000000000003,190.0,3.0,41.5,438.0,0.0,0.0,0.0,1.0
11,Sweets,18,394.0,1689.0,29.6,73.3,268.4,960.0,1148.0,28.299999999999997,0.0,0.0,2.4300000000000006,23.799999999999997,200.0
12,Canned Processed Meat,15,459.40666667000005,862.0,67.79999999999998,58.5,18.5,70.0,311.0,11.200000000000001,15.0,0.01,0.36999999999999994,11.0,0.0
13,Fried Vegetable,13,572.28,278.0,5.9,15.4,28.999999999999996,179.0,159.0,2.7,73.0,0.45,0.23999999999999996,4.1,4.0
14,Sauteed Noodles,9,518.75,1762.0,45.4,65.69999999999999,247.59999999999997,181.0,285.0,7.800000000000001,30.0,0.21000000000000002,0.23,15.8,0.0
15,Fried Chicken,8,297.84000000000003,536.0,53.699999999999996,35.7,0.1,112.0,367.0,3.2,107.0,0.16,0.22,26.5,5.0
16,Fried Pork,7,570.28,1607.0,72.4,128.4,39.8,220.0,914.0,6.5,386.0,1.9,0.8300000000000001,35.699999999999996,1.0
17,Condiment,7,47.5,308.0,0.4,29.700000000000003,9.3,13.0,5.0,0.4,0.0,0.0,0.0,0.2,0.0
18,Boiled Pork,6,372.68,792.0,50.0,64.4,2.7,38.0,413.0,2.9000000000000004,38.0,0.94,0.25,13.8,4.0
19,Baked Bread,5,153.29,497.0,15.8,5.800000000000001,95.19999999999999,69.0,137.0,4.7,2.0,0.42000000000000004,0.24,6.7,0.0
20,Fried Beef,5,252.32999999999998,379.2,18.7,15.399999999999999,42.9,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
21,Sauteed Fish,5,167.0,234.0,31.5,10.100000000000001,4.5,316.0,312.0,0.7,16.0,0.02,0.24999999999999997,14.100000000000001,0.0
22,Coffee,5,82.0,384.0,1.6000000000000003,13.3,63.099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Stir-fried Vegetable,4,139.7025,70.0,5.3,0.6000000000000001,11.0,100.0,61.0,1.2000000000000002,69.0,0.16,0.15000000000000002,2.1,23.0
24,Biscuit,4,97.5,445.0,11.5,14.5,58.3,38.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
25,Raw Fruit,4,154.79,315.0,4.7,0.5,73.0,36.0,93.0,1.8,16.0,0.06,0.06,2.0999999999999996,21.0
26,Boiled Chicken,3,150.0,313.0,36.800000000000004,18.5,0.0,62.0,266.0,1.9,49.0,0.11000000000000001,0.16,19.400000000000002,4.0
27,Fermented Fish,3,22.5,22.0,4.699999999999999,0.4,0.0,187.0,102.0,1.7,27.0,0.0,0.04,1.7,0.0
28,Braised Chicken,2,66.14,113.0,12.7,7.0,0.0,11.0,86.0,0.7,14.0,0.06,0.07,6.8,1.0
29,Fresh Fruit,2,110.0,65.0,1.0,0.4,14.100000000000001,25.0,25.0,0.8999999999999999,2.0,0.08,0.04,0.7999999999999999,19.0
30,Boiled Others,2,52.5,62.0,13.7,0.8,0.0,33.0,133.0,0.6,30.0,0.03,0.06,6.699999999999999,0.0
31,Boiled Chicken/Beef/Pork,2,60.0,97.0,7.6,5.9,3.1,22.0,79.0,0.6,17.0,0.05,0.07,2.9000000000000004,0.0
32,Beef,2,85.0,124.0,13.0,4.1,9.8,10.0,69.0,0.4,13.0,0.03,0.03,5.6,0.0
33,Processed Meat,2,50.0,220.0,14.8,16.6,3.0,46.0,126.0,2.6,0.0,0.08,0.18,5.4,0.0
34,Boiled Leafy Vegetable,2,74.7,28.0,1.2,0.4,5.0,55.0,11.0,1.7,316.0,0.03,0.06,0.7,37.0
35,Roasted Pork,2,60.0,156.0,9.4,13.100000000000001,0.1,21.0,113.0,0.8,17.0,0.2,0.09,4.0,1.0
36,Sauteed Pork,1,20.79,81.0,3.0,7.7,0.0,3.0,23.0,0.2,1.0,0.12,0.02,1.4,0.0
37,Stir-fried Leafy Vegetable,1,38.115,11.0,0.6,0.2,1.8,19.0,10.0,0.5,98.0,0.01,0.03,0.3,4.0
38,Vegetable,1,257.0,917.0,21.3,3.9,199.2,28.0,221.0,1.0,0.0,0.21,0.13,5.1,0.0
39,Canned Processed Food,1,22.9,90.0,3.3,8.5,0.0,3.0,26.0,0.2,1.0,0.13,0.03,1.6,0.0
40,Sauteed Beef,1,53.3,109.0,7.9,8.0,1.1,14.0,63.0,0.5,3.0,0.01,0.07,2.2,0.0
41,Boiled Seafood,1,30.0,24.0,5.2,0.4,0.0,14.0,47.0,0.5,37.0,0.0,0.01,1.4,0.0
42,Fruit,1,40.0,28.0,0.3,0.1,6.4,12.0,10.0,0.4,3.0,0.02,0.02,0.5,51.0
43,Deep-Fried Pork,1,30.0,124.0,7.0,10.6,0.1,5.0,89.0,0.4,4.0,0.21,0.05,2.9,1.0
44,Cereals,1,40.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Boiled Beef,1,30.0,44.0,7.6,1.5,0.0,10.0,52.0,0.8,64.0,0.03,0.05,2.6,0.0
46,Baked Sweets,1,20.0,51.0,0.6,0.2,11.8,3.0,12.0,0.3,0.0,0.01,0.0,0.3,0.0
47,Braised Fish,1,56.0,64.0,14.6,0.6,0.0,89.0,109.0,1.2,61.0,0.01,0.02,7.8,0.0
48,Roasted Others,1,30.0,64.0,3.8,4.6,1.9,32.0,23.0,0.4,452.0,0.01,0.04,1.2,0.0
