,Household No.,HHLD Visit,Meal,Dish List
0,10004,First WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice']"
1,10004,Second WD,Breakfast,"['Boiled Fish', 'Boiled Rice']"
2,10004,Third WE,Breakfast,"['Water', 'Boiled Rice', 'Boiled Fish']"
3,10006,First WD,Breakfast,"['Fried Egg', nan, 'Fried Processed Meat', nan, 'Boiled Rice']"
4,10006,Second WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Water']"
5,10006,Third WE,Breakfast,"['Boiled Chicken', nan, nan, 'Boiled Rice', 'Water']"
6,10007,First WD,Breakfast,"['Boiled Rice', 'Boiled Chicken', nan, nan, nan, 'Water']"
7,10007,Second WD,Breakfast,"['Boiled Rice', 'Beef', nan, nan, 'Water']"
8,10007,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Vegetable', nan, 'Water']"
9,10011,First WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Coffee', nan, 'Water']"
10,10011,Second WD,Breakfast,"['Boiled Rice', 'Boiled Noodles', nan, nan, 'Coffee', nan, nan]"
11,10011,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Coffee', nan]"
12,10104,First WD,Breakfast,['Boiled Rice']
13,10104,Second WD,Breakfast,"['Boiled Vegetable', nan, 'Boiled Rice']"
14,10104,Third WE,Breakfast,"['Milk', nan, 'Boiled Rice', 'Water']"
15,10106,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
16,10106,Second WD,Breakfast,"['Boiled Vegetable', nan, nan, nan, nan, 'Boiled Rice']"
17,10106,Third WE,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
18,10107,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water']"
19,10107,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Beef', nan, nan, 'Water']"
20,10107,Third WE,Breakfast,"['Boiled Rice', nan, 'Water']"
21,11003,First WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
22,11003,Second WD,Breakfast,"['Fried Egg', nan, nan, 'Boiled Rice']"
23,11003,Third WE,Breakfast,"['Fried Chicken', nan, 'Boiled Rice']"
24,11005,First WD,Breakfast,"['Canned Processed Meat', nan, 'Fried Egg', nan]"
25,11005,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
26,11005,Third WE,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Boiled Noodles', nan, nan]"
27,11007,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan]"
28,11007,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan]"
29,11007,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Fish', nan, nan]"
30,11008,First WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Processed Meat', nan, 'Water']"
31,11008,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Fish', nan, 'Cereals', nan]"
32,11008,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg']"
33,11011,First WD,Breakfast,"['Sauteed Noodles', nan, nan, nan, 'Vegetable', 'Milk', 'Water']"
34,11011,Second WD,Breakfast,"['Boiled Fish', nan, nan, 'Boiled Rice', 'Water']"
35,11011,Third WE,Breakfast,"['Boiled Egg', 'Boiled Rice', 'Sweets']"
36,11103,First WD,Breakfast,"['Boiled Vegetable', 'Boiled Rice']"
37,11103,Second WD,Breakfast,"['Boiled Rice', 'Boiled Fish', 'Milk', nan]"
38,11103,Third WE,Breakfast,"['Boiled Rice', 'Water']"
39,11105,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Sauteed Fish', nan]"
40,11105,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan]"
41,11105,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
42,11107,First WD,Breakfast,"['Canned Processed Meat', nan, 'Boiled Rice']"
