,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,711,97766.09333333003,127895.4,2126.200000000017,239.20000000000013,29419.899999999903,11055.0,36846.0,610.4999999999993,9.0,21.369999999999926,20.05999999999991,883.4999999999977,2.0
1,Water,375,85608.99999999999,50.0,2.8,2.1,5.9,132.0,0.0,92.4,0.0,0.0,0.0,0.0,66.0
2,Fried Egg,215,11776.085999999985,19272.0,1481.0999999999992,1355.499999999997,296.1000000000001,8497.0,20716.0,336.9999999999997,31280.0,8.649999999999984,46.84000000000012,518.0000000000002,2.0
3,Milk,110,3417.5,12943.0,419.40000000000015,540.4000000000002,1577.1999999999994,18158.0,7376.0,1067.9000000000008,5415.0,14.729999999999999,9.860000000000001,1.4,1779.0
4,Fried Fish,93,3900.5150000000003,5399.0,957.5000000000002,166.8999999999999,25.1,3238.0,9623.0,50.600000000000016,3680.0,3.979999999999996,6.749999999999999,503.5,0.0
5,Fried Processed Meat,85,4778.0,9150.0,558.8499999999998,621.1999999999997,322.09999999999997,1028.0,3374.0,77.70000000000007,6580.0,21.06000000000002,2.68,101.50000000000004,0.0
6,Boiled Vegetable,72,1620.4152772400003,1191.0,65.30000000000003,23.000000000000004,179.7999999999999,1345.0,868.0,19.90000000000001,3169.0,1.5800000000000005,1.2900000000000005,36.20000000000001,334.0
7,Boiled Fish,38,1716.4600000000003,1535.0,288.59999999999997,36.900000000000006,12.0,845.0,2788.0,15.400000000000002,1436.0,1.2200000000000002,1.9800000000000004,151.19999999999993,35.0
8,Boiled Egg,36,2405.94,3982.0,328.5000000000001,295.6,18.700000000000003,1765.0,4331.0,83.39999999999999,2387.0,2.040000000000001,11.070000000000002,62.39999999999999,0.0
9,Sweets,30,1192.0,3108.0,59.89999999999999,93.59999999999994,507.30000000000007,1321.0,1678.0,57.79999999999999,0.0,0.06,5.100000000000001,29.999999999999993,334.0
10,Sauteed Vegetable,30,843.0737499999999,230.0,7.299999999999997,1.0999999999999999,46.50000000000001,327.0,164.0,7.399999999999998,900.0,0.21000000000000005,0.26000000000000006,4.100000000000001,124.0
11,Boiled Noodles,26,1083.625,3836.0,84.69999999999997,134.5,546.9,265.0,3.0,67.00000000000001,429.0,0.0,0.0,0.0,2.0
12,Fried Vegetable,22,852.769,714.0,8.799999999999999,56.300000000000004,43.20000000000002,266.0,236.0,4.400000000000001,120.0,0.6900000000000002,0.3800000000000001,6.199999999999999,21.0
13,Fried Pork,17,1293.51,4255.0,195.9,356.2,69.9,415.0,2073.0,14.600000000000001,700.0,5.199999999999999,2.04,86.3,12.0
14,Sauteed Noodles,14,725.0,1695.0,46.199999999999996,80.4,195.20000000000002,126.0,306.0,8.8,63.0,0.72,0.25,14.1,0.0
15,Coffee,13,192.0,828.0,9.299999999999997,20.899999999999995,148.9,40.0,112.0,0.5,0.0,0.0,0.1,17.4,0.0
16,Boiled Chicken,13,577.74,1066.0,127.39999999999999,61.7,1.2,169.0,928.0,7.4,2929.0,0.5099999999999999,1.9700000000000006,69.69999999999999,24.0
17,Baked Bread,13,513.25666667,1680.0,52.00000000000001,21.099999999999998,320.29999999999995,194.0,426.0,15.9,3.0,1.25,0.78,23.5,0.0
18,Canned Processed Meat,12,288.32,563.0,46.8,37.4,13.600000000000001,35.0,152.0,1.2,8.0,0.0,0.18,5.5,0.0
19,Boiled Pork,11,533.58,1417.0,86.9,116.4,4.6,186.0,810.0,9.4,154.0,1.43,0.67,28.400000000000002,8.0
20,Fried Chicken,10,371.48,766.0,64.0,56.699999999999996,0.1,168.0,439.0,4.1,121.0,0.19,0.32000000000000006,27.700000000000003,11.0
21,Condiment,9,85.0,429.0,0.5,29.800000000000004,39.400000000000006,52.0,11.0,0.6000000000000001,0.0,0.0,0.03,0.2,0.0
22,Fried Beef,9,445.2,805.2,39.8,38.5,61.50000000000001,58.0,188.0,3.4,140.0,0.04,0.14,6.2,2.0
23,Biscuit,7,227.0,1040.0,25.8,34.6,154.6,181.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
24,Raw Fruit,6,340.0,559.0,7.4,0.8999999999999999,130.2,77.0,161.0,3.3999999999999995,114.0,0.12,0.15000000000000002,3.5999999999999996,69.0
25,Sauteed Fish,5,167.0,234.0,31.5,10.100000000000001,4.5,316.0,312.0,0.7,16.0,0.02,0.24999999999999997,14.100000000000001,0.0
26,Boiled Others,5,370.48,171.0,31.4,4.8999999999999995,0.0,67.0,312.0,1.7,97.0,0.13,0.23,15.700000000000001,0.0
27,Processed Meat,5,200.0,880.0,59.199999999999996,66.4,11.8,183.0,502.0,10.600000000000001,0.0,0.31,0.7199999999999999,21.599999999999998,0.0
28,Dried Fish,4,90.805,153.0,31.6,2.9000000000000004,0.0,660.0,412.0,4.6000000000000005,180.0,0.01,0.1,15.1,0.0
29,Fermented Fish,4,37.5,38.0,8.2,0.7,0.0,310.0,179.0,2.9,27.0,0.0,0.06999999999999999,3.0000000000000004,0.0
30,Fresh Fruit,3,195.0,110.0,1.4,0.7,24.400000000000002,54.0,34.0,1.7999999999999998,66.0,0.11,0.07,1.2999999999999998,82.0
31,Others,3,495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
