,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,77,16305.599999999999,21452.7,358.7999999999997,37.20000000000001,5015.599999999999,1881.0,6703.0,101.90000000000002,0.0,4.1,3.28,159.80000000000004,0.0
1,Water,45,11310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Milk,31,1118.5,4648.0,155.20000000000002,194.89999999999998,562.9000000000001,7202.0,3382.0,559.1,2394.0,7.28,4.9399999999999995,0.0,934.0
3,Fried Egg,23,1460.91,2454.0,194.79999999999998,167.20000000000002,42.4,1121.0,2730.0,43.3,4440.0,1.1000000000000003,6.07,72.49999999999999,0.0
4,Fried Fish,14,667.7349999999999,785.0,152.29999999999998,19.3,0.1,496.0,1580.0,8.799999999999999,523.0,0.5800000000000001,1.2100000000000002,77.9,0.0
5,Fried Processed Meat,10,748.75,1722.0,97.85000000000001,131.20000000000002,36.00000000000001,233.0,839.0,12.899999999999999,142.0,0.26,0.6700000000000002,25.099999999999998,0.0
6,Sweets,10,436.0,953.0,14.8,47.3,157.6,210.0,268.0,14.200000000000001,0.0,0.0,1.36,6.8,69.0
7,Boiled Egg,7,487.5,625.0,67.6,60.3,3.3,357.0,878.0,17.1,433.0,0.43,2.25,12.0,0.0
8,Boiled Noodles,6,281.0,1172.0,28.5,39.8,172.3,85.0,0.0,15.799999999999999,258.0,0.0,0.0,0.0,0.0
9,Coffee,5,51.0,230.0,0.6,7.200000000000001,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Boiled Fish,5,313.77,330.0,66.5,7.1,0.0,182.0,672.0,3.7,281.0,0.4,0.58,36.6,0.0
11,Boiled Vegetable,5,216.57999999999998,175.0,15.2,1.5,25.299999999999997,313.0,219.0,2.1999999999999997,165.0,0.18000000000000002,0.13999999999999999,6.7,19.0
12,Sauteed Noodles,4,329.75,557.0,5.1,2.0,129.79999999999998,13.0,43.0,1.9,0.0,0.0,0.01,1.0,0.0
13,Biscuit,3,81.0,370.0,9.5,12.0,47.3,30.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
14,Sauteed Vegetable,3,113.4,36.0,0.6000000000000001,0.2,7.9,39.0,21.0,0.30000000000000004,42.0,0.03,0.02,0.5,11.0
15,Boiled Pork,2,142.74,382.0,22.700000000000003,32.2,0.2,45.0,277.0,1.9000000000000001,35.0,0.52,0.2,9.4,2.0
16,Canned Processed Meat,2,150.0,306.0,22.4,22.6,3.2,40.0,178.0,1.4,8.0,0.02,0.22,6.2,0.0
17,Others,1,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Fried Pork,1,90.0,253.0,9.8,14.9,19.8,63.0,171.0,1.0,14.0,0.23,0.05,3.3,0.0
19,Fried Seafood,1,13.68,12.0,2.6,0.1,0.3,20.0,29.0,0.2,8.0,0.01,0.01,0.7,0.0
20,Baked Bread,1,80.0,255.0,8.5,2.7,49.0,52.0,82.0,2.5,2.0,0.25,0.13,3.4,0.0
21,Fried Vegetable,1,128.79,37.0,1.3,0.3,7.5,45.0,37.0,0.8,17.0,0.13,0.06,1.0,6.0
22,Vegetable,1,257.0,917.0,21.3,3.9,199.2,28.0,221.0,1.0,0.0,0.21,0.13,5.1,0.0
23,Fried Chicken,1,41.7,85.0,7.1,6.3,0.0,5.0,43.0,0.4,6.0,0.04,0.06,3.2,2.0
24,Processed Meat,1,20.0,88.0,5.9,6.6,1.2,18.0,50.0,1.1,0.0,0.03,0.07,2.2,0.0
25,Beef,1,55.0,69.0,3.9,2.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Fried Beef,1,56.7,82.0,4.5,2.3,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Cereals,1,20.0,74.0,1.6,0.6,15.5,106.0,0.0,2.8,0.0,0.0,0.32,3.6,0.0
28,Boiled Chicken,1,30.0,86.0,7.2,6.4,0.0,5.0,43.0,0.4,6.0,0.04,0.06,3.3,2.0
