,Household No.,HHLD Visit,Meal,Dish List
0,10005,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Sweets', nan]"
1,10005,Second WD,Breakfast,"['Boiled Rice', 'Boiled Pork', 'Sweets', nan]"
2,10005,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, 'Sweets']"
3,10011,First WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Coffee', nan, 'Water']"
4,10011,Second WD,Breakfast,"['Boiled Rice', 'Boiled Noodles', nan, nan, 'Coffee', nan, nan]"
5,10011,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Coffee', nan]"
6,10109,First WD,Breakfast,"['Fried Fish', nan, 'Sweets', nan, 'Boiled Rice']"
7,10109,Second WD,Breakfast,"['Boiled Noodles', nan, 'Boiled Rice', 'Others', 'Water']"
8,10109,Third WE,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Water']"
9,10111,First WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan]"
10,10111,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
11,10111,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
12,11011,First WD,Breakfast,"['Sauteed Noodles', nan, nan, nan, 'Vegetable', 'Milk', 'Water']"
13,11011,Second WD,Breakfast,"['Boiled Fish', nan, nan, 'Boiled Rice', 'Water']"
14,11011,Third WE,Breakfast,"['Boiled Egg', 'Boiled Rice', 'Sweets']"
15,21005,First WD,Breakfast,"['Boiled Vegetable', nan, 'Fried Fish', nan, 'Boiled Rice', 'Milk']"
16,21005,Second WD,Breakfast,"['Fried Egg', 'Boiled Rice', 'Boiled Vegetable', nan, nan]"
17,21005,Third WE,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Milk']"
18,21013,First WD,Breakfast,"['Milk', nan, 'Boiled Egg', 'Boiled Rice', 'Water']"
19,21013,Second WD,Breakfast,"['Boiled Egg', 'Milk', nan, 'Canned Processed Meat', nan, nan, 'Boiled Rice', 'Water']"
20,21013,Third WE,Breakfast,"['Milk', nan, 'Fried Egg', nan, 'Boiled Rice', 'Water']"
21,30004,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan, 'Water']"
22,30004,Second WD,Breakfast,"['Boiled Rice', 'Beef', nan, nan]"
23,30004,Third WE,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Milk', nan]"
24,30115,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Fish']"
25,30115,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Fish']"
