,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,294,45622.40000000002,59899.0,991.3999999999999,102.59999999999981,13772.599999999986,5161.0,17403.0,284.1000000000001,0.0,10.069999999999972,9.23999999999997,415.7999999999988,0.0
1,Water,143,31528.0,50.0,1.7,2.1,5.9,132.0,0.0,92.4,0.0,0.0,0.0,0.0,66.0
2,Milk,100,3442.75,13251.0,442.90000000000026,552.2000000000003,1610.9999999999982,20479.0,10311.0,1568.8000000000015,7626.0,20.719999999999995,13.849999999999994,0.0,2585.0
3,Fried Egg,96,5650.495999999996,8969.0,719.2999999999998,613.4999999999997,141.90000000000006,4061.0,9882.0,161.2000000000001,14748.0,4.119999999999997,22.54000000000002,248.8000000000002,2.0
4,Fried Fish,37,1636.2800000000002,2308.0,398.59999999999997,72.89999999999999,12.299999999999999,1278.0,3991.0,20.9,1593.0,1.5400000000000007,2.82,210.20000000000007,0.0
5,Fried Processed Meat,32,1882.75,3905.0,225.45000000000002,284.8,100.9,465.0,1642.0,29.5,1178.0,3.5399999999999987,1.2900000000000003,49.10000000000001,0.0
6,Boiled Egg,26,1753.44,2975.0,239.10000000000005,215.90000000000006,13.100000000000003,1286.0,3157.0,61.00000000000002,1683.0,1.5100000000000007,8.070000000000004,44.699999999999996,0.0
7,Boiled Vegetable,23,623.615,506.0,40.70000000000002,3.7000000000000006,76.70000000000002,999.0,582.0,9.1,879.0,0.52,0.4900000000000001,17.200000000000003,95.0
8,Boiled Fish,15,711.22,769.0,146.0,17.3,7.199999999999999,400.0,1463.0,8.600000000000001,900.0,0.8900000000000001,1.1900000000000004,83.99999999999999,36.0
9,Boiled Noodles,15,592.25,2622.0,60.199999999999996,94.8,369.6,196.0,0.0,48.0,332.0,0.0,0.0,0.0,0.0
10,Sauteed Vegetable,15,314.59625,110.0,3.3000000000000007,0.4,22.9,138.0,76.0,3.5000000000000004,210.0,0.09,0.1,1.5999999999999999,50.0
11,Sweets,12,482.0,1023.0,27.299999999999997,26.100000000000005,170.5,640.0,816.0,33.0,0.0,0.0,3.12,17.0,161.0
12,Canned Processed Meat,11,360.66,727.0,54.599999999999994,51.8,10.600000000000001,82.0,360.0,11.6,17.0,0.02,0.43999999999999995,12.7,0.0
13,Biscuit,8,225.5,1035.0,25.3,34.1,146.9,174.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0
14,Sauteed Noodles,8,441.0,1163.0,38.160000000000004,73.1,93.2,72.0,268.0,2.9,67.0,0.72,0.25,11.400000000000002,0.0
15,Coffee,7,103.0,479.0,1.9000000000000004,16.3,79.80000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Fried Pork,7,560.0,2131.0,85.4,169.9,69.4,263.0,896.0,5.8,71.0,1.7400000000000002,0.5900000000000001,25.9,8.0
17,Fried Vegetable,5,287.55899999999997,87.0,3.6000000000000005,1.1,16.0,100.0,91.0,1.8,53.0,0.27,0.15,2.4999999999999996,6.0
18,Baked Bread,5,199.99,651.0,20.5,7.8,124.60000000000001,81.0,172.0,6.1,2.0,0.52,0.31,9.0,0.0
19,Boiled Chicken,5,210.0,370.0,54.1,17.2,0.0,56.0,395.0,2.5,73.0,0.18,0.19999999999999998,32.2,2.0
20,Fried Beef,5,281.55,427.2,21.2,16.7,48.8,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
21,Boiled Pork,5,385.03,686.0,40.5,58.2,0.2,100.0,476.0,3.8000000000000003,85.0,0.81,0.4,16.700000000000003,2.0
22,Fried Chicken,5,161.66000000000003,287.0,24.9,20.9,0.0,33.0,170.0,1.4,30.0,0.1,0.15000000000000002,12.399999999999999,4.0
23,Raw Fruit,4,219.79,215.0,2.5,0.6,50.099999999999994,35.0,71.0,1.5,10.0,0.05,0.05,1.6,42.0
24,Fruit,3,140.0,118.0,1.0999999999999999,0.4,27.300000000000004,26.0,30.0,1.1,40.0,0.07,0.05,1.0,90.0
25,Fresh Fruit,3,240.0,135.0,1.5,0.8,30.5,71.0,36.0,2.4,128.0,0.12,0.09,1.7,127.0
26,Condiment,3,12.5,14.0,0.2,0.0,3.4,4.0,4.0,0.2,0.0,0.0,0.0,0.1,0.0
27,Processed Meat,3,95.0,418.0,28.1,31.5,5.6,87.0,238.0,5.1000000000000005,0.0,0.15000000000000002,0.33999999999999997,10.3,0.0
28,Roasted Others,2,60.0,116.0,9.3,8.0,1.9,35.0,62.0,0.6000000000000001,517.0,0.08,0.16,3.5,0.0
29,Stir-fried Vegetable,2,90.0,42.0,3.2,0.30000000000000004,6.800000000000001,60.0,40.0,0.8,42.0,0.1,0.1,1.4,17.0
30,Sauteed Fish,2,77.0,107.0,13.9,4.8,2.1999999999999997,145.0,145.0,0.3,8.0,0.01,0.12,6.3,0.0
31,Processed Sweets,1,10.0,38.0,0.4,0.2,8.8,17.0,11.0,0.0,17.0,0.02,0.04,0.1,0.0
32,Fried Seafood,1,13.68,12.0,2.6,0.1,0.3,20.0,29.0,0.2,8.0,0.01,0.01,0.7,0.0
33,Bread,1,40.0,132.0,3.9,2.0,24.4,31.0,38.0,1.6,0.0,0.08,0.06,2.0,0.0
34,Braised Chicken,1,29.99,39.0,6.5,1.5,0.0,7.0,49.0,0.3,9.0,0.02,0.02,4.0,0.0
35,Boiled Chicken/Beef/Pork,1,30.0,33.0,3.4,0.7,3.1,5.0,32.0,0.1,3.0,0.0,0.02,1.1,0.0
36,Cereals,1,20.0,74.0,1.6,0.6,15.5,106.0,0.0,2.8,0.0,0.0,0.32,3.6,0.0
37,Braised Fish,1,56.0,64.0,14.6,0.6,0.0,89.0,109.0,1.2,61.0,0.01,0.02,7.8,0.0
38,Juice,1,200.0,80.0,0.0,0.0,20.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,75.0
39,Roasted Chicken,1,30.0,52.8,7.8,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Chicken,1,110.0,227.0,13.6,12.9,14.0,149.0,153.0,3.0,0.0,0.02,0.07,5.2,0.0
41,Beef,1,55.0,69.0,3.9,2.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Stir-fried Pork/Chicken,1,23.33,29.0,4.2,0.9,0.9,3.0,35.0,0.8,2153.0,0.07,1.05,3.3,8.0
43,Others,1,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
