,Household No.,HHLD Visit,Meal,Dish List
0,10011,First WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Coffee', nan, 'Water']"
1,10011,Second WD,Breakfast,"['Boiled Rice', 'Boiled Noodles', nan, nan, 'Coffee', nan, nan]"
2,10011,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Coffee', nan]"
3,10104,First WD,Breakfast,['Boiled Rice']
4,10104,Second WD,Breakfast,"['Boiled Vegetable', nan, 'Boiled Rice']"
5,10104,Third WE,Breakfast,"['Milk', nan, 'Boiled Rice', 'Water']"
6,10109,First WD,Breakfast,"['Fried Fish', nan, 'Sweets', nan, 'Boiled Rice']"
7,10109,Second WD,Breakfast,"['Boiled Noodles', nan, 'Boiled Rice', 'Others', 'Water']"
8,10109,Third WE,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Water']"
9,10111,First WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan]"
10,10111,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
11,10111,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
12,11005,First WD,Breakfast,"['Canned Processed Meat', nan, 'Fried Egg', nan]"
13,11005,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
14,11005,Third WE,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Boiled Noodles', nan, nan]"
15,11010,First WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, nan, nan, 'Water']"
16,11010,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
17,11010,Third WE,Breakfast,"['Fried Pork', nan, 'Boiled Rice', 'Milk', nan, 'Condiment', 'Condiment']"
18,11104,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
19,11104,Second WD,Breakfast,"['Boiled Rice', 'Processed Meat', nan, 'Milk', nan]"
20,11104,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
21,11109,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water', 'Fried Fish', nan]"
22,11109,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fruit', 'Water']"
23,11109,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Fruit', 'Water']"
24,11112,First WD,Breakfast,"['Boiled Rice', 'Fried Beef', nan, 'Water']"
25,11112,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
