,support,itemsets,length
0,0.9649122807017544,{'Boiled Rice'},1
1,0.42105263157894735,{'Water'},1
2,0.42105263157894735,"{'Water', 'Boiled Rice'}",2
3,0.2807017543859649,"{'Milk', 'Boiled Rice'}",2
4,0.2807017543859649,{'Milk'},1
5,0.24561403508771928,{'Fried Egg'},1
6,0.24561403508771928,"{'Fried Egg', 'Boiled Rice'}",2
7,0.17543859649122806,{'Boiled Vegetable'},1
8,0.17543859649122806,"{'Boiled Vegetable', 'Boiled Rice'}",2
9,0.15789473684210525,"{'Fried Processed Meat', 'Boiled Rice'}",2
10,0.15789473684210525,{'Fried Processed Meat'},1
11,0.12280701754385964,"{'Milk', 'Water'}",2
12,0.12280701754385964,"{'Milk', 'Water', 'Boiled Rice'}",3
13,0.10526315789473684,"{'Fried Egg', 'Water', 'Boiled Rice'}",3
14,0.10526315789473684,"{'Fried Egg', 'Water'}",2
15,0.08771929824561403,{'Fried Fish'},1
16,0.08771929824561403,"{'Fried Fish', 'Boiled Rice'}",2
17,0.07017543859649122,"{'Fried Egg', 'Milk', 'Boiled Rice'}",3
18,0.07017543859649122,"{'Boiled Vegetable', 'Milk', 'Boiled Rice'}",3
19,0.07017543859649122,"{'Boiled Vegetable', 'Milk'}",2
20,0.07017543859649122,{'Boiled Noodles'},1
21,0.07017543859649122,"{'Fried Egg', 'Milk'}",2
22,0.05263157894736842,"{'Boiled Noodles', 'Boiled Rice'}",2
23,0.05263157894736842,"{'Fried Processed Meat', 'Fried Egg'}",2
24,0.05263157894736842,"{'Fried Egg', 'Milk', 'Water', 'Boiled Rice'}",4
25,0.05263157894736842,"{'Boiled Vegetable', 'Water'}",2
26,0.05263157894736842,"{'Sauteed Vegetable', 'Boiled Rice'}",2
27,0.05263157894736842,"{'Boiled Vegetable', 'Water', 'Boiled Rice'}",3
28,0.05263157894736842,"{'Fried Processed Meat', 'Water'}",2
29,0.05263157894736842,"{'Fried Fish', 'Water'}",2
30,0.05263157894736842,"{'Raw Fruit', 'Boiled Rice'}",2
31,0.05263157894736842,"{'Fried Fish', 'Water', 'Boiled Rice'}",3
32,0.05263157894736842,"{'Boiled Noodles', 'Water', 'Boiled Rice'}",3
33,0.05263157894736842,{'Raw Fruit'},1
34,0.05263157894736842,"{'Fried Processed Meat', 'Water', 'Boiled Rice'}",3
35,0.05263157894736842,"{'Fried Egg', 'Milk', 'Water'}",3
36,0.05263157894736842,"{'Water', 'Boiled Noodles'}",2
37,0.05263157894736842,"{'Fried Processed Meat', 'Fried Egg', 'Boiled Rice'}",3
38,0.05263157894736842,{'Sauteed Vegetable'},1
39,0.03508771929824561,"{'Fried Egg', 'Condiment', 'Boiled Rice'}",3
40,0.03508771929824561,"{'Fried Processed Meat', 'Milk', 'Boiled Rice'}",3
41,0.03508771929824561,"{'Fried Processed Meat', 'Condiment', 'Boiled Rice'}",3
42,0.03508771929824561,"{'Fried Processed Meat', 'Fried Egg', 'Water', 'Boiled Rice'}",4
43,0.03508771929824561,"{'Fried Processed Meat', 'Fried Egg', 'Water'}",3
44,0.03508771929824561,"{'Fried Egg', 'Condiment'}",2
45,0.03508771929824561,"{'Fried Processed Meat', 'Fried Egg', 'Condiment'}",3
46,0.03508771929824561,"{'Fried Processed Meat', 'Milk'}",2
47,0.03508771929824561,"{'Fried Processed Meat', 'Condiment'}",2
48,0.03508771929824561,"{'Raw Fruit', 'Water', 'Boiled Rice'}",3
49,0.03508771929824561,"{'Boiled Fish', 'Water', 'Boiled Rice'}",3
50,0.03508771929824561,"{'Boiled Fish', 'Water'}",2
51,0.03508771929824561,"{'Condiment', 'Boiled Rice'}",2
52,0.03508771929824561,{'Boiled Fish'},1
53,0.03508771929824561,"{'Raw Fruit', 'Water'}",2
54,0.03508771929824561,"{'Boiled Fish', 'Boiled Rice'}",2
55,0.03508771929824561,{'Condiment'},1
56,0.03508771929824561,{'Biscuit'},1
57,0.03508771929824561,"{'Fried Processed Meat', 'Fried Egg', 'Condiment', 'Boiled Rice'}",4
58,0.017543859649122806,"{'Condiment', 'Milk', 'Boiled Rice', 'Fried Egg', 'Water'}",5
59,0.017543859649122806,"{'Fried Processed Meat', 'Fried Egg', 'Condiment', 'Water'}",4
60,0.017543859649122806,"{'Fried Processed Meat', 'Condiment', 'Milk', 'Water'}",4
61,0.017543859649122806,"{'Raw Fruit', 'Fried Processed Meat', 'Water'}",3
62,0.017543859649122806,"{'Fried Processed Meat', 'Fried Egg', 'Condiment', 'Milk'}",4
63,0.017543859649122806,"{'Fried Processed Meat', 'Milk', 'Boiled Rice', 'Fried Egg', 'Water'}",5
64,0.017543859649122806,"{'Boiled Fish', 'Raw Fruit', 'Water', 'Boiled Rice'}",4
65,0.017543859649122806,"{'Raw Fruit', 'Boiled Fish', 'Water'}",3
66,0.017543859649122806,"{'Fried Egg', 'Condiment', 'Milk', 'Water'}",4
67,0.017543859649122806,"{'Fried Processed Meat', 'Condiment', 'Boiled Rice', 'Fried Egg', 'Water'}",5
68,0.017543859649122806,"{'Fried Processed Meat', 'Condiment', 'Milk', 'Boiled Rice', 'Water'}",5
69,0.017543859649122806,"{'Fried Processed Meat', 'Condiment', 'Milk', 'Boiled Rice', 'Fried Egg'}",5
70,0.017543859649122806,"{'Boiled Vegetable', 'Milk', 'Water'}",3
71,0.017543859649122806,"{'Fried Processed Meat', 'Condiment', 'Milk', 'Fried Egg', 'Water'}",5
72,0.017543859649122806,"{'Boiled Pork', 'Milk', 'Boiled Rice'}",3
73,0.017543859649122806,"{'Fried Egg', 'Condiment', 'Water'}",3
74,0.017543859649122806,"{'Fried Processed Meat', 'Milk', 'Water'}",3
75,0.017543859649122806,"{'Fried Processed Meat', 'Fried Egg', 'Milk', 'Water'}",4
76,0.017543859649122806,"{'Boiled Vegetable', 'Water', 'Milk', 'Boiled Rice'}",4
77,0.017543859649122806,"{'Milk', 'Baked Bread', 'Boiled Rice'}",3
78,0.017543859649122806,"{'Fried Egg', 'Condiment', 'Water', 'Boiled Rice'}",4
79,0.017543859649122806,"{'Raw Fruit', 'Fried Processed Meat', 'Water', 'Boiled Rice'}",4
80,0.017543859649122806,"{'Fried Processed Meat', 'Milk', 'Water', 'Boiled Rice'}",4
81,0.017543859649122806,"{'Milk', 'Condiment', 'Water', 'Boiled Rice'}",4
82,0.017543859649122806,"{'Milk', 'Baked Bread', 'Water', 'Boiled Rice'}",4
83,0.017543859649122806,"{'Fried Processed Meat', 'Condiment', 'Water', 'Boiled Rice'}",4
84,0.017543859649122806,"{'Fried Processed Meat', 'Milk', 'Condiment'}",3
85,0.017543859649122806,"{'Fried Processed Meat', 'Milk', 'Condiment', 'Boiled Rice'}",4
86,0.017543859649122806,"{'Fried Processed Meat', 'Fried Egg', 'Milk', 'Boiled Rice'}",4
87,0.017543859649122806,"{'Fried Egg', 'Condiment', 'Milk'}",3
88,0.017543859649122806,"{'Fried Egg', 'Milk', 'Condiment', 'Boiled Rice'}",4
89,0.017543859649122806,"{'Fried Processed Meat', 'Fried Egg', 'Milk'}",3
90,0.017543859649122806,"{'Fried Processed Meat', 'Condiment', 'Water'}",3
91,0.017543859649122806,"{'Milk', 'Baked Bread', 'Water'}",3
92,0.017543859649122806,"{'Milk', 'Condiment', 'Water'}",3
93,0.017543859649122806,"{'Stir-fried Vegetable', 'Milk', 'Boiled Rice'}",3
94,0.017543859649122806,"{'Boiled Pork', 'Milk'}",2
95,0.017543859649122806,"{'Milk', 'Sauteed Vegetable', 'Boiled Rice'}",3
96,0.017543859649122806,"{'Milk', 'Condiment', 'Boiled Rice'}",3
97,0.017543859649122806,"{'Sauteed Noodles', 'Boiled Rice'}",2
98,0.017543859649122806,"{'Fermented Fish', 'Boiled Rice'}",2
99,0.017543859649122806,"{'Boiled Pork', 'Boiled Rice'}",2
100,0.017543859649122806,"{'Stir-fried Vegetable', 'Boiled Rice'}",2
101,0.017543859649122806,"{'Baked Bread', 'Boiled Rice'}",2
102,0.017543859649122806,"{'Boiled Chicken', 'Boiled Rice'}",2
103,0.017543859649122806,"{'Fried Chicken', 'Boiled Rice'}",2
104,0.017543859649122806,"{'Roasted Pork', 'Boiled Rice'}",2
105,0.017543859649122806,"{'Biscuit', 'Boiled Rice'}",2
106,0.017543859649122806,"{'Boiled Others', 'Boiled Rice'}",2
107,0.017543859649122806,{'Sauteed Noodles'},1
108,0.017543859649122806,{'Fermented Fish'},1
109,0.017543859649122806,{'Boiled Pork'},1
110,0.017543859649122806,{'Stir-fried Vegetable'},1
111,0.017543859649122806,{'Baked Bread'},1
112,0.017543859649122806,{'Boiled Chicken'},1
113,0.017543859649122806,{'Fried Chicken'},1
114,0.017543859649122806,{'Roasted Pork'},1
115,0.017543859649122806,{'Boiled Others'},1
116,0.017543859649122806,"{'Raw Fruit', 'Boiled Vegetable'}",2
117,0.017543859649122806,"{'Boiled Others', 'Water'}",2
118,0.017543859649122806,"{'Condiment', 'Water'}",2
119,0.017543859649122806,"{'Raw Fruit', 'Boiled Vegetable', 'Boiled Rice'}",3
120,0.017543859649122806,"{'Raw Fruit', 'Fried Processed Meat', 'Boiled Rice'}",3
121,0.017543859649122806,"{'Raw Fruit', 'Boiled Fish', 'Boiled Rice'}",3
122,0.017543859649122806,"{'Fried Egg', 'Sauteed Vegetable', 'Boiled Rice'}",3
123,0.017543859649122806,"{'Biscuit', 'Fried Egg', 'Boiled Rice'}",3
124,0.017543859649122806,"{'Sauteed Noodles', 'Water', 'Boiled Rice'}",3
125,0.017543859649122806,"{'Baked Bread', 'Water', 'Boiled Rice'}",3
126,0.017543859649122806,"{'Water', 'Condiment', 'Boiled Rice'}",3
127,0.017543859649122806,"{'Water', 'Boiled Others', 'Boiled Rice'}",3
128,0.017543859649122806,"{'Stir-fried Vegetable', 'Milk'}",2
129,0.017543859649122806,"{'Baked Bread', 'Water'}",2
130,0.017543859649122806,"{'Milk', 'Baked Bread'}",2
131,0.017543859649122806,"{'Milk', 'Sauteed Vegetable'}",2
132,0.017543859649122806,"{'Milk', 'Condiment'}",2
133,0.017543859649122806,"{'Raw Fruit', 'Fried Processed Meat'}",2
134,0.017543859649122806,"{'Raw Fruit', 'Boiled Fish'}",2
135,0.017543859649122806,"{'Fried Egg', 'Sauteed Vegetable'}",2
136,0.017543859649122806,"{'Fried Egg', 'Biscuit'}",2
137,0.017543859649122806,"{'Sauteed Noodles', 'Water'}",2
138,0.017543859649122806,"{'Fried Processed Meat', 'Condiment', 'Milk', 'Boiled Rice', 'Fried Egg', 'Water'}",6
