,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,782,112102.89333333005,146103.09999999998,2426.6000000000136,270.8000000000006,33696.299999999916,12656.0,42296.0,697.5999999999987,9.0,24.579999999999938,22.90999999999993,1013.2999999999988,2.0
1,Water,405,93869.79999999999,50.0,2.8,2.1,5.9,132.0,0.0,92.4,0.0,0.0,0.0,0.0,66.0
2,Fried Egg,239,13189.855999999985,21464.0,1665.1999999999994,1500.0999999999967,334.6999999999998,9506.0,23163.0,375.79999999999956,35219.0,9.659999999999975,52.480000000000146,584.4000000000001,2.0
3,Milk,156,5284.5,19972.0,658.8000000000004,836.1000000000008,2422.8999999999987,29120.0,13356.0,1682.3,9649.0,26.939999999999998,18.450000000000014,3.0,3096.0
4,Fried Fish,107,4346.755,6102.0,1065.1000000000004,194.59999999999988,29.9,3607.0,10770.0,56.20000000000004,4045.0,4.309999999999995,7.5299999999999985,565.2999999999995,0.0
5,Fried Processed Meat,87,4992.25,9664.0,583.0499999999996,676.2999999999998,304.6,1151.0,3884.0,76.00000000000007,5360.0,19.22000000000001,3.1,116.80000000000004,0.0
6,Boiled Vegetable,74,1699.67527724,1304.0,84.40000000000002,24.3,185.59999999999988,1870.0,1143.0,23.30000000000001,3342.0,1.7100000000000006,1.4300000000000006,42.30000000000002,351.0
7,Boiled Fish,47,2199.22,2162.0,414.8,49.600000000000016,14.4,1978.0,4437.0,23.40000000000001,1964.0,1.9600000000000009,2.96,225.20000000000002,47.0
8,Boiled Egg,46,3013.44,4811.0,412.6000000000002,370.59999999999985,22.799999999999994,2210.0,5425.0,104.69999999999996,2925.0,2.5599999999999996,13.889999999999995,77.5,0.0
9,Sweets,32,1236.0,3146.0,60.09999999999999,104.59999999999994,532.9000000000001,1321.0,1678.0,57.79999999999999,0.0,0.06,5.100000000000001,29.999999999999993,334.0
10,Sauteed Vegetable,32,966.2462499999999,257.0,7.799999999999999,1.3,52.20000000000002,367.0,184.0,7.6999999999999975,916.0,0.22000000000000006,0.26000000000000006,4.400000000000001,147.0
11,Boiled Noodles,26,968.625,4195.0,99.1,154.10000000000002,580.3,291.0,0.0,68.60000000000002,687.0,0.0,0.0,0.0,2.0
12,Fried Vegetable,24,1067.419,776.0,11.000000000000002,56.800000000000004,55.70000000000002,341.0,298.0,5.700000000000001,148.0,0.9100000000000001,0.4800000000000001,7.899999999999999,27.0
13,Canned Processed Meat,20,607.32,1216.0,94.6,84.8,20.900000000000002,117.0,516.0,12.900000000000002,25.0,0.02,0.6199999999999999,18.299999999999997,0.0
14,Fried Pork,19,1413.51,4619.0,213.5,379.9,89.70000000000002,485.0,2317.0,16.299999999999997,780.0,5.75,2.23,94.69999999999999,12.0
15,Sauteed Noodles,17,863.5,2033.0,57.559999999999995,82.6,269.1,167.0,381.0,10.3,67.0,0.72,0.3,16.2,0.0
16,Boiled Pork,14,668.61,1831.0,110.30000000000001,152.0,4.8999999999999995,204.0,1107.0,10.7,167.0,2.1100000000000003,0.84,38.099999999999994,11.0
17,Baked Bread,14,593.2566666700001,1935.0,60.50000000000001,23.799999999999997,369.29999999999995,246.0,508.0,18.400000000000002,5.0,1.5,0.9100000000000001,26.9,0.0
18,Coffee,14,199.0,860.0,9.399999999999997,21.89999999999999,154.5,40.0,112.0,0.5,0.0,0.0,0.1,17.4,0.0
19,Boiled Chicken,13,586.8900000000001,1081.0,132.6,61.00000000000001,1.2,166.0,967.0,7.5,2936.0,0.5299999999999999,1.9800000000000006,73.59999999999998,23.0
20,Fried Beef,11,520.05,948.2,45.099999999999994,47.2,71.80000000000001,58.0,188.0,11.4,140.0,0.04,0.14,6.2,2.0
21,Fried Chicken,10,368.18,764.0,62.599999999999994,57.099999999999994,0.1,146.0,418.0,4.0,114.0,0.21000000000000002,0.34,27.3,11.0
22,Biscuit,8,227.5,1040.0,26.4,34.3,146.60000000000002,136.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
23,Condiment,8,70.0,269.0,0.5,10.0,44.1,59.0,12.0,0.6000000000000001,0.0,0.0,0.03,0.2,0.0
24,Processed Meat,7,270.0,1188.0,79.89999999999999,89.6,15.9,247.0,677.0,14.400000000000002,0.0,0.42,0.9699999999999998,29.199999999999996,0.0
25,Raw Fruit,7,339.78999999999996,505.0,6.9,1.0999999999999999,117.19999999999999,67.0,157.0,3.0999999999999996,14.0,0.09999999999999999,0.09999999999999999,3.5999999999999996,58.0
26,Fruit,5,285.0,265.0,2.5999999999999996,0.7,61.7,50.0,69.0,2.1,214.0,0.15,0.14,2.2,140.0
27,Fresh Fruit,5,365.0,200.0,2.2,1.3,45.0,112.0,52.0,3.5999999999999996,194.0,0.16999999999999998,0.13,2.3,208.0
28,Dried Fish,5,110.805,208.0,43.0,3.9000000000000004,0.0,1105.0,592.0,5.500000000000001,207.0,0.01,0.14,21.7,0.0
29,Sauteed Fish,5,167.0,234.0,31.5,10.100000000000001,4.5,316.0,312.0,0.7,16.0,0.02,0.24999999999999997,14.100000000000001,0.0
30,Braised Chicken,4,101.13999999999999,197.0,19.2,13.5,0.0,18.0,135.0,1.0,23.0,0.08,0.09,10.8,1.0
31,Boiled Others,4,130.48,171.0,31.4,4.8999999999999995,0.0,67.0,312.0,1.7,97.0,0.13,0.23,15.700000000000001,0.0
32,Stir-fried Vegetable,4,139.7025,66.0,4.9,0.5,10.600000000000001,94.0,63.0,1.2,65.0,0.16,0.15,2.0999999999999996,26.0
