,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,329,50099.06333333002,64900.1,1086.3,129.29999999999959,15014.099999999971,5666.0,19131.0,310.5999999999999,9.0,11.339999999999968,10.139999999999972,459.79999999999785,2.0
1,Water,174,40828.399999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Fried Egg,111,6367.045999999991,10298.0,807.7999999999998,713.4,162.3,4597.0,11186.0,182.00000000000006,16926.0,4.679999999999997,25.420000000000037,282.8000000000003,2.0
3,Milk,93,2857.0,12076.0,403.5000000000001,506.8000000000002,1458.599999999999,18019.0,8646.0,985.2999999999995,6346.0,17.59,11.809999999999997,0.0,1921.0
4,Fried Fish,39,1865.7150000000001,2242.0,434.00000000000006,60.40000000000002,0.1,1120.0,4291.0,21.8,1586.0,1.7400000000000009,3.03,210.90000000000006,0.0
5,Fried Processed Meat,38,2224.75,4317.0,264.75000000000006,291.90000000000003,159.89999999999998,501.0,1732.0,24.599999999999994,2002.0,12.549999999999994,1.3500000000000005,51.7,0.0
6,Boiled Egg,27,1865.94,2866.0,254.70000000000013,229.8000000000001,13.800000000000006,1369.0,3359.0,64.90000000000002,1782.0,1.6000000000000005,8.600000000000001,47.49999999999999,0.0
7,Boiled Fish,23,932.13,1062.0,209.79999999999998,20.900000000000002,8.799999999999999,1376.0,2459.0,12.700000000000003,1049.0,1.11,1.5800000000000003,113.19999999999999,44.0
8,Boiled Vegetable,19,465.0775,343.0,24.200000000000003,2.0000000000000004,56.20000000000001,667.0,366.0,5.899999999999999,572.0,0.32000000000000006,0.30000000000000004,9.999999999999996,59.0
9,Sauteed Vegetable,15,456.25249999999994,110.0,4.0,0.5,21.5,152.0,89.0,3.8000000000000007,418.0,0.09999999999999999,0.11,1.9000000000000001,59.0
10,Sweets,14,800.0,1305.0,30.599999999999994,32.400000000000006,264.6,771.0,1054.0,30.699999999999996,0.0,0.06,2.7700000000000005,23.199999999999996,139.0
11,Boiled Noodles,12,536.25,2294.0,55.3,86.9,315.6,157.0,0.0,33.099999999999994,419.0,0.0,0.0,0.0,0.0
12,Canned Processed Meat,11,342.33000000000004,685.0,52.0,48.400000000000006,11.0,72.0,320.0,11.3,16.0,0.02,0.37999999999999995,11.299999999999999,0.0
