,Household No.,HHLD Visit,Meal,Dish List
0,10006,First WD,Breakfast,"['Fried Egg', nan, 'Fried Processed Meat', nan, 'Boiled Rice']"
1,10006,Second WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Water']"
2,10006,Third WE,Breakfast,"['Boiled Chicken', nan, nan, 'Boiled Rice', 'Water']"
3,10007,First WD,Breakfast,"['Boiled Rice', 'Boiled Chicken', nan, nan, nan, 'Water']"
4,10007,Second WD,Breakfast,"['Boiled Rice', 'Beef', nan, nan, 'Water']"
5,10007,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Vegetable', nan, 'Water']"
6,10104,First WD,Breakfast,['Boiled Rice']
7,10104,Second WD,Breakfast,"['Boiled Vegetable', nan, 'Boiled Rice']"
8,10104,Third WE,Breakfast,"['Milk', nan, 'Boiled Rice', 'Water']"
9,10109,First WD,Breakfast,"['Fried Fish', nan, 'Sweets', nan, 'Boiled Rice']"
10,10109,Second WD,Breakfast,"['Boiled Noodles', nan, 'Boiled Rice', 'Others', 'Water']"
11,10109,Third WE,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Water']"
12,11001,First WD,Breakfast,"['Fried Fish', 'Processed Meat', nan, 'Boiled Rice']"
13,11001,Second WD,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Water']"
14,11001,Third WE,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice']"
15,11005,First WD,Breakfast,"['Canned Processed Meat', nan, 'Fried Egg', nan]"
16,11005,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
17,11005,Third WE,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Boiled Noodles', nan, nan]"
18,11011,First WD,Breakfast,"['Sauteed Noodles', nan, nan, nan, 'Vegetable', 'Milk', 'Water']"
19,11011,Second WD,Breakfast,"['Boiled Fish', nan, nan, 'Boiled Rice', 'Water']"
20,11011,Third WE,Breakfast,"['Boiled Egg', 'Boiled Rice', 'Sweets']"
21,11103,First WD,Breakfast,"['Boiled Vegetable', 'Boiled Rice']"
22,11103,Second WD,Breakfast,"['Boiled Rice', 'Boiled Fish', 'Milk', nan]"
23,11103,Third WE,Breakfast,"['Boiled Rice', 'Water']"
24,11105,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Sauteed Fish', nan]"
25,11105,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan]"
26,11105,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
27,20009,First WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
28,20009,Second WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
29,20009,Third WE,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
30,20101,First WD,Breakfast,"['Milk', 'Boiled Rice', 'Fried Beef', nan, 'Water']"
31,20101,Second WD,Breakfast,"['Milk', 'Boiled Rice', 'Fried Egg', nan]"
32,20101,Third WE,Breakfast,"['Milk', 'Boiled Rice', 'Braised Chicken', nan]"
33,20103,First WD,Breakfast,"['Fried Processed Meat', nan, 'Water', 'Boiled Rice']"
34,20103,Second WD,Breakfast,"['Boiled Rice', 'Boiled Fish', nan]"
35,20103,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water']"
36,20104,First WD,Breakfast,"['Fried Egg', 'Boiled Rice', 'Milk', nan, 'Biscuit']"
37,20104,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Fish', nan]"
38,20104,Third WE,Breakfast,"['Sauteed Vegetable', nan, nan, 'Boiled Rice']"
39,20107,First WD,Breakfast,"['Boiled Rice', 'Boiled Noodles', 'Fried Egg']"
40,20107,Second WD,Breakfast,"['Canned Processed Meat', nan, 'Boiled Rice']"
41,20107,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Fish', nan, nan]"
42,21001,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Fried Egg', nan, 'Milk', nan]"
43,21001,Second WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water']"
44,21001,Third WE,Breakfast,"['Milk', nan, 'Baked Bread', 'Boiled Rice', 'Boiled Egg', 'Fried Fish', nan]"
45,21004,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk']"
46,21004,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Vegetable', 'Fried Processed Meat', nan]"
47,21004,Third WE,Breakfast,"['Boiled Rice', 'Canned Processed Meat', 'Milk', nan]"
48,21007,First WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
49,21007,Second WD,Breakfast,"['Boiled Rice', 'Boiled Chicken', nan, nan, 'Water']"
50,21007,Third WE,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Water']"
51,21008,First WD,Breakfast,"['Boiled Rice', 'Fried Pork', nan, 'Water']"
52,21008,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
53,21008,Third WE,Breakfast,"['Fried Egg', nan, 'Fried Fish', nan, 'Boiled Rice', 'Water']"
54,21011,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
55,21011,Second WD,Breakfast,"['Sauteed Vegetable', nan, nan, 'Boiled Rice', 'Water', nan]"
56,21011,Third WE,Breakfast,"['Sauteed Vegetable', nan, nan, nan, nan, 'Boiled Rice', 'Milk', nan]"
57,21012,First WD,Breakfast,"['Milk', nan, 'Boiled Fish', nan, 'Fried Egg', nan, 'Boiled Rice']"
58,21012,Second WD,Breakfast,"['Boiled Egg', 'Boiled Rice', 'Milk', nan]"
59,21012,Third WE,Breakfast,"['Fried Fish', nan, 'Boiled Egg', 'Boiled Rice', 'Water']"
60,21013,First WD,Breakfast,"['Milk', nan, 'Boiled Egg', 'Boiled Rice', 'Water']"
61,21013,Second WD,Breakfast,"['Boiled Egg', 'Milk', nan, 'Canned Processed Meat', nan, nan, 'Boiled Rice', 'Water']"
62,21013,Third WE,Breakfast,"['Milk', nan, 'Fried Egg', nan, 'Boiled Rice', 'Water']"
63,21101,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
64,21101,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Milk', nan]"
65,21101,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
66,21103,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
67,21103,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', 'Water']"
68,21103,Third WE,Breakfast,"['Boiled Rice', 'Boiled Egg', nan, 'Water']"
69,21105,First WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan]"
70,21105,Second WD,Breakfast,"['Boiled Rice', 'Fried Vegetable', nan, nan]"
71,21105,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, nan, nan]"
72,21109,First WD,Breakfast,"['Boiled Rice', 'Milk', 'Water']"
73,21109,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
74,21109,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan, 'Milk']"
75,21112,First WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Fried Egg', nan]"
76,21112,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Fried Egg', nan]"
77,21112,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Fried Processed Meat', nan, 'Fried Egg', nan]"
78,21113,First WD,Breakfast,"['Baked Bread', nan, 'Fried Fish', nan, 'Boiled Rice']"
79,21113,Second WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
80,21113,Third WE,Breakfast,"[nan, 'Fried Egg', nan, 'Boiled Rice', 'Water', 'Milk']"
81,30002,First WD,Breakfast,"['Fried Pork', nan, 'Boiled Rice', 'Milk', 'Water']"
82,30002,Second WD,Breakfast,"['Fried Chicken', nan, 'Boiled Rice']"
83,30002,Third WE,Breakfast,"['Fried Egg', nan, 'Milk', 'Water', 'Boiled Rice']"
84,30003,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
85,30003,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan]"
86,30003,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan]"
87,30004,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan, 'Water']"
88,30004,Second WD,Breakfast,"['Boiled Rice', 'Beef', nan, nan]"
89,30004,Third WE,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Milk', nan]"
90,30005,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Processed Meat', nan, 'Water']"
91,30005,Second WD,Breakfast,"['Boiled Rice', 'Water', 'Fried Processed Meat', nan, 'Fried Egg', nan, 'Processed Sweets', 'Juice', 'Boiled Rice', 'Fried Processed Meat', nan, 'Sauteed Noodles', nan, nan, 'Water', 'Milk', nan, 'Biscuit', 'Boiled Rice', 'Boiled Vegetable', 'Boiled Vegetable', nan, nan, 'Water']"
92,30005,Third WE,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Fish', nan, 'Water']"
93,30008,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Milk', nan]"
94,30008,Second WD,Breakfast,"['Boiled Rice', 'Boiled Noodles']"
95,30008,Third WE,Breakfast,"['Boiled Rice', 'Canned Processed Meat', nan]"
96,30014,First WD,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan, nan, nan, nan, nan, 'Milk', nan]"
97,30014,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
98,30014,Third WE,Breakfast,"['Boiled Rice', 'Boiled Pork', nan, nan, 'Milk', nan]"
99,30016,Weekday First,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water', 'Milk']"
100,30016,Weekday Second,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, nan, 'Braised Fish', nan, nan, 'Water']"
101,30016,Weekened,Breakfast,"[nan, 'Boiled Fish', nan, 'Water']"
102,30031,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Processed Meat', nan, 'Water']"
103,30031,Second WD,Breakfast,"['Boiled Rice', 'Boiled Seafood', 'Milk', nan]"
104,30031,Third WE,Breakfast,"['Boiled Rice', 'Fried Pork', nan, 'Water']"
105,30033,First WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, nan, nan]"
106,30033,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, nan, 'Water']"
107,30033,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Boiled Vegetable', nan]"
108,30102,First WD,Breakfast,"['Boiled Egg', 'Boiled Rice', 'Milk', 'Water']"
109,30102,Second WD,Breakfast,"['Boiled Egg', 'Fried Processed Meat', 'Boiled Rice', 'Milk', 'Water']"
110,30102,Third WE,Breakfast,"['Boiled Chicken', nan, 'Boiled Rice']"
111,30106,First WD,Breakfast,"['Boiled Rice', 'Boiled Egg']"
112,30106,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
113,30106,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
114,30107,First WD,Breakfast,"['Boiled Rice', 'Roasted Others', 'Fresh Fruit', 'Raw Fruit', 'Milk']"
115,30107,Second WD,Breakfast,"['Boiled Rice', 'Boiled Fish', 'Raw Fruit']"
116,30107,Third WE,Breakfast,"['Boiled Rice', 'Boiled Fish', 'Fresh Fruit']"
117,30112,First WD,Breakfast,"['Roasted Pork', 'Boiled Rice']"
118,30112,Second WD,Breakfast,"['Boiled Rice', 'Boiled Fish', nan]"
119,30112,Third WE,Breakfast,"['Boiled Beef', nan, 'Boiled Rice']"
120,30119,First WD,Breakfast,"['Boiled Rice', 'Fried Egg']"
121,30119,Second WD,Breakfast,"['Boiled Rice', 'Boiled Noodles']"
122,30119,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', 'Milk']"
123,30130,First WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Processed Meat', nan, 'Water']"
124,30130,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Water', 'Milk', nan]"
125,30130,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, nan, nan, nan, 'Water']"
126,30133,First WD,Breakfast,"['Boiled Rice', 'Boiled Pork', nan, nan, nan, 'Milk', nan]"
127,30133,Second WD,Breakfast,"['Boiled Rice', 'Boiled Noodles', nan, 'Milk', nan]"
128,30133,Third WE,Breakfast,"['Boiled Rice', 'Fried Vegetable', nan, nan, 'Milk', nan]"
129,30136,Weekday First,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Processed Meat', nan, 'Water']"
130,30136,Weekday Second,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Water']"
131,30136,Weekend,Breakfast,"['Boiled Rice', 'Fried Chicken', nan, 'Water']"
132,40002,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Processed Meat', nan, 'Water']"
133,40002,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
134,40002,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Processed Meat', nan, 'Water']"
135,40004,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
136,40004,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Water']"
137,40004,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, nan, nan, 'Water']"
138,40005,First WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Sweets']"
139,40005,Second WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
140,40005,Third WE,Breakfast,"['Boiled Rice', 'Boiled Chicken']"
141,40006,First WD,Breakfast,"['Fried Processed Meat', 'Fried Egg', nan, 'Boiled Rice', 'Water']"
142,40006,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
143,40006,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
144,40106,First WD,Breakfast,"['Braised Chicken', nan, 'Boiled Rice', 'Milk', 'Water']"
145,40106,Second WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Milk', 'Water']"
146,40106,Third WE,Breakfast,"['Boiled Rice', 'Milk', 'Water', 'Fried Egg', nan]"
147,40107,First WD,Breakfast,"['Baked Bread', 'Milk', nan, 'Fried Processed Meat', nan, 'Fried Egg', nan, 'Boiled Rice', 'Water']"
148,40107,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Processed Meat', nan]"
149,40107,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
