,support,itemsets,length
0,0.967391304347826,{'Boiled Rice'},1
1,0.4945652173913043,{'Water'},1
2,0.4782608695652174,"{'Water', 'Boiled Rice'}",2
3,0.31521739130434784,"{'Fried Egg', 'Boiled Rice'}",2
4,0.31521739130434784,{'Fried Egg'},1
5,0.16304347826086957,{'Boiled Vegetable'},1
6,0.15760869565217392,"{'Fried Egg', 'Water', 'Boiled Rice'}",3
7,0.15760869565217392,"{'Boiled Vegetable', 'Boiled Rice'}",2
8,0.15760869565217392,"{'Fried Egg', 'Water'}",2
9,0.11956521739130435,"{'Fried Fish', 'Boiled Rice'}",2
10,0.11956521739130435,{'Fried Fish'},1
11,0.09782608695652174,{'Milk'},1
12,0.09782608695652174,"{'Milk', 'Boiled Rice'}",2
13,0.09239130434782608,{'Fried Processed Meat'},1
14,0.09239130434782608,"{'Fried Processed Meat', 'Boiled Rice'}",2
15,0.08695652173913043,"{'Boiled Vegetable', 'Water'}",2
16,0.08152173913043478,"{'Boiled Vegetable', 'Water', 'Boiled Rice'}",3
17,0.059782608695652176,"{'Fried Fish', 'Water'}",2
18,0.059782608695652176,"{'Fried Fish', 'Water', 'Boiled Rice'}",3
19,0.05434782608695652,"{'Sauteed Vegetable', 'Boiled Rice'}",2
20,0.05434782608695652,{'Sauteed Vegetable'},1
21,0.043478260869565216,"{'Boiled Fish', 'Boiled Rice'}",2
22,0.043478260869565216,{'Boiled Fish'},1
23,0.03804347826086957,"{'Water', 'Milk', 'Boiled Rice'}",3
24,0.03804347826086957,"{'Milk', 'Water'}",2
25,0.03260869565217391,"{'Fried Processed Meat', 'Water'}",2
26,0.03260869565217391,"{'Boiled Fish', 'Water'}",2
27,0.03260869565217391,{'Sweets'},1
28,0.03260869565217391,"{'Fried Processed Meat', 'Water', 'Boiled Rice'}",3
29,0.03260869565217391,"{'Boiled Fish', 'Water', 'Boiled Rice'}",3
30,0.02717391304347826,{'Coffee'},1
31,0.02717391304347826,"{'Fried Processed Meat', 'Fried Egg', 'Boiled Rice'}",3
32,0.02717391304347826,"{'Fried Processed Meat', 'Fried Egg'}",2
33,0.02717391304347826,"{'Water', 'Sauteed Vegetable', 'Boiled Rice'}",3
34,0.02717391304347826,"{'Coffee', 'Boiled Rice'}",2
35,0.02717391304347826,"{'Sauteed Vegetable', 'Water'}",2
36,0.021739130434782608,"{'Fried Egg', 'Milk'}",2
37,0.021739130434782608,"{'Sauteed Noodles', 'Boiled Rice'}",2
38,0.021739130434782608,"{'Boiled Egg', 'Boiled Rice'}",2
39,0.021739130434782608,"{'Fried Egg', 'Milk', 'Boiled Rice'}",3
40,0.021739130434782608,"{'Boiled Vegetable', 'Milk'}",2
41,0.021739130434782608,"{'Raw Fruit', 'Boiled Rice'}",2
42,0.021739130434782608,{'Sauteed Noodles'},1
43,0.021739130434782608,{'Boiled Egg'},1
44,0.021739130434782608,"{'Boiled Vegetable', 'Milk', 'Boiled Rice'}",3
45,0.021739130434782608,{'Raw Fruit'},1
46,0.016304347826086956,"{'Water', 'Coffee'}",2
47,0.016304347826086956,"{'Fried Fish', 'Milk'}",2
48,0.016304347826086956,"{'Water', 'Coffee', 'Boiled Rice'}",3
49,0.016304347826086956,"{'Fried Fish', 'Milk', 'Boiled Rice'}",3
50,0.016304347826086956,"{'Fried Processed Meat', 'Fried Egg', 'Water'}",3
51,0.016304347826086956,"{'Fried Processed Meat', 'Fried Egg', 'Water', 'Boiled Rice'}",4
52,0.016304347826086956,"{'Boiled Leafy Vegetable', 'Boiled Rice'}",2
53,0.016304347826086956,"{'Sweets', 'Boiled Rice'}",2
54,0.016304347826086956,{'Boiled Leafy Vegetable'},1
55,0.016304347826086956,"{'Dried Fish', 'Boiled Rice'}",2
56,0.016304347826086956,{'Fried Beef'},1
57,0.016304347826086956,{'Boiled Noodles'},1
58,0.016304347826086956,{'Dried Fish'},1
59,0.016304347826086956,"{'Fried Chicken', 'Boiled Rice'}",2
60,0.016304347826086956,"{'Fried Vegetable', 'Boiled Rice'}",2
61,0.016304347826086956,{'Fried Vegetable'},1
62,0.016304347826086956,"{'Fermented Fish', 'Boiled Rice'}",2
