,Household No.,HHLD Visit,Meal,Dish List
0,10002,First WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Water']"
1,10002,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Water']"
2,10002,Third WE,Breakfast,"['Boiled Rice', 'Fermented Fish', 'Water']"
3,10101,Weekday First,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
4,10101,Weekday Second,Breakfast,"['Boiled Rice', 'Boiled Fish', nan, 'Water']"
5,10101,Weekend,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, 'Water']"
6,10105,First WD,Breakfast,"['Boiled Rice', 'Fried Beef', 'Fried Egg', nan]"
7,10105,Second WD,Breakfast,"['Boiled Rice', 'Fried Beef', 'Fried Egg', nan]"
8,10105,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
9,10108,First WD,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan, 'Milk', nan]"
10,10108,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
11,10108,Third WE,Breakfast,"['Boiled Rice', 'Boiled Pork', nan, nan, nan, 'Water']"
12,11002,First WD,Breakfast,"['Boiled Rice', 'Fish', 'Water']"
13,11002,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
14,11002,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
15,11101,First WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
16,11101,Second WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
17,11101,Third WE,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
18,11102,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
19,11102,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
20,11102,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, nan, 'Water']"
21,11107,First WD,Breakfast,"['Canned Processed Meat', nan, 'Boiled Rice']"
22,11107,Second WD,Breakfast,"['Boiled Rice', 'Canned Processed Meat', nan, 'Fried Egg', 'Milk']"
23,11107,Third WE,Breakfast,"['Boiled Rice', 'Canned Processed Food', nan, nan, nan, nan]"
24,11110,First WD,Breakfast,['Sweets']
25,11110,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan]"
26,11110,Third WE,Breakfast,"['Sweets', nan, 'Fried Processed Meat', nan, 'Fried Egg', nan, 'Boiled Rice']"
27,20005,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
28,20005,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, 'Water']"
29,20005,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Milk', nan]"
30,20007,First WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
31,20007,Second WD,Breakfast,"['Fried Egg', nan, 'Water', 'Boiled Rice']"
32,20007,Third WE,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
33,20109,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', 'Fermented Fish']"
34,20109,Second WD,Breakfast,"['Stir-fried Leafy Vegetable', nan, 'Boiled Rice', 'Water']"
35,20109,Third WE,Breakfast,"['Boiled Rice', 'Boiled Leafy Vegetable']"
36,20110,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
37,20110,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan, nan, nan]"
38,20110,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Fried Fish', nan, 'Water']"
39,21006,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
40,21006,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
41,21006,Third WE,Breakfast,"['Boiled Rice', 'Roasted Pork']"
42,21009,First WD,Breakfast,"['Boiled Rice', 'Boiled Leafy Vegetable', nan, 'Water']"
43,21009,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
44,21009,Third WE,Breakfast,"['Boiled Leafy Vegetable', nan, nan, 'Boiled Rice', 'Coffee', 'Milk', 'Water']"
45,21107,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, nan, 'Water']"
46,21107,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
47,21107,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, nan, 'Water']"
48,21108,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
49,21108,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
50,21108,Third WE,Breakfast,"['Boiled Vegetable', nan, nan, nan, 'Water']"
51,21111,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
52,21111,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan, 'Milk', nan]"
53,21111,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, nan, 'Fried Egg', nan]"
54,30012,First WD,Breakfast,"['Boiled Pork', nan, 'Boiled Rice']"
55,30012,Second WD,Breakfast,"['Boiled Fish', nan, 'Boiled Rice']"
56,30012,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
57,30018,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Boiled Vegetable', nan]"
58,30018,Second WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, nan]"
59,30018,Third WE,Breakfast,"[nan, 'Boiled Rice', 'Water']"
60,30022,First WD,Breakfast,"['Boiled Noodles', nan]"
61,30022,Second WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable']"
62,30022,Third WE,Breakfast,"['Boiled Rice', 'Fermented Fish']"
63,30023,First WD,Breakfast,"['Boiled Rice', 'Fried Chicken', nan]"
64,30023,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
65,30023,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
66,30024,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
67,30024,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
68,30024,Third WE,Breakfast,"['Fried Fish', nan, 'Boiled Rice']"
69,30025,First WD,Breakfast,"['Boiled Rice', 'Boiled Egg']"
70,30025,Second WD,Breakfast,"['Boiled Rice', 'Fried Processed Meat', nan]"
