,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,{'Fried Egg'},{'Boiled Rice'},0.2914798206278027,0.9805680119581465,0.28998505231689087,0.9948717948717948,1.0145872420262663,0.004169264077969248,3.78923766816137
1,{'Boiled Rice'},{'Fried Egg'},0.9805680119581465,0.2914798206278027,0.28998505231689087,0.29573170731707316,1.0145872420262663,0.004169264077969248,1.0060373109700465
2,"{'Fried Egg', 'Water'}",{'Boiled Rice'},0.13602391629297458,0.9805680119581465,0.13602391629297458,1.0,1.0198170731707317,0.002643215114811165,inf
3,{'Boiled Rice'},"{'Fried Egg', 'Water'}",0.9805680119581465,0.13602391629297458,0.13602391629297458,0.13871951219512194,1.0198170731707317,0.002643215114811165,1.00312975382621
4,{'Fried Processed Meat'},{'Boiled Rice'},0.11659192825112108,0.9805680119581465,0.11509715994020926,0.9871794871794871,1.0067424953095685,0.0007708446446406114,1.5156950672645677
5,{'Boiled Rice'},{'Fried Processed Meat'},0.9805680119581465,0.11659192825112108,0.11509715994020926,0.1173780487804878,1.0067424953095685,0.0007708446446406114,1.0008906650557248
6,{'Boiled Vegetable'},{'Boiled Rice'},0.07922272047832586,0.9805680119581465,0.07922272047832586,1.0,1.0198170731707317,0.001539454956977937,inf
7,{'Boiled Rice'},{'Boiled Vegetable'},0.9805680119581465,0.07922272047832586,0.07922272047832586,0.08079268292682927,1.0198170731707317,0.001539454956977937,1.001707952514458
8,{'Fried Fish'},{'Water'},0.13452914798206278,0.4977578475336323,0.07623318385650224,0.5666666666666667,1.1384384384384385,0.009270244726417173,1.159020351845464
9,{'Water'},{'Fried Fish'},0.4977578475336323,0.13452914798206278,0.07623318385650224,0.15315315315315314,1.1384384384384383,0.009270244726417173,1.0219921763190536
10,{'Fried Fish'},"{'Boiled Rice', 'Water'}",0.13452914798206278,0.484304932735426,0.07324364723467862,0.5444444444444444,1.1241769547325102,0.008090517270271533,1.132013562288089
11,{'Water'},"{'Fried Fish', 'Boiled Rice'}",0.4977578475336323,0.13153961136023917,0.07324364723467862,0.14714714714714713,1.1186527436527434,0.007768773418595443,1.0183003852712689
12,"{'Boiled Rice', 'Water'}",{'Fried Fish'},0.484304932735426,0.13452914798206278,0.07324364723467862,0.15123456790123455,1.1241769547325102,0.008090517270271533,1.0196820220138607
13,"{'Fried Fish', 'Boiled Rice'}",{'Water'},0.13153961136023917,0.4977578475336323,0.07324364723467862,0.5568181818181818,1.1186527436527436,0.007768773418595443,1.1332643440266756
14,{'Fried Egg'},{'Milk'},0.2914798206278027,0.23019431988041852,0.07174887892376682,0.24615384615384614,1.0693306693306692,0.00465187985548339,1.0211708001586286
15,{'Milk'},{'Fried Egg'},0.23019431988041852,0.2914798206278027,0.07174887892376682,0.3116883116883117,1.0693306693306692,0.00465187985548339,1.0293595058803622
16,"{'Fried Egg', 'Milk'}",{'Boiled Rice'},0.07174887892376682,0.9805680119581465,0.07174887892376682,1.0,1.0198170731707317,0.0013942233572630386,inf
17,"{'Fried Egg', 'Boiled Rice'}",{'Milk'},0.28998505231689087,0.23019431988041852,0.07174887892376682,0.24742268041237114,1.0748426830901059,0.004995967030192533,1.0228924790630056
18,"{'Milk', 'Boiled Rice'}",{'Fried Egg'},0.22122571001494767,0.2914798206278027,0.07174887892376682,0.32432432432432434,1.1126819126819127,0.007266048650351575,1.0486098654708522
19,{'Fried Egg'},"{'Milk', 'Boiled Rice'}",0.2914798206278027,0.22122571001494767,0.07174887892376682,0.24615384615384614,1.1126819126819127,0.007266048650351575,1.0330679356944572
20,{'Milk'},"{'Fried Egg', 'Boiled Rice'}",0.23019431988041852,0.28998505231689087,0.07174887892376682,0.3116883116883117,1.0748426830901059,0.004995967030192533,1.031531150407536
21,{'Boiled Rice'},"{'Fried Egg', 'Milk'}",0.9805680119581465,0.07174887892376682,0.07174887892376682,0.07317073170731707,1.0198170731707317,0.0013942233572630386,1.0015341043190937
22,{'Water'},"{'Fried Processed Meat', 'Boiled Rice'}",0.4977578475336323,0.11509715994020926,0.05829596412556054,0.11711711711711713,1.0175500175500176,0.0010054495364877694,1.0022879106799671
23,{'Water'},{'Fried Processed Meat'},0.4977578475336323,0.11659192825112108,0.05829596412556054,0.11711711711711713,1.0045045045045047,0.00026141687948681713,1.0005948567767915
24,{'Fried Processed Meat'},{'Water'},0.11659192825112108,0.4977578475336323,0.05829596412556054,0.5,1.0045045045045045,0.00026141687948681713,1.0044843049327354
25,{'Boiled Rice'},"{'Fried Processed Meat', 'Water'}",0.9805680119581465,0.05829596412556054,0.05829596412556054,0.059451219512195126,1.0198170731707317,0.0011328064777762145,1.00122827801237
26,"{'Boiled Rice', 'Water'}",{'Fried Processed Meat'},0.484304932735426,0.11659192825112108,0.05829596412556054,0.12037037037037038,1.0324074074074074,0.0018299181564077269,1.0042954920934624
27,{'Fried Processed Meat'},"{'Boiled Rice', 'Water'}",0.11659192825112108,0.484304932735426,0.05829596412556054,0.5,1.0324074074074074,0.0018299181564077269,1.0313901345291479
28,"{'Fried Processed Meat', 'Water'}",{'Boiled Rice'},0.05829596412556054,0.9805680119581465,0.05829596412556054,1.0,1.0198170731707317,0.0011328064777762145,inf
29,"{'Fried Processed Meat', 'Boiled Rice'}",{'Water'},0.11509715994020926,0.4977578475336323,0.05829596412556054,0.5064935064935066,1.0175500175500176,0.0010054495364877694,1.0177012036818505
30,{'Boiled Egg'},{'Water'},0.06278026905829596,0.4977578475336323,0.043348281016442454,0.6904761904761905,1.3871728871728872,0.01209890942240276,1.6226284925836496
31,{'Water'},{'Boiled Egg'},0.4977578475336323,0.06278026905829596,0.043348281016442454,0.0870870870870871,1.3871728871728872,0.01209890942240276,1.0266255605381167
32,"{'Boiled Rice', 'Water'}",{'Boiled Egg'},0.484304932735426,0.06278026905829596,0.04185351270553064,0.08641975308641975,1.376543209876543,0.01144871872214067,1.0258756514361895
33,"{'Boiled Rice', 'Boiled Egg'}",{'Water'},0.061285500747384154,0.4977578475336323,0.04185351270553064,0.6829268292682927,1.3720061524939575,0.011348173768491895,1.5839944808554678
34,{'Water'},"{'Boiled Rice', 'Boiled Egg'}",0.4977578475336323,0.061285500747384154,0.04185351270553064,0.08408408408408409,1.3720061524939575,0.011348173768491895,1.0248915680364625
35,{'Boiled Egg'},"{'Boiled Rice', 'Water'}",0.06278026905829596,0.484304932735426,0.04185351270553064,0.6666666666666666,1.376543209876543,0.01144871872214067,1.5470852017937216
36,{'Boiled Rice'},{'Boiled Noodles'},0.9805680119581465,0.04035874439461883,0.04035874439461883,0.041158536585365856,1.019817073170732,0.0007842506384604583,1.0008341234930525
37,{'Boiled Noodles'},{'Boiled Rice'},0.04035874439461883,0.9805680119581465,0.04035874439461883,1.0,1.0198170731707317,0.0007842506384604583,inf
38,{'Sauteed Vegetable'},{'Boiled Rice'},0.03736920777279522,0.9805680119581465,0.03736920777279522,1.0,1.0198170731707317,0.000726157998574499,inf
39,{'Boiled Rice'},{'Sauteed Vegetable'},0.9805680119581465,0.03736920777279522,0.03736920777279522,0.038109756097560975,1.0198170731707317,0.000726157998574499,1.0007698885911986
40,"{'Boiled Vegetable', 'Water'}",{'Boiled Rice'},0.03587443946188341,0.9805680119581465,0.03587443946188341,1.0,1.0198170731707317,0.0006971116786315193,inf
41,{'Boiled Rice'},"{'Boiled Vegetable', 'Water'}",0.9805680119581465,0.03587443946188341,0.03587443946188341,0.036585365853658534,1.0198170731707317,0.0006971116786315193,1.0007379235965261
42,{'Fried Fish'},{'Milk'},0.13452914798206278,0.23019431988041852,0.0343796711509716,0.25555555555555554,1.1101731601731601,0.0034118254271484766,1.0340673315039155
43,{'Milk'},{'Fried Fish'},0.23019431988041852,0.13452914798206278,0.0343796711509716,0.14935064935064934,1.1101731601731601,0.0034118254271484766,1.0174237497004759
44,"{'Fried Fish', 'Boiled Rice'}",{'Milk'},0.13153961136023917,0.23019431988041852,0.03288490284005979,0.25,1.0860389610389611,0.002605231465654962,1.0264075734927753
45,{'Milk'},"{'Fried Fish', 'Boiled Rice'}",0.23019431988041852,0.13153961136023917,0.03288490284005979,0.14285714285714288,1.0860389610389611,0.002605231465654962,1.0132037867463877
46,{'Fried Fish'},"{'Milk', 'Boiled Rice'}",0.13452914798206278,0.22122571001494767,0.03288490284005979,0.24444444444444446,1.104954954954955,0.00312359656002199,1.0307306779213927
47,"{'Milk', 'Boiled Rice'}",{'Fried Fish'},0.22122571001494767,0.13452914798206278,0.03288490284005979,0.14864864864864866,1.104954954954955,0.00312359656002199,1.0165848103067836
48,{'Water'},{'Boiled Fish'},0.4977578475336323,0.061285500747384154,0.03288490284005979,0.06606606606606608,1.0780048341023953,0.0023795639030210446,1.0051187403573025
49,{'Boiled Rice'},"{'Fried Processed Meat', 'Fried Egg'}",0.9805680119581465,0.03288490284005979,0.03288490284005979,0.03353658536585366,1.0198170731707317,0.0006390190387455599,1.000674296115017
50,{'Boiled Fish'},{'Water'},0.061285500747384154,0.4977578475336323,0.03288490284005979,0.5365853658536586,1.0780048341023951,0.0023795639030210446,1.0837856974274251
51,"{'Fried Processed Meat', 'Fried Egg'}",{'Boiled Rice'},0.03288490284005979,0.9805680119581465,0.03288490284005979,1.0,1.0198170731707317,0.0006390190387455599,inf
52,"{'Boiled Fish', 'Boiled Rice'}",{'Water'},0.059790732436472344,0.4977578475336323,0.03139013452914798,0.525,1.0547297297297298,0.0016288282491101792,1.0573518999291953
53,"{'Boiled Rice', 'Water'}",{'Boiled Fish'},0.484304932735426,0.061285500747384154,0.03139013452914798,0.06481481481481481,1.0575880758807588,0.0017092642120291983,1.0037739199928961
54,{'Boiled Fish'},"{'Boiled Rice', 'Water'}",0.061285500747384154,0.484304932735426,0.03139013452914798,0.5121951219512195,1.0575880758807588,0.0017092642120291983,1.0571748878923766
55,{'Water'},"{'Boiled Fish', 'Boiled Rice'}",0.4977578475336323,0.059790732436472344,0.03139013452914798,0.06306306306306307,1.05472972972973,0.0016288282491101792,1.0034925836495343
56,{'Fried Vegetable'},{'Boiled Rice'},0.03139013452914798,0.9805680119581465,0.03139013452914798,1.0,1.0198170731707317,0.0006099727188025768,inf
