,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,659,96853.29333333003,126390.7,2101.6000000000154,233.20000000000007,29116.999999999913,10945.0,36681.0,601.8999999999988,9.0,21.389999999999933,19.729999999999915,878.9999999999982,2.0
1,Water,337,77328.99999999999,50.0,1.7,2.1,5.9,132.0,0.0,92.4,0.0,0.0,0.0,0.0,66.0
2,Fried Egg,195,11187.595999999987,18088.0,1416.8999999999996,1259.499999999997,279.90000000000015,8032.0,19564.0,319.2999999999998,29315.0,8.19999999999999,44.53000000000013,490.30000000000035,2.0
3,Milk,154,5267.5,20097.0,663.2000000000004,839.400000000001,2442.8999999999983,29368.0,13677.0,1595.0,9953.0,27.26,18.64000000000001,3.0,3048.0
4,Fried Fish,90,3860.55,5368.0,939.9000000000004,170.8999999999999,25.4,2787.0,9367.0,49.20000000000003,3701.0,3.959999999999997,6.7299999999999995,495.29999999999984,0.0
5,Fried Processed Meat,79,4594.75,8832.0,527.0499999999998,611.5999999999998,295.99999999999994,983.0,3280.0,72.40000000000006,5259.0,19.04000000000001,2.6100000000000003,98.80000000000004,0.0
6,Boiled Vegetable,54,1350.0324999999998,1081.0,74.2,22.700000000000003,143.7,1457.0,985.0,17.3,2364.0,1.4800000000000004,1.1700000000000004,38.40000000000002,237.0
7,Boiled Egg,42,2773.44,4505.0,380.3000000000001,341.7999999999999,19.9,2034.0,4993.0,96.69999999999997,2585.0,2.3699999999999997,12.819999999999997,70.1,0.0
8,Boiled Fish,41,1617.3,1948.0,373.09999999999997,44.500000000000014,14.4,1880.0,4033.0,21.400000000000006,1738.0,1.8100000000000005,2.690000000000001,203.30000000000004,47.0
9,Boiled Noodles,27,971.125,4219.0,99.19999999999999,154.50000000000006,585.0999999999999,298.0,0.0,70.40000000000002,687.0,0.0,0.0,0.0,2.0
10,Sweets,26,828.0,2374.0,43.699999999999996,94.79999999999995,377.9000000000001,1075.0,1294.0,44.199999999999996,0.0,0.0,3.9400000000000013,20.4,278.0
11,Sauteed Vegetable,25,764.6524999999999,216.0,5.6,1.0999999999999999,44.8,264.0,146.0,4.800000000000001,586.0,0.16,0.15999999999999998,3.3000000000000007,91.0
12,Fried Vegetable,21,989.919,670.0,10.3,46.9,52.30000000000002,320.0,279.0,5.400000000000001,139.0,0.8600000000000001,0.45000000000000007,7.399999999999999,27.0
13,Canned Processed Meat,18,537.32,1073.0,84.1,74.3,19.5,98.0,432.0,12.200000000000001,21.0,0.02,0.52,15.299999999999997,0.0
14,Fried Pork,18,1375.3200000000002,4525.0,208.8,371.59999999999997,89.70000000000002,472.0,2257.0,15.899999999999997,744.0,5.6899999999999995,2.17,92.39999999999999,12.0
15,Sauteed Noodles,14,721.0,1760.0,53.459999999999994,67.5,238.79999999999998,159.0,350.0,9.7,39.0,0.64,0.26,14.4,0.0
16,Boiled Chicken,13,586.8900000000001,1081.0,132.6,61.00000000000001,1.2,166.0,967.0,7.5,2936.0,0.5299999999999999,1.9800000000000006,73.59999999999998,23.0
17,Boiled Pork,13,728.61,1606.0,101.2,131.0,4.8,194.0,1016.0,10.100000000000001,143.0,1.91,0.7700000000000001,34.7,10.0
18,Baked Bread,13,513.25666667,1680.0,52.00000000000001,21.099999999999998,320.29999999999995,194.0,426.0,15.9,3.0,1.25,0.78,23.5,0.0
19,Coffee,9,105.0,487.0,1.9000000000000004,16.3,81.60000000000001,0.0,2.0,0.0,0.0,0.0,0.0,0.2,0.0
20,Condiment,8,70.0,269.0,0.5,10.0,44.1,59.0,12.0,0.6000000000000001,0.0,0.0,0.03,0.2,0.0
21,Fried Chicken,8,333.18,623.0,56.699999999999996,44.1,0.0,123.0,404.0,3.4,75.0,0.19000000000000003,0.32,26.0,11.0
22,Biscuit,8,225.5,1035.0,25.3,34.1,146.9,174.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0
23,Fried Beef,8,393.05,675.2,29.2,26.7,65.7,0.0,0.0,9.4,0.0,0.0,0.0,0.0,2.0
24,Processed Meat,7,270.0,1188.0,79.89999999999999,89.6,15.9,247.0,677.0,14.400000000000002,0.0,0.42,0.9699999999999998,29.199999999999996,0.0
25,Raw Fruit,6,299.78999999999996,463.0,6.4,0.9999999999999999,107.39999999999999,60.0,143.0,2.8,12.0,0.09,0.09,3.3,50.0
26,Sauteed Fish,5,167.0,234.0,31.5,10.100000000000001,4.5,316.0,312.0,0.7,16.0,0.02,0.24999999999999997,14.100000000000001,0.0
27,Stir-fried Vegetable,4,139.7025,70.0,5.3,0.6000000000000001,11.0,100.0,61.0,1.2000000000000002,69.0,0.16,0.15000000000000002,2.1,23.0
28,Braised Chicken,4,101.13999999999999,197.0,19.2,13.5,0.0,18.0,135.0,1.0,23.0,0.08,0.09,10.8,1.0
29,Fruit,4,220.0,219.0,2.2,0.6000000000000001,51.0,43.0,57.0,1.7000000000000002,88.0,0.09000000000000001,0.09,1.6,110.0
30,Boiled Others,4,130.48,171.0,31.4,4.8999999999999995,0.0,67.0,312.0,1.7,97.0,0.13,0.23,15.700000000000001,0.0
31,Others,3,495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Fresh Fruit,3,240.0,135.0,1.5,0.8,30.5,71.0,36.0,2.4,128.0,0.12,0.09,1.7,127.0
33,Dried Fish,2,73.305,125.0,25.8,2.3,0.0,598.0,346.0,3.6,136.0,0.01,0.08,12.7,0.0
34,Chicken,2,197.0,306.0,26.6,15.9,14.0,163.0,250.0,3.6,19.0,0.06,0.11000000000000001,13.2,0.0
35,Boiled Chicken/Beef/Pork,2,60.0,97.0,7.6,5.9,3.1,22.0,79.0,0.6,17.0,0.05,0.07,2.9000000000000004,0.0
36,Cereals,2,60.0,74.0,2.9000000000000004,0.6,15.5,106.0,0.0,2.8,0.0,0.0,0.32,3.6,0.0
37,Boiled Seafood,2,150.0,24.0,5.2,0.4,0.0,14.0,47.0,0.5,37.0,0.0,0.01,1.4,0.0
38,Sauteed Pork,2,103.53,335.0,17.3,29.5,0.2,14.0,205.0,1.0,9.0,0.54,0.12000000000000001,7.300000000000001,2.0
39,Beef,2,85.0,124.0,13.0,4.1,9.8,10.0,69.0,0.4,13.0,0.03,0.03,5.6,0.0
40,Roasted Others,2,60.0,116.0,9.3,8.0,1.9,35.0,62.0,0.6000000000000001,517.0,0.08,0.16,3.5,0.0
41,Stir-fried Leafy Vegetable,1,20.88,8.0,0.7,0.1,1.0,19.0,13.0,1.0,90.0,0.02,0.04,0.4,6.0
42,Boiled Beef,1,30.0,44.0,7.6,1.5,0.0,10.0,52.0,0.8,64.0,0.03,0.05,2.6,0.0
43,Fried Chicken/Pork,1,10.0,90.0,0.0,9.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Duck,1,126.9,199.0,28.9,9.3,0.0,119.0,233.0,3.2,65.0,0.18,0.38,16.9,0.0
45,Roasted Pork,1,30.0,92.0,5.2,7.9,0.1,4.0,66.0,0.3,3.0,0.15,0.04,2.2,1.0
46,Roasted Chicken,1,30.0,52.8,7.8,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Sauteed Beef,1,53.3,109.0,7.9,8.0,1.1,14.0,63.0,0.5,3.0,0.01,0.07,2.2,0.0
48,Grilled Pork,1,60.0,96.0,6.7,7.6,0.0,6.0,63.0,0.6,57.0,0.28,0.12,4.4,0.0
49,Juice,1,200.0,80.0,0.0,0.0,20.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,75.0
50,Deep-Fried Pork,1,30.0,124.0,7.0,10.6,0.1,5.0,89.0,0.4,4.0,0.21,0.05,2.9,1.0
51,Boiled Leafy Vegetable,1,29.7,19.0,0.9,0.3,3.1,29.0,9.0,0.5,140.0,0.02,0.04,0.5,16.0
52,Bread,1,40.0,132.0,3.9,2.0,24.4,31.0,38.0,1.6,0.0,0.08,0.06,2.0,0.0
53,Fried Seafood,1,13.68,12.0,2.6,0.1,0.3,20.0,29.0,0.2,8.0,0.01,0.01,0.7,0.0
54,Stir-fried Pork/Chicken,1,23.33,29.0,4.2,0.9,0.9,3.0,35.0,0.8,2153.0,0.07,1.05,3.3,8.0
55,Boiled Fruit,1,40.0,42.0,0.4,0.4,9.2,56.0,8.0,0.3,5.0,0.02,0.02,0.4,4.0
56,Fermented Fish,1,15.0,16.0,3.5,0.3,0.0,123.0,77.0,1.2,0.0,0.0,0.03,1.3,0.0
57,Braised Fish,1,56.0,64.0,14.6,0.6,0.0,89.0,109.0,1.2,61.0,0.01,0.02,7.8,0.0
58,Vegetable,1,257.0,917.0,21.3,3.9,199.2,28.0,221.0,1.0,0.0,0.21,0.13,5.1,0.0
59,Processed Sweets,1,10.0,38.0,0.4,0.2,8.8,17.0,11.0,0.0,17.0,0.02,0.04,0.1,0.0
60,Baked Sweets,1,20.0,51.0,0.6,0.2,11.8,3.0,12.0,0.3,0.0,0.01,0.0,0.3,0.0
