,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,605,82010.89333333002,107162.4,1770.000000000013,183.09999999999945,24709.79999999991,9262.0,30600.0,511.29999999999967,0.0,17.379999999999885,16.839999999999872,731.3999999999985,0.0
1,Water,310,72423.99999999999,50.0,2.8,2.1,5.9,132.0,0.0,92.4,0.0,0.0,0.0,0.0,66.0
2,Fried Egg,172,8850.335999999988,14442.0,1098.3999999999994,1020.6999999999981,223.89999999999998,6307.0,15368.0,248.39999999999992,23630.0,6.409999999999994,34.69000000000007,389.0000000000002,2.0
3,Milk,99,3205.75,12088.0,399.40000000000015,498.50000000000017,1476.2999999999993,17058.0,7350.0,777.9999999999998,5627.0,13.569999999999999,8.930000000000001,1.4,1496.0
4,Fried Fish,79,3126.385,4402.0,760.4000000000004,146.19999999999996,20.1,2786.0,7696.0,41.300000000000004,2747.0,2.969999999999997,5.220000000000001,389.40000000000003,0.0
5,Fried Processed Meat,73,4127.5,7802.0,472.79999999999984,536.6999999999998,259.20000000000005,871.0,2838.0,68.10000000000004,5589.0,17.85,2.2900000000000005,85.50000000000001,0.0
6,Boiled Vegetable,64,1446.6477772400003,1178.0,69.50000000000003,22.6,173.69999999999993,1553.0,949.0,20.000000000000004,2904.0,1.5500000000000005,1.2100000000000004,36.00000000000001,297.0
7,Boiled Fish,33,1496.6000000000001,1385.0,265.8999999999999,31.5,9.6,1584.0,2940.0,14.6,1197.0,0.9900000000000002,1.6800000000000006,135.99999999999994,23.0
8,Boiled Noodles,22,1018.875,3582.0,78.89999999999998,126.89999999999999,514.5,261.0,3.0,58.5,539.0,0.0,0.0,0.0,2.0
9,Boiled Egg,21,1320.0,2136.0,180.90000000000003,161.30000000000004,11.400000000000004,968.0,2376.0,45.40000000000002,1423.0,1.0900000000000003,6.050000000000003,35.699999999999996,0.0
10,Sauteed Vegetable,21,502.28374999999994,176.0,6.1,0.8999999999999999,35.50000000000001,246.0,124.0,5.800000000000001,744.0,0.17000000000000004,0.22,3.400000000000001,89.0
11,Sweets,20,972.0,2261.0,38.099999999999994,70.89999999999998,367.70000000000005,681.0,862.0,31.699999999999996,0.0,0.06,2.6400000000000006,13.0,207.0
12,Fried Vegetable,16,628.979,611.0,6.6000000000000005,51.0,31.3,193.0,174.0,3.2000000000000006,91.0,0.49000000000000005,0.28,4.499999999999999,15.0
13,Fried Pork,14,1068.51,3141.0,159.30000000000004,253.30000000000004,59.80000000000001,347.0,1727.0,12.1,675.0,4.14,1.68,71.19999999999999,6.0
14,Canned Processed Meat,13,414.98999999999995,833.0,65.19999999999999,58.300000000000004,13.8,81.0,357.0,2.9,17.0,0.01,0.43,12.7,0.0
15,Boiled Pork,12,473.13,1003.0,60.699999999999996,82.3,4.499999999999999,98.0,506.0,6.4,83.0,1.01,0.38,17.5,7.0
16,Sauteed Noodles,12,435.0,819.0,26.659999999999997,25.1,125.60000000000001,132.0,147.0,6.3,32.0,0.08,0.12,6.999999999999999,0.0
17,Baked Bread,11,446.59666667000005,1460.0,45.300000000000004,18.299999999999997,278.3,178.0,376.0,13.9,3.0,1.1,0.6799999999999999,20.4,0.0
18,Boiled Chicken,10,415.44,772.0,98.49999999999999,42.30000000000001,0.0,147.0,737.0,5.0,138.0,0.30000000000000004,0.44000000000000006,54.10000000000001,8.0
19,Coffee,8,126.0,531.0,8.499999999999998,11.6,96.69999999999999,40.0,112.0,0.5,0.0,0.0,0.1,17.4,0.0
20,Fried Chicken,8,286.52,670.0,51.3,51.6,0.1,144.0,343.0,3.4,102.0,0.16,0.28,20.8,10.0
21,Raw Fruit,7,394.79,603.0,7.8,1.0999999999999999,140.4,86.0,175.0,3.7999999999999994,127.0,0.14,0.17,3.9999999999999996,82.0
22,Condiment,7,77.5,435.0,0.3,29.800000000000004,40.900000000000006,55.0,8.0,0.4,0.0,0.0,0.03,0.1,0.0
23,Fried Beef,6,305.2,457.2,23.0,17.5,53.1,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0
24,Dried Fish,5,110.805,208.0,43.0,3.9000000000000004,0.0,1105.0,592.0,5.500000000000001,207.0,0.01,0.14,21.7,0.0
25,Processed Meat,5,225.0,990.0,66.6,74.7,13.200000000000001,206.0,564.0,12.0,0.0,0.35000000000000003,0.8099999999999998,24.299999999999997,0.0
26,Boiled Others,5,370.48,171.0,31.4,4.8999999999999995,0.0,67.0,312.0,1.7,97.0,0.13,0.23,15.700000000000001,0.0
27,Stir-fried Vegetable,5,184.7025,89.0,6.7,0.7,14.200000000000001,127.0,82.0,1.6,88.0,0.21000000000000002,0.2,2.8,33.0
28,Fermented Fish,4,37.5,38.0,8.2,0.7,0.0,310.0,179.0,2.9,27.0,0.0,0.06999999999999999,3.0000000000000004,0.0
29,Biscuit,4,149.0,687.0,15.6,24.1,102.0,108.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0
