,Household No.,HHLD Visit,Meal,Dish List
0,10009,First WD,Breakfast,"['Fried Fish', nan, 'Water', 'Boiled Rice']"
1,10009,Second WD,Breakfast,"['Duck', nan, nan, nan, 'Boiled Rice', 'Water']"
2,10009,Third WE,Breakfast,"['Boiled Chicken', nan, nan, nan, 'Boiled Rice']"
3,10011,First WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Coffee', nan, 'Water']"
4,10011,Second WD,Breakfast,"['Boiled Rice', 'Boiled Noodles', nan, nan, 'Coffee', nan, nan]"
5,10011,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Coffee', nan]"
6,10104,First WD,Breakfast,['Boiled Rice']
7,10104,Second WD,Breakfast,"['Boiled Vegetable', nan, 'Boiled Rice']"
8,10104,Third WE,Breakfast,"['Milk', nan, 'Boiled Rice', 'Water']"
9,10105,First WD,Breakfast,"['Boiled Rice', 'Fried Beef', 'Fried Egg', nan]"
10,10105,Second WD,Breakfast,"['Boiled Rice', 'Fried Beef', 'Fried Egg', nan]"
11,10105,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
12,11005,First WD,Breakfast,"['Canned Processed Meat', nan, 'Fried Egg', nan]"
13,11005,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
14,11005,Third WE,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Boiled Noodles', nan, nan]"
15,11008,First WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Processed Meat', nan, 'Water']"
16,11008,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Fish', nan, 'Cereals', nan]"
17,11008,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg']"
18,11010,First WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, nan, nan, 'Water']"
19,11010,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
20,11010,Third WE,Breakfast,"['Fried Pork', nan, 'Boiled Rice', 'Milk', nan, 'Condiment', 'Condiment']"
21,11011,First WD,Breakfast,"['Sauteed Noodles', nan, nan, nan, 'Vegetable', 'Milk', 'Water']"
22,11011,Second WD,Breakfast,"['Boiled Fish', nan, nan, 'Boiled Rice', 'Water']"
23,11011,Third WE,Breakfast,"['Boiled Egg', 'Boiled Rice', 'Sweets']"
24,11105,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Sauteed Fish', nan]"
25,11105,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan]"
26,11105,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
27,11109,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water', 'Fried Fish', nan]"
28,11109,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fruit', 'Water']"
29,11109,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Fruit', 'Water']"
30,20006,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water']"
31,20006,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Water']"
32,20006,Third WE,Breakfast,"['Boiled Rice', 'Boiled Noodles', nan, 'Water']"
33,20009,First WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
34,20009,Second WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
35,20009,Third WE,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
36,20101,First WD,Breakfast,"['Milk', 'Boiled Rice', 'Fried Beef', nan, 'Water']"
37,20101,Second WD,Breakfast,"['Milk', 'Boiled Rice', 'Fried Egg', nan]"
38,20101,Third WE,Breakfast,"['Milk', 'Boiled Rice', 'Braised Chicken', nan]"
39,20104,First WD,Breakfast,"['Fried Egg', 'Boiled Rice', 'Milk', nan, 'Biscuit']"
40,20104,Second WD,Breakfast,"['Boiled Rice', 'Sauteed Fish', nan]"
41,20104,Third WE,Breakfast,"['Sauteed Vegetable', nan, nan, 'Boiled Rice']"
42,21001,First WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Fried Egg', nan, 'Milk', nan]"
43,21001,Second WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water']"
44,21001,Third WE,Breakfast,"['Milk', nan, 'Baked Bread', 'Boiled Rice', 'Boiled Egg', 'Fried Fish', nan]"
45,21002,First WD,Breakfast,"['Boiled Rice', 'Boiled Fish', nan, 'Water']"
46,21002,Second WD,Breakfast,"['Boiled Rice', 'Boiled Chicken', 'Others', 'Water']"
47,21002,Third WE,Breakfast,"['Boiled Rice', 'Fried Beef', nan, 'Boiled Vegetable', nan, 'Water']"
48,21003,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', 'Water']"
49,21003,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', 'Water']"
50,21003,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', 'Biscuit']"
51,21004,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk']"
52,21004,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Vegetable', 'Fried Processed Meat', nan]"
53,21004,Third WE,Breakfast,"['Boiled Rice', 'Canned Processed Meat', 'Milk', nan]"
54,21005,First WD,Breakfast,"['Boiled Vegetable', nan, 'Fried Fish', nan, 'Boiled Rice', 'Milk']"
55,21005,Second WD,Breakfast,"['Fried Egg', 'Boiled Rice', 'Boiled Vegetable', nan, nan]"
56,21005,Third WE,Breakfast,"['Fried Processed Meat', nan, 'Boiled Rice', 'Milk']"
57,21008,First WD,Breakfast,"['Boiled Rice', 'Fried Pork', nan, 'Water']"
