,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,657,89795.56000000004,117001.4,1931.6000000000174,198.5999999999998,26978.199999999895,10114.0,33361.0,558.2999999999992,0.0,18.929999999999893,18.389999999999894,797.3999999999982,0.0
1,Water,346,80449.79999999999,50.0,2.8,2.1,5.9,132.0,0.0,92.4,0.0,0.0,0.0,0.0,66.0
2,Fried Egg,192,10015.985999999992,16346.0,1252.1999999999994,1151.2999999999986,252.50000000000003,7162.0,17460.0,282.7,26632.0,7.299999999999992,39.490000000000094,440.6000000000005,2.0
3,Milk,107,3816.25,13660.0,453.1000000000003,566.3000000000004,1659.799999999999,19712.0,8229.0,1173.0999999999992,6166.0,15.170000000000002,10.389999999999999,3.0,1924.0
4,Fried Fish,88,3226.965,4634.0,812.7000000000004,148.79999999999995,20.2,2964.0,8250.0,44.90000000000003,3129.0,3.2399999999999967,5.640000000000001,430.4999999999999,0.0
5,Boiled Vegetable,72,1723.3952772400003,1372.0,85.50000000000003,23.900000000000002,202.99999999999991,1890.0,1185.0,23.400000000000013,3102.0,1.7600000000000007,1.3900000000000006,43.100000000000016,324.0
6,Fried Processed Meat,72,4326.5,8166.0,483.74999999999983,576.6999999999998,238.4,1017.0,3375.0,78.50000000000007,5738.0,2.1100000000000003,2.68,101.60000000000004,0.0
7,Boiled Fish,37,1675.48,1550.0,292.59999999999997,35.800000000000004,14.4,1691.0,3208.0,17.0,1521.0,1.2000000000000002,2.0100000000000007,151.79999999999995,47.0
8,Boiled Egg,34,2227.5,3679.0,303.7000000000001,273.50000000000006,17.5,1633.0,4010.0,77.2,2228.0,1.880000000000001,10.249999999999998,58.099999999999994,0.0
9,Sweets,26,886.0,2785.0,50.499999999999986,86.39999999999995,451.90000000000003,1206.0,1532.0,46.19999999999999,0.0,0.06,3.99,29.999999999999993,277.0
10,Sauteed Vegetable,25,670.83125,214.0,6.800000000000001,1.0999999999999999,43.300000000000004,299.0,148.0,6.2,766.0,0.19000000000000003,0.22,3.800000000000001,110.0
11,Boiled Noodles,23,1111.375,3882.0,86.6,139.70000000000002,551.0,271.0,3.0,62.30000000000002,539.0,0.0,0.0,0.0,2.0
12,Fried Vegetable,21,914.059,735.0,9.4,56.6,47.40000000000002,290.0,254.0,4.9,128.0,0.7700000000000002,0.41000000000000014,6.699999999999999,23.0
13,Canned Processed Meat,15,443.32,891.0,69.39999999999999,62.6,14.400000000000002,89.0,391.0,3.1,19.0,0.01,0.47,13.899999999999999,0.0
14,Fried Pork,14,893.47,2759.0,130.60000000000002,223.50000000000006,59.7,325.0,1396.0,10.100000000000001,575.0,3.1599999999999997,1.3700000000000003,56.599999999999994,4.0
15,Boiled Chicken,14,607.74,1121.0,136.5,63.800000000000004,1.2,179.0,997.0,7.800000000000001,2942.0,0.5399999999999999,2.0000000000000004,75.29999999999998,24.0
16,Baked Bread,12,459.92666667000003,1504.0,46.6,18.9,286.7,181.0,386.0,14.3,3.0,1.13,0.7,21.0,0.0
17,Sauteed Noodles,12,455.0,819.0,25.759999999999998,12.2,155.70000000000002,134.0,141.0,6.8,4.0,0.01,0.09,5.8999999999999995,0.0
18,Boiled Pork,11,405.87,1165.0,69.8,96.2,4.6,105.0,622.0,6.9,88.0,1.2800000000000002,0.44000000000000006,21.200000000000003,8.0
19,Coffee,10,159.0,680.0,8.999999999999998,16.299999999999997,122.89999999999998,40.0,112.0,0.5,0.0,0.0,0.1,17.4,0.0
20,Fried Chicken,9,323.96,719.0,59.4,53.5,0.1,153.0,404.0,3.8000000000000003,114.0,0.18,0.30000000000000004,25.8,10.0
21,Fried Beef,9,445.2,805.2,39.8,38.5,61.50000000000001,58.0,188.0,3.4,140.0,0.04,0.14,6.2,2.0
22,Raw Fruit,8,434.79,645.0,8.3,1.2000000000000002,150.20000000000002,93.0,189.0,4.1,129.0,0.15000000000000002,0.18000000000000002,4.3,90.0
23,Processed Meat,7,270.0,1188.0,79.89999999999999,89.6,15.9,247.0,677.0,14.400000000000002,0.0,0.42,0.9699999999999998,29.199999999999996,0.0
24,Condiment,7,77.5,435.0,0.3,29.800000000000004,40.900000000000006,55.0,8.0,0.4,0.0,0.0,0.03,0.1,0.0
25,Biscuit,6,213.0,982.0,22.5,33.900000000000006,146.3,176.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0
26,Dried Fish,5,110.805,208.0,43.0,3.9000000000000004,0.0,1105.0,592.0,5.500000000000001,207.0,0.01,0.14,21.7,0.0
27,Sauteed Fish,4,135.0,184.0,22.200000000000003,8.8,4.2,250.0,256.0,0.4,16.0,0.02,0.22,10.6,0.0
28,Boiled Others,4,335.48,126.0,23.9,3.3,0.0,50.0,230.0,1.3,88.0,0.11,0.2,13.700000000000001,0.0
29,Stir-fried Vegetable,4,139.7025,66.0,4.9,0.5,10.600000000000001,94.0,63.0,1.2,65.0,0.16,0.15,2.0999999999999996,26.0
30,Fermented Fish,4,37.5,38.0,8.2,0.7,0.0,310.0,179.0,2.9,27.0,0.0,0.06999999999999999,3.0000000000000004,0.0
31,Fruit,3,185.0,175.0,1.8,0.4,40.8,36.0,49.0,1.4,177.0,0.1,0.11000000000000001,1.7000000000000002,101.0
32,Braised Chicken,3,71.15,158.0,12.7,12.0,0.0,11.0,86.0,0.7,14.0,0.06,0.07,6.8,1.0
33,Fresh Fruit,3,195.0,110.0,1.4,0.7,24.400000000000002,54.0,34.0,1.7999999999999998,66.0,0.11,0.07,1.2999999999999998,82.0
34,Others,2,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Stir-fried Leafy Vegetable,2,58.995000000000005,19.0,1.2999999999999998,0.30000000000000004,2.8,38.0,23.0,1.5,188.0,0.03,0.07,0.7,10.0
36,Chicken,2,197.0,306.0,26.6,15.9,14.0,163.0,250.0,3.6,19.0,0.06,0.11000000000000001,13.2,0.0
37,Boiled Leafy Vegetable,2,74.7,28.0,1.2,0.4,5.0,55.0,11.0,1.7,316.0,0.03,0.06,0.7,37.0
38,Boiled Chicken/Beef/Pork,1,30.0,64.0,4.2,5.2,0.0,17.0,47.0,0.5,14.0,0.05,0.05,1.8,0.0
39,Boiled Fruit,1,40.0,42.0,0.4,0.4,9.2,56.0,8.0,0.3,5.0,0.02,0.02,0.4,4.0
40,Canned Processed Food,1,22.9,90.0,3.3,8.5,0.0,3.0,26.0,0.2,1.0,0.13,0.03,1.6,0.0
41,Fried Chicken/Pork,1,10.0,90.0,0.0,9.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Deep-Fried Pork,1,30.0,124.0,7.0,10.6,0.1,5.0,89.0,0.4,4.0,0.21,0.05,2.9,1.0
43,Roasted Chicken,1,30.0,52.8,7.8,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Sauteed Pork,1,82.74,254.0,14.3,21.8,0.2,11.0,182.0,0.8,8.0,0.42,0.1,5.9,2.0
45,Sauteed Beef,1,53.3,109.0,7.9,8.0,1.1,14.0,63.0,0.5,3.0,0.01,0.07,2.2,0.0
46,Boiled Seafood,1,30.0,24.0,5.2,0.4,0.0,14.0,47.0,0.5,37.0,0.0,0.01,1.4,0.0
47,Fish,1,66.6,85.0,6.8,5.1,2.9,117.0,131.0,0.0,12.0,0.01,0.13,4.2,0.0
48,Juice,1,200.0,80.0,0.0,0.0,20.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,75.0
49,Grilled Chicken/Beef/Pork,1,15.12,46.0,2.6,4.0,0.0,2.0,33.0,0.2,2.0,0.08,0.02,1.1,0.0
50,Roasted Pork,1,30.0,64.0,4.2,5.2,0.0,17.0,47.0,0.5,14.0,0.05,0.05,1.8,0.0
