,support,itemsets,length
0,0.9761194029850746,{'Boiled Rice'},1
1,0.508955223880597,{'Water'},1
2,0.4955223880597015,"{'Water', 'Boiled Rice'}",2
3,0.2865671641791045,{'Fried Egg'},1
4,0.28507462686567164,"{'Fried Egg', 'Boiled Rice'}",2
5,0.15970149253731344,{'Milk'},1
6,0.1537313432835821,"{'Milk', 'Boiled Rice'}",2
7,0.14328358208955225,"{'Fried Egg', 'Water'}",2
8,0.14328358208955225,"{'Fried Egg', 'Water', 'Boiled Rice'}",3
9,0.13134328358208955,{'Fried Fish'},1
10,0.12835820895522387,"{'Fried Fish', 'Boiled Rice'}",2
11,0.10597014925373134,{'Boiled Vegetable'},1
12,0.10597014925373134,{'Fried Processed Meat'},1
13,0.1044776119402985,"{'Fried Processed Meat', 'Boiled Rice'}",2
14,0.1044776119402985,"{'Boiled Vegetable', 'Boiled Rice'}",2
15,0.07164179104477612,"{'Fried Fish', 'Water'}",2
16,0.06865671641791045,"{'Fried Fish', 'Water', 'Boiled Rice'}",3
17,0.06417910447761194,"{'Milk', 'Water'}",2
18,0.05970149253731343,"{'Water', 'Milk', 'Boiled Rice'}",3
19,0.05522388059701493,{'Boiled Fish'},1
20,0.05522388059701493,"{'Boiled Fish', 'Boiled Rice'}",2
21,0.05223880597014925,"{'Boiled Vegetable', 'Water'}",2
22,0.050746268656716415,"{'Boiled Vegetable', 'Water', 'Boiled Rice'}",3
23,0.050746268656716415,{'Boiled Egg'},1
24,0.049253731343283584,"{'Fried Processed Meat', 'Water'}",2
25,0.049253731343283584,"{'Boiled Egg', 'Boiled Rice'}",2
26,0.049253731343283584,"{'Fried Processed Meat', 'Water', 'Boiled Rice'}",3
27,0.04477611940298507,"{'Fried Egg', 'Milk', 'Boiled Rice'}",3
28,0.04477611940298507,"{'Fried Egg', 'Milk'}",2
29,0.03880597014925373,{'Sweets'},1
30,0.03731343283582089,"{'Sauteed Vegetable', 'Boiled Rice'}",2
31,0.03731343283582089,{'Sauteed Vegetable'},1
32,0.034328358208955224,{'Boiled Noodles'},1
33,0.03283582089552239,"{'Boiled Noodles', 'Boiled Rice'}",2
34,0.03283582089552239,"{'Boiled Fish', 'Water'}",2
35,0.03283582089552239,"{'Boiled Egg', 'Water'}",2
36,0.03283582089552239,"{'Boiled Fish', 'Water', 'Boiled Rice'}",3
37,0.03283582089552239,"{'Sweets', 'Boiled Rice'}",2
38,0.03134328358208955,"{'Fried Vegetable', 'Boiled Rice'}",2
39,0.03134328358208955,{'Fried Vegetable'},1
40,0.03134328358208955,"{'Water', 'Boiled Egg', 'Boiled Rice'}",3
41,0.029850746268656716,"{'Fried Fish', 'Milk'}",2
42,0.028358208955223882,"{'Fried Fish', 'Milk', 'Boiled Rice'}",3
43,0.022388059701492536,{'Canned Processed Meat'},1
44,0.020895522388059702,"{'Fried Processed Meat', 'Fried Egg'}",2
45,0.020895522388059702,"{'Fried Vegetable', 'Water', 'Boiled Rice'}",3
46,0.020895522388059702,"{'Fried Processed Meat', 'Fried Egg', 'Boiled Rice'}",3
47,0.020895522388059702,"{'Water', 'Fried Vegetable'}",2
48,0.020895522388059702,"{'Canned Processed Meat', 'Boiled Rice'}",2
49,0.020895522388059702,"{'Fried Pork', 'Boiled Rice'}",2
50,0.020895522388059702,"{'Boiled Chicken', 'Boiled Rice'}",2
51,0.020895522388059702,{'Boiled Chicken'},1
52,0.020895522388059702,{'Fried Pork'},1
53,0.019402985074626865,"{'Fried Processed Meat', 'Milk'}",2
54,0.019402985074626865,"{'Fried Processed Meat', 'Milk', 'Boiled Rice'}",3
55,0.01791044776119403,{'Sauteed Noodles'},1
56,0.01791044776119403,{'Baked Bread'},1
57,0.016417910447761194,"{'Boiled Vegetable', 'Milk', 'Boiled Rice'}",3
58,0.016417910447761194,"{'Sauteed Vegetable', 'Water'}",2
59,0.016417910447761194,"{'Sauteed Noodles', 'Boiled Rice'}",2
60,0.016417910447761194,"{'Water', 'Sauteed Vegetable', 'Boiled Rice'}",3
61,0.016417910447761194,"{'Boiled Pork', 'Boiled Rice'}",2
62,0.016417910447761194,"{'Boiled Vegetable', 'Milk'}",2
63,0.016417910447761194,{'Boiled Pork'},1
64,0.014925373134328358,{'Coffee'},1
65,0.014925373134328358,"{'Fried Egg', 'Milk', 'Water'}",3
66,0.014925373134328358,"{'Fried Egg', 'Water', 'Milk', 'Boiled Rice'}",4
67,0.014925373134328358,"{'Baked Bread', 'Boiled Rice'}",2
68,0.014925373134328358,"{'Coffee', 'Boiled Rice'}",2
69,0.013432835820895522,"{'Fried Beef', 'Boiled Rice'}",2
70,0.013432835820895522,{'Fried Beef'},1
71,0.013432835820895522,{'Fried Chicken'},1
72,0.013432835820895522,"{'Fried Chicken', 'Boiled Rice'}",2
73,0.013432835820895522,"{'Boiled Noodles', 'Water'}",2
74,0.013432835820895522,"{'Boiled Noodles', 'Water', 'Boiled Rice'}",3
75,0.011940298507462687,{'Raw Fruit'},1
76,0.011940298507462687,"{'Fried Pork', 'Water', 'Boiled Rice'}",3
77,0.011940298507462687,"{'Raw Fruit', 'Boiled Rice'}",2
78,0.011940298507462687,"{'Fried Pork', 'Water'}",2
79,0.010447761194029851,"{'Water', 'Coffee', 'Boiled Rice'}",3
80,0.010447761194029851,"{'Boiled Chicken', 'Water'}",2
81,0.010447761194029851,"{'Water', 'Boiled Chicken', 'Boiled Rice'}",3
82,0.010447761194029851,"{'Water', 'Coffee'}",2
83,0.010447761194029851,{'Condiment'},1
84,0.010447761194029851,{'Processed Meat'},1
85,0.010447761194029851,"{'Condiment', 'Boiled Rice'}",2
86,0.010447761194029851,"{'Fried Processed Meat', 'Fried Egg', 'Water'}",3
87,0.010447761194029851,"{'Processed Meat', 'Boiled Rice'}",2
88,0.010447761194029851,"{'Fried Processed Meat', 'Fried Egg', 'Water', 'Boiled Rice'}",4
