,Household No.,HHLD Visit,Meal,Dish List
0,10011,First WD,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Coffee', nan, 'Water']"
1,10011,Second WD,Breakfast,"['Boiled Rice', 'Boiled Noodles', nan, nan, 'Coffee', nan, nan]"
2,10011,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Coffee', nan]"
3,10104,First WD,Breakfast,['Boiled Rice']
4,10104,Second WD,Breakfast,"['Boiled Vegetable', nan, 'Boiled Rice']"
5,10104,Third WE,Breakfast,"['Milk', nan, 'Boiled Rice', 'Water']"
6,10108,First WD,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan, 'Milk', nan]"
7,10108,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
8,10108,Third WE,Breakfast,"['Boiled Rice', 'Boiled Pork', nan, nan, nan, 'Water']"
9,10109,First WD,Breakfast,"['Fried Fish', nan, 'Sweets', nan, 'Boiled Rice']"
10,10109,Second WD,Breakfast,"['Boiled Noodles', nan, 'Boiled Rice', 'Others', 'Water']"
11,10109,Third WE,Breakfast,"['Fried Fish', nan, 'Boiled Rice', 'Water']"
12,11008,First WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Processed Meat', nan, 'Water']"
13,11008,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Fish', nan, 'Cereals', nan]"
14,11008,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg']"
15,11010,First WD,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, nan, nan, 'Water']"
16,11010,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
17,11010,Third WE,Breakfast,"['Fried Pork', nan, 'Boiled Rice', 'Milk', nan, 'Condiment', 'Condiment']"
18,11011,First WD,Breakfast,"['Sauteed Noodles', nan, nan, nan, 'Vegetable', 'Milk', 'Water']"
19,11011,Second WD,Breakfast,"['Boiled Fish', nan, nan, 'Boiled Rice', 'Water']"
20,11011,Third WE,Breakfast,"['Boiled Egg', 'Boiled Rice', 'Sweets']"
21,11103,First WD,Breakfast,"['Boiled Vegetable', 'Boiled Rice']"
22,11103,Second WD,Breakfast,"['Boiled Rice', 'Boiled Fish', 'Milk', nan]"
23,11103,Third WE,Breakfast,"['Boiled Rice', 'Water']"
24,11109,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water', 'Fried Fish', nan]"
25,11109,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fruit', 'Water']"
