,Household No.,HHLD Visit,Meal,Dish List
0,10108,First WD,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan, 'Milk', nan]"
1,10108,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
2,10108,Third WE,Breakfast,"['Boiled Rice', 'Boiled Pork', nan, nan, nan, 'Water']"
3,11101,First WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
4,11101,Second WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice', 'Water']"
5,11101,Third WE,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
6,11104,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
7,11104,Second WD,Breakfast,"['Boiled Rice', 'Processed Meat', nan, 'Milk', nan]"
8,11104,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
9,11109,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water', 'Fried Fish', nan]"
10,11109,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fruit', 'Water']"
11,11109,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Fruit', 'Water']"
12,11112,First WD,Breakfast,"['Boiled Rice', 'Fried Beef', nan, 'Water']"
13,11112,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
14,11112,Third WE,Breakfast,"['Coffee', 'Boiled Rice', 'Fried Beef', nan, 'Water']"
15,20006,First WD,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, 'Water']"
16,20006,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Water']"
17,20006,Third WE,Breakfast,"['Boiled Rice', 'Boiled Noodles', nan, 'Water']"
18,20101,First WD,Breakfast,"['Milk', 'Boiled Rice', 'Fried Beef', nan, 'Water']"
19,20101,Second WD,Breakfast,"['Milk', 'Boiled Rice', 'Fried Egg', nan]"
20,20101,Third WE,Breakfast,"['Milk', 'Boiled Rice', 'Braised Chicken', nan]"
21,20105,First WD,Breakfast,"['Boiled Rice', 'Canned Processed Meat', nan]"
22,20105,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
23,20105,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, nan]"
24,20107,First WD,Breakfast,"['Boiled Rice', 'Boiled Noodles', 'Fried Egg']"
25,20107,Second WD,Breakfast,"['Canned Processed Meat', nan, 'Boiled Rice']"
26,20107,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Fish', nan, nan]"
27,21003,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', 'Water']"
28,21003,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', 'Water']"
29,21003,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', 'Biscuit']"
30,21008,First WD,Breakfast,"['Boiled Rice', 'Fried Pork', nan, 'Water']"
31,21008,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
32,21008,Third WE,Breakfast,"['Fried Egg', nan, 'Fried Fish', nan, 'Boiled Rice', 'Water']"
33,21011,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
34,21011,Second WD,Breakfast,"['Sauteed Vegetable', nan, nan, 'Boiled Rice', 'Water', nan]"
35,21011,Third WE,Breakfast,"['Sauteed Vegetable', nan, nan, nan, nan, 'Boiled Rice', 'Milk', nan]"
36,21106,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
37,21106,Second WD,Breakfast,"['Boiled Rice', 'Boiled Noodles', 'Fried Egg']"
38,21106,Third WE,Breakfast,"['Boiled Rice', 'Roasted Others', nan, nan, nan]"
39,21109,First WD,Breakfast,"['Boiled Rice', 'Milk', 'Water']"
40,21109,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
41,21109,Third WE,Breakfast,"['Boiled Rice', 'Sauteed Noodles', nan, nan, 'Milk']"
42,30001,First WD,Breakfast,"['Boiled Rice', 'Fried Pork', nan, 'Water']"
43,30001,Second WD,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Water']"
44,30001,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
45,30005,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Processed Meat', nan, 'Water']"
46,30005,Second WD,Breakfast,"['Boiled Rice', 'Water', 'Fried Processed Meat', nan, 'Fried Egg', nan, 'Processed Sweets', 'Juice', 'Boiled Rice', 'Fried Processed Meat', nan, 'Sauteed Noodles', nan, nan, 'Water', 'Milk', nan, 'Biscuit', 'Boiled Rice', 'Boiled Vegetable', 'Boiled Vegetable', nan, nan, 'Water']"
47,30005,Third WE,Breakfast,"['Boiled Rice', 'Boiled Egg', 'Fried Fish', nan, 'Water']"
48,30012,First WD,Breakfast,"['Boiled Pork', nan, 'Boiled Rice']"
49,30012,Second WD,Breakfast,"['Boiled Fish', nan, 'Boiled Rice']"
50,30012,Third WE,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
51,30013,First WD,Breakfast,"[nan, 'Boiled Rice']"
52,30013,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Milk', 'Water']"
53,30013,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan, nan]"
54,30016,Weekday First,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water', 'Milk']"
55,30016,Weekday Second,Breakfast,"['Boiled Rice', 'Sauteed Vegetable', nan, nan, nan, 'Braised Fish', nan, nan, 'Water']"
56,30016,Weekened,Breakfast,"[nan, 'Boiled Fish', nan, 'Water']"
57,30028,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
58,30028,Second WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Water']"
59,30028,Third WE,Breakfast,"['Boiled Rice', 'Fried Vegetable', nan, nan, 'Water']"
60,30031,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Fried Processed Meat', nan, 'Water']"
61,30031,Second WD,Breakfast,"['Boiled Rice', 'Boiled Seafood', 'Milk', nan]"
62,30031,Third WE,Breakfast,"['Boiled Rice', 'Fried Pork', nan, 'Water']"
63,30035,First WD,Breakfast,"['Fried Egg', nan, nan, 'Boiled Rice', 'Water']"
64,30035,Second WD,Breakfast,"['Fried Egg', nan, 'Boiled Rice']"
65,30035,Third WE,Breakfast,"['Fried Egg', nan, nan, 'Boiled Rice', 'Water']"
66,30106,First WD,Breakfast,"['Boiled Rice', 'Boiled Egg']"
67,30106,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
68,30106,Third WE,Breakfast,"['Boiled Rice', 'Fried Egg', nan]"
69,30107,First WD,Breakfast,"['Boiled Rice', 'Roasted Others', 'Fresh Fruit', 'Raw Fruit', 'Milk']"
70,30107,Second WD,Breakfast,"['Boiled Rice', 'Boiled Fish', 'Raw Fruit']"
71,30107,Third WE,Breakfast,"['Boiled Rice', 'Boiled Fish', 'Fresh Fruit']"
72,30108,First WD,Breakfast,"['Boiled Rice', 'Fried Egg', nan, 'Milk', nan]"
73,30108,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan]"
74,30108,Third WE,Breakfast,"['Boiled Rice', 'Boiled Vegetable', nan, nan]"
75,30109,First WD,Breakfast,"['Boiled Rice', 'Milk', 'Water', 'Baked Bread']"
76,30109,Second WD,Breakfast,"['Boiled Rice', 'Fried Fish', nan, 'Water']"
77,30109,Third WE,Breakfast,"['Boiled Rice', 'Milk', 'Water']"
78,30112,First WD,Breakfast,"['Roasted Pork', 'Boiled Rice']"
79,30112,Second WD,Breakfast,"['Boiled Rice', 'Boiled Fish', nan]"
