,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,621,88759.43333333003,115634.1,1914.4000000000144,199.59999999999954,26737.49999999992,10034.0,33585.0,553.3999999999992,0.0,19.3299999999999,18.0499999999999,803.6999999999983,0.0
1,Water,324,75055.99999999999,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Fried Egg,191,10681.379999999988,17435.0,1356.8999999999994,1218.1999999999978,269.70000000000005,7754.0,18903.0,307.29999999999995,28484.0,7.8999999999999915,42.79000000000011,473.1000000000003,2.0
3,Milk,125,3776.0,16541.0,543.4000000000002,691.8000000000005,2010.6999999999978,24368.0,11115.0,1248.6999999999998,8393.0,21.479999999999997,14.229999999999997,0.0,2414.0
4,Fried Fish,80,3246.080000000001,4500.0,808.2000000000004,139.19999999999996,12.7,2905.0,8326.0,44.600000000000016,3028.0,3.209999999999997,5.720000000000001,423.69999999999993,0.0
5,Fried Processed Meat,80,4419.25,8514.0,509.74999999999983,589.6999999999998,281.00000000000006,949.0,3130.0,74.90000000000009,5383.0,18.940000000000012,2.53,94.30000000000004,0.0
6,Boiled Vegetable,59,1326.7627772399999,1006.0,55.40000000000003,4.900000000000001,183.79999999999993,2033.0,942.0,18.700000000000003,2266.0,0.9400000000000004,0.8200000000000004,20.099999999999994,248.0
7,Boiled Egg,40,2653.44,4199.0,365.8000000000001,326.19999999999993,20.4,1946.0,4777.0,92.09999999999998,2607.0,2.2600000000000002,12.209999999999997,68.5,0.0
8,Boiled Fish,33,1488.99,1385.0,269.7999999999999,29.8,9.6,1591.0,2957.0,14.5,1141.0,0.8700000000000003,1.5300000000000002,130.49999999999997,23.0
9,Sweets,30,1190.0,2958.0,55.09999999999999,99.79999999999994,501.50000000000006,1206.0,1532.0,51.69999999999999,0.0,0.06,4.530000000000001,29.999999999999993,304.0
10,Sauteed Vegetable,27,776.1724999999999,203.0,6.4,0.8999999999999999,41.7,283.0,144.0,6.799999999999998,802.0,0.20000000000000004,0.24000000000000002,3.6000000000000005,108.0
11,Boiled Noodles,22,988.625,3473.0,77.99999999999999,119.1,505.59999999999997,244.0,3.0,52.599999999999994,581.0,0.0,0.0,0.0,2.0
12,Fried Vegetable,19,633.119,607.0,6.7,50.900000000000006,30.8,191.0,174.0,3.100000000000001,92.0,0.48000000000000004,0.26999999999999996,4.6,6.0
13,Canned Processed Meat,16,503.99,1020.0,78.39999999999999,71.8,15.600000000000001,105.0,464.0,12.500000000000002,22.0,0.02,0.5599999999999999,16.4,0.0
14,Baked Bread,14,593.2566666700001,1935.0,60.50000000000001,23.799999999999997,369.29999999999995,246.0,508.0,18.400000000000002,5.0,1.5,0.9100000000000001,26.9,0.0
15,Sauteed Noodles,14,738.5,1803.0,54.56,80.69999999999999,218.8,158.0,357.0,9.299999999999999,67.0,0.71,0.29,15.6,0.0
16,Fried Pork,13,933.47,3203.0,144.70000000000002,275.4,39.900000000000006,291.0,1412.0,10.4,512.0,3.5500000000000003,1.5200000000000002,61.7,10.0
17,Boiled Pork,12,645.87,1352.0,86.89999999999999,109.20000000000002,4.6,183.0,834.0,9.3,135.0,1.49,0.67,28.8,8.0
18,Boiled Chicken,12,556.8900000000001,1042.0,126.1,59.50000000000001,1.2,159.0,918.0,7.2,2927.0,0.51,1.9600000000000006,69.6,23.0
19,Coffee,12,147.0,611.0,8.1,12.8,115.10000000000001,40.0,112.0,0.5,0.0,0.0,0.1,17.4,0.0
20,Fried Chicken,9,366.48,721.0,64.0,51.7,0.1,168.0,439.0,4.1,121.0,0.19,0.32000000000000006,27.700000000000003,11.0
21,Condiment,9,60.0,330.0,0.5,29.700000000000003,14.7,15.0,8.0,0.5,0.0,0.0,0.01,0.2,0.0
